CHANNEL,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Paid Search,2025,"1,405","1,169","1,433","1,322",0,0,0,0,0,0,0,0,"5,329"
Paid Search,2024,"1,380","1,085",955,"1,162","1,399",933,"1,011","1,308","1,307","1,224","1,969","2,688","16,421"
Paid Search,2023,"1,206",828,325,477,"1,393",950,"1,261","1,174","1,494",908,"3,334","2,403","15,753"
Paid Search,2022,828,813,915,676,937,801,827,845,"1,168",793,"2,686","1,881","13,170"
Paid Search,2021,686,600,540,454,"1,054",668,739,693,657,593,"1,516","1,062","9,262"
Paid Social,2025,534,380,836,634,0,0,0,0,0,0,0,0,"2,384"
Paid Social,2024,447,324,294,379,"1,141",523,434,699,665,372,"1,081","1,457","7,816"
Paid Social,2023,414,204,"1,103",309,"1,404",458,782,702,"1,122",378,"1,561","1,132","9,569"
Paid Social,2022,310,257,225,193,822,200,291,124,176,103,"1,345","1,053","5,099"
Paid Social,2021,192,81,100,96,899,494,364,138,71,67,"1,175",264,"3,941"
Affiliate,2025,149,130,168,128,0,0,0,0,0,0,0,0,575
Affiliate,2024,131,130,108,123,259,124,109,134,110,103,222,339,"1,892"
Affiliate,2023,149,99,239,105,425,147,185,130,206,91,355,255,"2,386"
Affiliate,2022,510,476,476,404,687,304,110,136,187,122,619,249,"4,280"
Affiliate,2021,234,176,171,161,663,349,387,326,353,339,"1,321",581,"5,061"
Display,2024,24,13,0,0,0,0,0,0,0,0,0,0,37
Display,2023,0,0,0,0,0,0,0,0,0,5,30,40,75
Display,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Display,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Email,2025,289,247,290,345,0,0,0,0,0,0,0,0,"1,171"
Email,2024,266,238,417,384,520,216,149,230,268,284,815,985,"4,772"
Email,2023,597,320,501,359,"1,272",408,557,374,554,345,"1,407",635,"7,329"
Email,2022,659,486,862,549,"1,185",467,402,682,"1,729",724,"3,126","1,091","11,962"
Email,2021,839,636,686,525,"1,058",462,640,553,607,455,"1,852",818,"9,131"
SMS,2025,89,83,85,66,0,0,0,0,0,0,0,0,323
SMS,2024,68,30,66,42,161,125,162,181,84,60,184,282,"1,445"
SMS,2023,172,117,220,159,550,175,26,78,79,42,176,150,"1,944"
SMS,2022,470,402,485,341,633,286,179,201,324,72,795,373,"4,561"
SMS,2021,0,0,-99.61%,-99.89%,"1,091",482,595,447,514,369,"1,820",677,"5,993"
Organic Search,2025,766,626,460,455,0,0,0,0,0,0,0,0,"2,307"
Organic Search,2024,677,575,528,592,760,522,528,575,535,508,954,"1,338","8,092"
Organic Search,2023,727,567,"1,596","1,074",960,721,889,810,720,505,"1,062",819,"10,450"
Organic Search,2022,974,784,914,683,943,690,635,681,813,632,"1,546","1,092","10,387"
Organic Search,2021,750,590,590,507,828,469,578,556,536,472,"1,433",826,"8,135"
Direct,2025,742,558,639,538,0,0,0,0,0,0,0,0,"2,477"
Direct,2024,782,545,587,599,"1,258",601,680,668,664,523,"1,281","1,966","10,154"
Direct,2023,692,444,751,522,"1,065",546,687,652,788,377,"1,822","1,349","9,695"
Direct,2022,503,411,392,406,552,345,443,501,879,422,"2,160","1,301","8,315"
Direct,2021,897,621,552,442,544,271,291,262,283,294,"1,170",617,"6,244"
Unattributed,2025,240,202,148,104,0,0,0,0,0,0,0,0,694
Unattributed,2024,224,113,125,117,155,221,192,118,118,108,106,92,"1,689"
Unattributed,2023,410,289,339,273,509,292,170,133,113,136,202,168,"3,034"
Unattributed,2022,168,195,198,197,261,174,269,278,314,225,652,534,"3,465"
Unattributed,2021,264,133,134,122,182,767,145,111,138,117,357,300,"2,770"
Other,2025,587,476,753,400,0,0,0,0,0,0,0,0,"2,216"
Other,2024,455,439,355,460,687,428,319,368,401,363,586,937,"5,798"
Other,2023,154,719,430,102,273,255,531,406,790,397,"1,293",928,"6,278"
Other,2022,25,26,34,27,33,35,82,514,120,102,329,183,"1,510"
Other,2021,31,29,26,26,31,34,42,33,35,19,56,46,408
Organic Social,2025,18,22,20,12,0,0,0,0,0,0,0,0,72
Organic Social,2024,31,22,18,18,26,18,28,17,12,16,23,34,263
Organic Social,2023,66,63,65,71,196,41,59,74,72,28,81,49,865
Organic Social,2022,44,98,66,62,49,27,28,31,48,32,134,115,734
Organic Social,2021,5,4,12,21,7,8,5,9,42,37,90,33,273
