CHANNEL,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Paid Search,2025,"1,252",980,"1,264","1,364",0,0,0,0,0,0,0,0,"4,860"
Paid Search,2024,"1,010",932,935,"1,060","1,232",916,901,"1,173","1,083","1,095","1,986","2,220","14,543"
Paid Search,2023,721,511,253,301,"1,051",721,846,"1,005","1,005",763,"2,452","1,673","11,302"
Paid Search,2022,626,593,740,545,811,554,621,622,881,580,"1,714","1,057","9,344"
Paid Search,2021,362,402,341,365,694,404,535,553,466,510,"1,183",744,"6,559"
Paid Social,2025,410,306,553,550,0,0,0,0,0,0,0,0,"1,819"
Paid Social,2024,259,212,221,295,794,431,391,698,495,357,944,"1,248","6,345"
Paid Social,2023,117,74,492,206,635,256,360,446,597,277,"1,007",776,"5,243"
Paid Social,2022,184,159,123,120,530,161,182,134,108,67,590,397,"2,755"
Paid Social,2021,70,32,40,52,301,117,159,64,35,32,844,171,"1,917"
Affiliate,2025,140,112,166,172,0,0,0,0,0,0,0,0,590
Affiliate,2024,111,95,127,130,220,119,115,150,114,161,342,403,"2,087"
Affiliate,2023,116,61,133,114,304,106,169,103,151,116,378,206,"1,957"
Affiliate,2022,365,318,524,371,749,282,67,114,207,111,501,174,"3,783"
Affiliate,2021,159,120,156,132,475,234,347,243,294,279,"1,055",465,"3,959"
Display,2024,58,18,0,0,0,0,0,0,0,0,0,0,76
Display,2023,0,0,0,0,0,0,0,0,0,5,42,45,92
Display,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Display,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Email,2025,"1,159",813,"1,219","1,637",0,0,0,0,0,0,0,0,"4,828"
Email,2024,"1,106","1,342","1,818","1,506","2,324","1,271","1,055","1,450","1,071","1,392","2,702","3,366","20,403"
Email,2023,"1,604",789,"1,603","1,336","3,754","1,455","1,590","1,424","2,057","1,683","5,304","2,439","25,038"
Email,2022,"1,361",916,"2,057","1,477","3,453","1,330","1,142","2,302","4,607","1,942","8,241","2,822","31,650"
Email,2021,"1,113",987,"1,139",808,"2,120",994,"1,658","1,247","1,463",975,"3,617","1,862","17,983"
SMS,2025,192,156,195,214,0,0,0,0,0,0,0,0,757
SMS,2024,210,128,251,224,475,231,177,261,168,230,476,595,"3,426"
SMS,2023,180,111,213,176,594,197,72,313,257,181,569,390,"3,253"
SMS,2022,309,199,390,310,688,241,245,290,405,147,"1,281",297,"4,802"
SMS,2021,412,185,353,288,314,249,"1,431",550,0,0,0,0,"3,782"
Organic Search,2025,513,428,416,501,0,0,0,0,0,0,0,0,"1,858"
Organic Search,2024,374,339,300,349,400,324,320,393,343,373,666,838,"5,019"
Organic Search,2023,381,267,932,872,648,368,604,439,398,345,768,487,"6,509"
Organic Search,2022,458,397,536,401,557,417,427,377,514,326,874,555,"5,839"
Organic Search,2021,346,298,313,278,424,263,337,335,326,260,858,537,"4,575"
Direct,2025,704,492,692,684,0,0,0,0,0,0,0,0,"2,572"
Direct,2024,759,681,955,729,"1,223",746,761,906,705,732,"1,464","1,808","11,469"
Direct,2023,660,436,731,612,953,630,702,680,796,573,"1,764","1,138","9,675"
Direct,2022,459,376,393,552,599,394,484,545,874,586,"1,792","1,010","8,064"
Direct,2021,548,430,428,376,510,251,298,282,299,296,886,494,"5,098"
Unattributed,2025,332,232,315,264,0,0,0,0,0,0,0,0,"1,143"
Unattributed,2024,299,221,200,200,234,244,220,214,198,259,222,301,"2,812"
Unattributed,2023,610,488,576,514,749,444,234,204,167,218,336,348,"4,888"
Unattributed,2022,358,330,470,488,591,481,458,484,606,501,"1,005",845,"6,617"
Unattributed,2021,275,174,296,126,213,660,244,251,284,231,502,579,"3,835"
Other,2025,508,359,766,466,0,0,0,0,0,0,0,0,"2,099"
Other,2024,431,421,375,518,702,397,287,396,367,387,634,829,"5,744"
Other,2023,108,878,433,93,196,253,510,469,689,633,"1,619",803,"6,684"
Other,2022,27,33,38,28,38,24,71,485,141,99,279,181,"1,444"
Other,2021,17,15,12,18,30,28,30,35,33,16,43,27,304
Organic Social,2025,10,10,13,16,0,0,0,0,0,0,0,0,49
Organic Social,2024,12,11,7,16,27,12,4,23,7,16,17,17,169
Organic Social,2023,22,25,21,38,80,39,37,66,51,22,48,30,479
Organic Social,2022,23,41,38,31,24,20,13,17,42,35,80,64,428
Organic Social,2021,3,6,3,3,6,0,3,10,47,23,53,25,182
