DATA SOURCE,KPI,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",2025,"$1,079,836 ","$876,298 ","$1,159,321 ","$1,214,503 ","$1,618,042 ",,,,,,,,"$5,948,000 "
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",2024,"$957,701.42 ","$954,880.12 ","$975,024 ","$1,090,896 ","$1,516,158 ","$1,011,702 ","$948,312 ","$1,128,110 ","$958,711 ","$985,807 ","$1,764,492 ","$2,345,488 ","$14,637,281 "
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",2023,"$968,195 ","$784,298 ","$1,118,958 ","$892,836 ","$1,702,721 ","$864,458 ","$1,036,750 ","$991,799 ","$1,182,469 ","$917,970 ","$2,544,000 ","$1,595,092 ","$14,599,546 "
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",2022,"$996,896 ","$833,715 ","$1,065,743 ","$946,846 ","$1,603,958 ","$812,572 ","$792,936 ","$1,040,540 ","$1,504,647 ","$878,486 ","$2,814,993 ","$1,577,359 ","$14,868,691 "
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",2021,"$771,735 ","$615,627 ","$681,097 ","$540,752 ","$1,246,163 ","$743,366 ","$837,304 ","$758,426 ","$793,354 ","$717,909 ","$2,135,058 ","$1,155,078 ","$10,995,869 "
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",25/24,12.75%,-8.23%,18.90%,11.33%,6.72%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-59.36%
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",24/23,-1.08%,21.75%,-12.86%,22.18%,-10.96%,17.03%,-8.53%,13.74%,-18.92%,7.39%,-30.64%,47.04%,0.26%
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",23/22,-2.88%,-5.93%,4.99%,-5.70%,6.16%,6.39%,30.75%,-4.68%,-21.41%,4.49%,-9.63%,1.12%,-1.81%
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",22/21,29.18%,35.43%,56.47%,75.10%,28.71%,9.31%,-5.30%,37.20%,89.66%,22.37%,31.85%,36.56%,35.22%
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",2025,"266,097","263,346","301,104","283,670","351,809",,,,,,,,"1,466,026"
