CHANNEL,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL,,,,,,,,,,,,,,,,
Paid Search Media,2025,"$52,392 ","$53,764 ","$76,624 ","$80,616 ","$79,749 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$343,145 ",,,,,,,,,,,,,,,,
Paid Search Media,2024,"$33,131 ","$31,642 ","$31,725 ","$32,934 ","$48,252 ","$41,935 ","$56,408 ","$65,506 ","$51,646 ","$68,150 ","$88,112 ","$92,682 ","$642,123 ",,,,,,,,,,,,,,,,
Paid Search Media,2023,"$46,139 ","$37,231 ","$40,045 ","$42,141 ","$54,553 ","$50,097 ","$45,673 ","$49,727 ","$56,553 ","$40,265 ","$96,006 ","$89,836 ","$648,268 ",,,,,,,,,,,,,,,,
Paid Search Media,2022,"$51,972 ","$35,202 ","$37,427 ","$34,701 ","$53,967 ","$53,238 ","$37,916 ","$38,685 ","$48,322 ","$39,373 ","$75,545 ","$86,958 ","$593,306 ",,,,,,,,,,,,,,,,
Paid Social Media,2025,"$110,665 ","$93,826 ","$153,218 ","$151,295 ","$238,355 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$747,359 ",,,,,,,,,,,,,,,,
Paid Social Media,2024,"$55,172 ","$99,304 ","$79,542 ","$95,402 ","$203,679 ","$85,372 ","$97,484 ","$112,965 ","$134,002 ","$130,267 ","$209,903 ","$267,692 ","$1,570,784 ",,,,,,,,,,,,,,,,
Paid Social Media,2023,"$61,761 ","$77,588 ","$85,959 ","$94,582 ","$194,958 ","$56,649 ","$59,735 ","$62,623 ","$95,546 ","$113,415 ","$215,073 ","$166,116 ","$1,284,005 ",,,,,,,,,,,,,,,,
Paid Social Media,2022,"$17,057 ","$6,602 ","$7,403 ","$7,485 ","$14,324 ","$6,956 ","$6,502 ","$9,156 ","$14,543 ","$8,295 ","$26,274 ","$12,292 ","$136,889 ",,,,,,,,,,,,,,,,
Affiliate Media,2025,"$25,853 ","$10,886 ","$12,631 ","$13,265 ","$18,461 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$81,096 ",,,,,,,,,,,,,,,,
Affiliate Media,2024,"$18,819 ","$4,709 ","$10,532 ","$10,582 ","$14,907 ","$10,084 ","$7,636 ","$9,567 ","$8,319 ","$9,534 ","$21,890 ","$29,879 ","$156,456 ",,,,,,,,,,,,,,,,
Affiliate Media,2023,"$15,167 ","$7,477 ","$11,469 ","$7,716 ","$17,053 ","$7,937 ","$10,977 ","$8,953 ","$13,148 ","$9,912 ","$28,760 ","$16,372 ","$154,940 ",,,,,,,,,,,,,,,,
Affiliate Media,2022,"$68,418 ","$99,449 ","$65,792 ","$85,086 ","$131,971 ","$73,522 ","$56,788 ","$62,939 ","$88,066 ","$58,283 ","$154,123 ","$166,031 ","$1,110,468 ",,,,,,,,,,,,,,,,
Paid Search Agency,2025,"$6,063 ","$6,874 ","$8,192 ","$8,339 ","$7,501 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$36,969 ",,,,,,,,,,,,,,,,
Paid Search Agency,2024,"$5,045 ","$4,044 ","$4,771 ","$4,798 ","$5,400 ","$6,158 ","$7,051 ","$6,862 ","$5,384 ","$6,959 ","$8,336 ","$8,623 ","$73,431 ",,,,,,,,,,,,,,,,
Paid Search Agency,2023,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,,,,,,,,,,,,,
Paid Search Agency,2022,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,,,,,,,,,,,,,
Paid Social Agency,2025,"$12,807 ","$11,996 ","$16,380 ","$15,651 ","$22,418 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$79,252 ",,,,,,,,,,,,,,,,
Paid Social Agency,2024,"$8,400 ","$12,690 ","$11,963 ","$13,897 ","$22,795 ","$12,537 ","$12,185 ","$11,833 ","$13,971 ","$13,303 ","$19,859 ","$24,904 ","$178,337 ",,,,,,,,,,,,,,,,
Paid Social Agency,2023,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,,,,,,,,,,,,,
Paid Social Agency,2022,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,,,,,,,,,,,,,
Affiliate Agency,2025,"$6,458 ","$5,597 ","$6,222 ","$6,460 ","$8,978 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$33,715 ",,,,,,,,,,,,,,,,
Affiliate Agency,2024,"$5,013 ","$5,101 ","$5,335 ","$5,694 ","$8,877 ","$5,404 ","$6,840 ","$5,541 ","$10,060 ","$5,272 ","$9,578 ","$4,508 ","$77,223 ",,,,,,,,,,,,,,,,
Affiliate Agency,2023,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,,,,,,,,,,,,,
Affiliate Agency,2022,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,,,,,,,,,,,,,
