CHANNEL,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Paid Search,2024,"1,041",968,978,"1,101","1,276",942,951,"1,215",0,0,0,0,"8,472"
Paid Search,2023,765,550,274,319,"1,084",774,937,"1,079","1,050",779,"2,518","1,734","11,863"
Paid Search,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Paid Search,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Paid Social,2024,282,220,233,312,828,443,406,708,0,0,0,0,"3,432"
Paid Social,2023,125,76,505,210,656,269,373,460,620,286,"1,036",807,"5,423"
Paid Social,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Paid Social,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Affiliate,2024,116,100,132,140,226,123,120,155,0,0,0,0,"1,112"
Affiliate,2023,127,71,143,119,328,116,169,103,155,122,391,213,"2,057"
Affiliate,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Affiliate,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Display,2024,0,0,0,0,0,0,0,0,0,0,0,0,0
Display,2023,0,0,0,0,0,0,0,0,0,0,0,0,0
Display,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Display,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Email,2024,"1,158","1,401","1,909","1,603","2,456","1,335","1,093","1,537",0,0,0,0,"12,492"
Email,2023,"1,763",874,"1,705","1,422","4,043","1,627","1,720","1,549","2,178","1,752","5,635","2,544","26,812"
Email,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Email,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
SMS,2024,218,136,258,231,500,239,181,269,0,0,0,0,"2,032"
SMS,2023,198,116,219,188,650,210,83,329,273,189,599,411,"3,465"
SMS,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
SMS,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Search,2024,382,343,313,368,409,341,338,393,0,0,0,0,"2,887"
Organic Search,2023,408,283,970,922,704,405,639,474,415,352,786,496,"6,854"
Organic Search,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Search,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Direct,2024,793,708,981,757,"1,261",775,787,928,0,0,0,0,"6,990"
Direct,2023,703,467,757,650,"1,002",678,759,726,825,589,"1,812","1,166","10,134"
Direct,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Direct,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Unattributed,2024,345,255,233,226,261,296,248,264,0,0,0,0,"2,128"
Unattributed,2023,698,573,651,596,855,548,317,263,209,241,625,392,"5,968"
Unattributed,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Unattributed,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,2024,769,579,589,658,924,607,498,509,0,0,0,0,"5,133"
Other,2023,33,27,18,24,35,144,541,513,743,726,"1,832","1,001","5,637"
Other,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Social,2024,13,12,9,18,28,13,5,24,0,0,0,0,122
Organic Social,2023,23,26,24,41,86,44,42,69,61,23,49,32,520
Organic Social,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Social,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
