year,month,channel,ad_spend,gross_discount_shopify,sessions_mkt,ctr_mkt,clicks_mkt,conversion_rate_mkt,orders_mkt,new_customers_mkt,sessions_web,sessions_with_cart_additions,added_to_cart_rate,sessions_that_reached_checkout,reached_checkout_rate,sessions_that_completed_checkout,checkout_conversion_rate,conversion_rate_web,pageviews_per_session,pageviews,new_orders,existing_orders,new_customers,existing_customers,media_spend_by_channel,discounts,returns,gross_sales,net_sales
2024,JANUARY,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,342385.0,11370.0,0.03,10522.0,0.03,5897.0,0.56,0.02,2.47,844908.0,1100.0,800.0,1066.0,534.0,48252.0,-107428.31,-61116.9,1047386.58,878841.37
2024,FEBRUARY,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,345773.0,16583.0,0.05,12264.0,0.04,7568.0,0.62,0.02,3.05,1054390.0,1080.0,780.0,1044.0,520.0,99304.0,-103694.61,-46543.44,1050134.33,899896.28
2024,MARCH,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,286656.0,18153.0,0.06,13083.0,0.05,8476.0,0.65,0.03,3.27,936210.0,830.0,600.0,815.0,400.0,79542.0,-87628.99,-50138.12,1042431.81,904664.7
2024,APRIL,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,300478.0,21545.0,0.07,15317.0,0.05,9018.0,0.59,0.03,3.48,1046813.0,850.0,620.0,833.0,410.0,95402.0,-182409.52,-42238.03,1254339.5,1029691.95
2024,MAY,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,403487.0,32837.0,0.08,22473.0,0.06,14535.0,0.65,0.04,3.61,1454783.0,600.0,3500.0,588.0,2352.0,203679.0,-296241.55,-53802.15,1794135.77,1444092.07
2024,JUNE,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,375783.0,20096.0,0.05,14189.0,0.04,8790.0,0.62,0.02,2.84,1068859.0,620.0,3600.0,600.0,2400.0,85372.0,-109422.36,-51017.6,1102399.45,941959.49
2024,JULY,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,396521.0,19410.0,0.05,13620.0,0.03,8228.0,0.6,0.02,2.83,1120936.0,210.0,1250.0,208.0,832.0,97484.0,-88930.89,-46815.46,1017758.01,882011.66
2024,AUGUST,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,418982.0,22379.0,0.05,16020.0,0.04,9813.0,0.61,0.02,2.82,1179673.0,220.0,1280.0,212.0,850.0,112965.0,-94359.42,-35156.1,1203508.98,1073993.46
2024,SEPTEMBER,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,361476.0,19866.0,0.05,13276.0,0.04,8342.0,0.63,0.02,2.79,1008213.0,1250.0,900.0,1222.0,610.0,134002.0,-99623.56,-35440.03,1037038.97,901975.38
2024,OCTOBER,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,304644.0,26404.0,0.09,14884.0,0.05,8104.0,0.54,0.03,3.21,977883.0,1080.0,780.0,1050.0,525.0,130267.0,-176537.57,-32516.32,1146811.38,937757.49
2024,NOVEMBER,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,370064.0,47234.0,0.13,28696.0,0.08,14760.0,0.51,0.04,3.75,1386201.0,730.0,4200.0,714.0,2856.0,209903.0,-107769.19,-27320.44,1848182.14,1713092.51
2024,DECEMBER,paid social,1708185.25,1354900.53,733202.0,0.0119,1039302.0,0.0199,14620.0,7907.0,433467.0,54569.0,0.13,35931.0,0.08,20162.0,0.56,0.05,3.71,1607114.0,260.0,1500.0,250.0,1000.0,267692.0,-127883.11,-59364.07,2441932.76,2254685.58
2025,JANUARY,paid social,747358.04,619948.03,331023.0,0.0134,455328.0,0.0203,6734.0,3210.0,336672.0,31047.0,0.09,18627.0,0.06,9058.0,0.49,0.03,3.46,1165178.0,285.0,75.0,281.0,50.0,110665.0,-122244.02,-42002.41,1173370.87,1009124.44
2025,FEBRUARY,paid social,747358.04,619948.03,331023.0,0.0134,455328.0,0.0203,6734.0,3210.0,336318.0,25825.0,0.08,16284.0,0.05,7053.0,0.43,0.02,3.07,1031543.0,1080.0,780.0,1050.0,525.0,93826.0,-97362.32,-31037.05,955761.18,827361.81
2025,MARCH,paid social,747358.04,619948.03,331023.0,0.0134,455328.0,0.0203,6734.0,3210.0,385347.0,31679.0,0.08,20111.0,0.05,9080.0,0.45,0.02,2.95,1137706.0,730.0,4200.0,714.0,2856.0,153218.0,-109247.97,-45448.41,1216270.17,1061573.79
2025,APRIL,paid social,747358.04,619948.03,331023.0,0.0134,455328.0,0.0203,6734.0,3210.0,360774.0,40872.0,0.11,24574.0,0.07,9115.0,0.37,0.03,3.3,1188855.0,260.0,1500.0,250.0,1000.0,151295.0,-204778.94,-65685.07,1414754.88,1144290.87
2025,MAY,paid social,747358.04,619948.03,331023.0,0.0134,455328.0,0.0203,6734.0,3210.0,454573.0,55029.0,0.12,31619.0,0.07,14592.0,0.46,0.03,3.65,1659780.0,285.0,75.0,281.0,50.0,238355.0,-312697.71,-54428.32,1921886.83,1554760.8
2024,JANUARY,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,342385.0,11370.0,0.03,10522.0,0.03,5897.0,0.56,0.02,2.47,844908.0,1100.0,800.0,1066.0,534.0,0.0,-107428.31,-61116.9,1047386.58,878841.37
2024,FEBRUARY,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,345773.0,16583.0,0.05,12264.0,0.04,7568.0,0.62,0.02,3.05,1054390.0,1080.0,780.0,1044.0,520.0,0.0,-103694.61,-46543.44,1050134.33,899896.28
2024,MARCH,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,286656.0,18153.0,0.06,13083.0,0.05,8476.0,0.65,0.03,3.27,936210.0,830.0,600.0,815.0,400.0,0.0,-87628.99,-50138.12,1042431.81,904664.7
2024,APRIL,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,300478.0,21545.0,0.07,15317.0,0.05,9018.0,0.59,0.03,3.48,1046813.0,850.0,620.0,833.0,410.0,0.0,-182409.52,-42238.03,1254339.5,1029691.95
2024,MAY,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,403487.0,32837.0,0.08,22473.0,0.06,14535.0,0.65,0.04,3.61,1454783.0,600.0,3500.0,588.0,2352.0,0.0,-296241.55,-53802.15,1794135.77,1444092.07
2024,JUNE,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,375783.0,20096.0,0.05,14189.0,0.04,8790.0,0.62,0.02,2.84,1068859.0,620.0,3600.0,600.0,2400.0,0.0,-109422.36,-51017.6,1102399.45,941959.49
2024,JULY,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,396521.0,19410.0,0.05,13620.0,0.03,8228.0,0.6,0.02,2.83,1120936.0,210.0,1250.0,208.0,832.0,0.0,-88930.89,-46815.46,1017758.01,882011.66
2024,AUGUST,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,418982.0,22379.0,0.05,16020.0,0.04,9813.0,0.61,0.02,2.82,1179673.0,220.0,1280.0,212.0,850.0,0.0,-94359.42,-35156.1,1203508.98,1073993.46
2024,SEPTEMBER,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,361476.0,19866.0,0.05,13276.0,0.04,8342.0,0.63,0.02,2.79,1008213.0,1250.0,900.0,1222.0,610.0,0.0,-99623.56,-35440.03,1037038.97,901975.38
2024,OCTOBER,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,304644.0,26404.0,0.09,14884.0,0.05,8104.0,0.54,0.03,3.21,977883.0,1080.0,780.0,1050.0,525.0,0.0,-176537.57,-32516.32,1146811.38,937757.49
2024,NOVEMBER,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,370064.0,47234.0,0.13,28696.0,0.08,14760.0,0.51,0.04,3.75,1386201.0,730.0,4200.0,714.0,2856.0,0.0,-107769.19,-27320.44,1848182.14,1713092.51
2024,DECEMBER,organic social,0.0,44214.8,54800.0,0.0,0.0,0.0075,411.0,243.0,433467.0,54569.0,0.13,35931.0,0.08,20162.0,0.56,0.05,3.71,1607114.0,260.0,1500.0,250.0,1000.0,0.0,-127883.11,-59364.07,2441932.76,2254685.58
2025,JANUARY,organic social,0.0,19076.81,27248.0,0.0,0.0,0.0063,173.0,99.0,336672.0,31047.0,0.09,18627.0,0.06,9058.0,0.49,0.03,3.46,1165178.0,285.0,75.0,281.0,50.0,0.0,-122244.02,-42002.41,1173370.87,1009124.44
2025,FEBRUARY,organic social,0.0,19076.81,27248.0,0.0,0.0,0.0063,173.0,99.0,336318.0,25825.0,0.08,16284.0,0.05,7053.0,0.43,0.02,3.07,1031543.0,1080.0,780.0,1050.0,525.0,0.0,-97362.32,-31037.05,955761.18,827361.81
2025,MARCH,organic social,0.0,19076.81,27248.0,0.0,0.0,0.0063,173.0,99.0,385347.0,31679.0,0.08,20111.0,0.05,9080.0,0.45,0.02,2.95,1137706.0,730.0,4200.0,714.0,2856.0,0.0,-109247.97,-45448.41,1216270.17,1061573.79
2025,APRIL,organic social,0.0,19076.81,27248.0,0.0,0.0,0.0063,173.0,99.0,360774.0,40872.0,0.11,24574.0,0.07,9115.0,0.37,0.03,3.3,1188855.0,260.0,1500.0,250.0,1000.0,0.0,-204778.94,-65685.07,1414754.88,1144290.87
2025,MAY,organic social,0.0,19076.81,27248.0,0.0,0.0,0.0063,173.0,99.0,454573.0,55029.0,0.12,31619.0,0.07,14592.0,0.46,0.03,3.65,1659780.0,285.0,75.0,281.0,50.0,0.0,-312697.71,-54428.32,1921886.83,1554760.8
2024,JANUARY,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,342385.0,11370.0,0.03,10522.0,0.03,5897.0,0.56,0.02,2.47,844908.0,1100.0,800.0,1066.0,534.0,33131.0,-107428.31,-61116.9,1047386.58,878841.37
2024,FEBRUARY,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,345773.0,16583.0,0.05,12264.0,0.04,7568.0,0.62,0.02,3.05,1054390.0,1080.0,780.0,1044.0,520.0,31642.0,-103694.61,-46543.44,1050134.33,899896.28
2024,MARCH,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,286656.0,18153.0,0.06,13083.0,0.05,8476.0,0.65,0.03,3.27,936210.0,830.0,600.0,815.0,400.0,31725.0,-87628.99,-50138.12,1042431.81,904664.7
2024,APRIL,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,300478.0,21545.0,0.07,15317.0,0.05,9018.0,0.59,0.03,3.48,1046813.0,850.0,620.0,833.0,410.0,32934.0,-182409.52,-42238.03,1254339.5,1029691.95
2024,MAY,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,403487.0,32837.0,0.08,22473.0,0.06,14535.0,0.65,0.04,3.61,1454783.0,600.0,3500.0,588.0,2352.0,48252.0,-296241.55,-53802.15,1794135.77,1444092.07
2024,JUNE,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,375783.0,20096.0,0.05,14189.0,0.04,8790.0,0.62,0.02,2.84,1068859.0,620.0,3600.0,600.0,2400.0,41935.0,-109422.36,-51017.6,1102399.45,941959.49
2024,JULY,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,396521.0,19410.0,0.05,13620.0,0.03,8228.0,0.6,0.02,2.83,1120936.0,210.0,1250.0,208.0,832.0,56408.0,-88930.89,-46815.46,1017758.01,882011.66
2024,AUGUST,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,418982.0,22379.0,0.05,16020.0,0.04,9813.0,0.61,0.02,2.82,1179673.0,220.0,1280.0,212.0,850.0,65506.0,-94359.42,-35156.1,1203508.98,1073993.46
2024,SEPTEMBER,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,361476.0,19866.0,0.05,13276.0,0.04,8342.0,0.63,0.02,2.79,1008213.0,1250.0,900.0,1222.0,610.0,51646.0,-99623.56,-35440.03,1037038.97,901975.38
2024,OCTOBER,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,304644.0,26404.0,0.09,14884.0,0.05,8104.0,0.54,0.03,3.21,977883.0,1080.0,780.0,1050.0,525.0,68150.0,-176537.57,-32516.32,1146811.38,937757.49
2024,NOVEMBER,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,370064.0,47234.0,0.13,28696.0,0.08,14760.0,0.51,0.04,3.75,1386201.0,730.0,4200.0,714.0,2856.0,88112.0,-107769.19,-27320.44,1848182.14,1713092.51
2024,DECEMBER,paid search,516648.74,3249957.97,431940.0,0.0189,537206.0,0.0645,27861.0,14333.0,433467.0,54569.0,0.13,35931.0,0.08,20162.0,0.56,0.05,3.71,1607114.0,260.0,1500.0,250.0,1000.0,92682.0,-127883.11,-59364.07,2441932.76,2254685.58
2025,JANUARY,paid search,263921.49,1366537.94,194234.0,0.0266,182436.0,0.059,11453.0,5653.0,336672.0,31047.0,0.09,18627.0,0.06,9058.0,0.49,0.03,3.46,1165178.0,285.0,75.0,281.0,50.0,52392.0,-122244.02,-42002.41,1173370.87,1009124.44
2025,FEBRUARY,paid search,263921.49,1366537.94,194234.0,0.0266,182436.0,0.059,11453.0,5653.0,336318.0,25825.0,0.08,16284.0,0.05,7053.0,0.43,0.02,3.07,1031543.0,1080.0,780.0,1050.0,525.0,53764.0,-97362.32,-31037.05,955761.18,827361.81
2025,MARCH,paid search,263921.49,1366537.94,194234.0,0.0266,182436.0,0.059,11453.0,5653.0,385347.0,31679.0,0.08,20111.0,0.05,9080.0,0.45,0.02,2.95,1137706.0,730.0,4200.0,714.0,2856.0,76624.0,-109247.97,-45448.41,1216270.17,1061573.79
2025,APRIL,paid search,263921.49,1366537.94,194234.0,0.0266,182436.0,0.059,11453.0,5653.0,360774.0,40872.0,0.11,24574.0,0.07,9115.0,0.37,0.03,3.3,1188855.0,260.0,1500.0,250.0,1000.0,80616.0,-204778.94,-65685.07,1414754.88,1144290.87
