month,channel,ad_spend,gross_revenue,orders,new_customers,media_spend,clicks,new_orders,existing_orders,new_customers_monthly,existing_customers_monthly,returned_value,technology_spend
2021-01-01,paid social,0.0,0.0,0.0,0.0,50000.0,28000.0,960.0,440.0,950.0,380.0,22000.0,13500.0
2021-01-01,organic social,0.0,0.0,0.0,0.0,2200.0,5500.0,365.0,535.0,360.0,1440.0,22000.0,13500.0
2021-01-01,paid search,0.0,0.0,0.0,0.0,76000.0,30400.0,1720.0,1080.0,1700.0,680.0,22000.0,13500.0
2021-01-01,email,0.0,0.0,0.0,0.0,4400.0,22000.0,900.0,1200.0,890.0,3560.0,22000.0,13500.0
2021-01-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,700.0,600.0,690.0,1035.0,22000.0,13500.0
2021-01-01,affiliates,0.0,0.0,0.0,0.0,11200.0,2800.0,270.0,190.0,267.0,89.0,22000.0,13500.0
2021-02-01,paid social,0.0,0.0,0.0,0.0,51000.0,28600.0,975.0,455.0,965.0,386.0,22500.0,13750.0
2021-02-01,organic social,0.0,0.0,0.0,0.0,2250.0,5600.0,375.0,545.0,369.0,1476.0,22500.0,13750.0
2021-02-01,paid search,0.0,0.0,0.0,0.0,77600.0,31040.0,1750.0,1110.0,1736.0,694.0,22500.0,13750.0
2021-02-01,email,0.0,0.0,0.0,0.0,4500.0,22500.0,915.0,1235.0,905.0,3620.0,22500.0,13750.0
2021-02-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,715.0,615.0,705.0,1057.0,22500.0,13750.0
2021-02-01,affiliates,0.0,0.0,0.0,0.0,11400.0,2850.0,280.0,190.0,273.0,91.0,22500.0,13750.0
2021-03-01,paid social,0.0,0.0,0.0,0.0,52000.0,29200.0,990.0,470.0,980.0,392.0,23000.0,14000.0
2021-03-01,organic social,0.0,0.0,0.0,0.0,2300.0,5700.0,385.0,555.0,378.0,1512.0,23000.0,14000.0
2021-03-01,paid search,0.0,0.0,0.0,0.0,79200.0,31680.0,1790.0,1130.0,1772.0,709.0,23000.0,14000.0
2021-03-01,email,0.0,0.0,0.0,0.0,4600.0,23000.0,930.0,1270.0,920.0,3680.0,23000.0,14000.0
2021-03-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,730.0,630.0,720.0,1080.0,23000.0,14000.0
2021-03-01,affiliates,0.0,0.0,0.0,0.0,11600.0,2900.0,285.0,195.0,279.0,93.0,23000.0,14000.0
2021-04-01,paid social,0.0,0.0,0.0,0.0,53000.0,29800.0,1005.0,485.0,995.0,398.0,23500.0,14250.0
2021-04-01,organic social,0.0,0.0,0.0,0.0,2350.0,5800.0,395.0,565.0,387.0,1548.0,23500.0,14250.0
2021-04-01,paid search,0.0,0.0,0.0,0.0,80800.0,32320.0,1825.0,1155.0,1808.0,723.0,23500.0,14250.0
2021-04-01,email,0.0,0.0,0.0,0.0,4700.0,23500.0,945.0,1305.0,935.0,3740.0,23500.0,14250.0
2021-04-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,745.0,645.0,735.0,1102.0,23500.0,14250.0
2021-04-01,affiliates,0.0,0.0,0.0,0.0,11800.0,2950.0,290.0,200.0,285.0,95.0,23500.0,14250.0
2021-05-01,paid social,0.0,0.0,0.0,0.0,54000.0,30400.0,1020.0,500.0,1010.0,404.0,24000.0,14500.0
2021-05-01,organic social,0.0,0.0,0.0,0.0,2400.0,5900.0,405.0,575.0,396.0,1584.0,24000.0,14500.0
2021-05-01,paid search,0.0,0.0,0.0,0.0,82400.0,32960.0,1860.0,1180.0,1844.0,738.0,24000.0,14500.0
2021-05-01,email,0.0,0.0,0.0,0.0,4800.0,24000.0,960.0,1340.0,950.0,3800.0,24000.0,14500.0
2021-05-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,760.0,660.0,750.0,1125.0,24000.0,14500.0
2021-05-01,affiliates,0.0,0.0,0.0,0.0,12000.0,3000.0,295.0,205.0,291.0,97.0,24000.0,14500.0
2021-06-01,paid social,0.0,0.0,0.0,0.0,55000.0,31000.0,1035.0,515.0,1025.0,410.0,24500.0,14750.0
2021-06-01,organic social,0.0,0.0,0.0,0.0,2450.0,6000.0,415.0,585.0,405.0,1620.0,24500.0,14750.0
2021-06-01,paid search,0.0,0.0,0.0,0.0,84000.0,33600.0,1900.0,1200.0,1880.0,752.0,24500.0,14750.0
2021-06-01,email,0.0,0.0,0.0,0.0,4900.0,24500.0,975.0,1375.0,965.0,3860.0,24500.0,14750.0
2021-06-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,775.0,675.0,765.0,1147.0,24500.0,14750.0
2021-06-01,affiliates,0.0,0.0,0.0,0.0,12200.0,3050.0,300.0,210.0,297.0,99.0,24500.0,14750.0
2021-07-01,paid social,0.0,0.0,0.0,0.0,56000.0,31600.0,1050.0,530.0,1040.0,416.0,25000.0,15000.0
2021-07-01,organic social,0.0,0.0,0.0,0.0,2500.0,6100.0,425.0,595.0,414.0,1656.0,25000.0,15000.0
2021-07-01,paid search,0.0,0.0,0.0,0.0,85600.0,34240.0,1935.0,1225.0,1916.0,766.0,25000.0,15000.0
2021-07-01,email,0.0,0.0,0.0,0.0,5000.0,25000.0,990.0,1410.0,980.0,3920.0,25000.0,15000.0
2021-07-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,790.0,690.0,780.0,1170.0,25000.0,15000.0
2021-07-01,affiliates,0.0,0.0,0.0,0.0,12400.0,3100.0,305.0,215.0,303.0,101.0,25000.0,15000.0
2021-08-01,paid social,0.0,0.0,0.0,0.0,57000.0,32200.0,1065.0,545.0,1055.0,422.0,25500.0,15250.0
2021-08-01,organic social,0.0,0.0,0.0,0.0,2550.0,6200.0,435.0,605.0,423.0,1692.0,25500.0,15250.0
2021-08-01,paid search,0.0,0.0,0.0,0.0,87200.0,34880.0,1970.0,1250.0,1952.0,781.0,25500.0,15250.0
2021-08-01,email,0.0,0.0,0.0,0.0,5100.0,25500.0,1005.0,1445.0,995.0,3980.0,25500.0,15250.0
2021-08-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,805.0,705.0,795.0,1192.0,25500.0,15250.0
2021-08-01,affiliates,0.0,0.0,0.0,0.0,12600.0,3150.0,310.0,220.0,309.0,103.0,25500.0,15250.0
2021-09-01,paid social,0.0,0.0,0.0,0.0,58000.0,32800.0,1080.0,560.0,1070.0,428.0,26000.0,15500.0
2021-09-01,organic social,0.0,0.0,0.0,0.0,2600.0,6300.0,445.0,615.0,432.0,1728.0,26000.0,15500.0
2021-09-01,paid search,0.0,0.0,0.0,0.0,88800.0,35520.0,2005.0,1275.0,1988.0,795.0,26000.0,15500.0
2021-09-01,email,0.0,0.0,0.0,0.0,5200.0,26000.0,1020.0,1480.0,1010.0,4040.0,26000.0,15500.0
2021-09-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,820.0,720.0,810.0,1215.0,26000.0,15500.0
2021-09-01,affiliates,0.0,0.0,0.0,0.0,12800.0,3200.0,315.0,225.0,315.0,105.0,26000.0,15500.0
2021-10-01,paid social,0.0,0.0,0.0,0.0,59000.0,33400.0,1095.0,575.0,1085.0,434.0,26500.0,15750.0
2021-10-01,organic social,0.0,0.0,0.0,0.0,2650.0,6400.0,455.0,625.0,441.0,1764.0,26500.0,15750.0
2021-10-01,paid search,0.0,0.0,0.0,0.0,90400.0,36160.0,2040.0,1300.0,2024.0,810.0,26500.0,15750.0
2021-10-01,email,0.0,0.0,0.0,0.0,5300.0,26500.0,1035.0,1515.0,1025.0,4100.0,26500.0,15750.0
2021-10-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,835.0,735.0,825.0,1237.0,26500.0,15750.0
2021-10-01,affiliates,0.0,0.0,0.0,0.0,13000.0,3250.0,320.0,230.0,321.0,107.0,26500.0,15750.0
2021-11-01,paid social,0.0,0.0,0.0,0.0,60000.0,34000.0,1100.0,600.0,1086.0,434.0,27000.0,16000.0
2021-11-01,organic social,0.0,0.0,0.0,0.0,2650.0,6500.0,465.0,635.0,450.0,1800.0,27000.0,16000.0
2021-11-01,paid search,0.0,0.0,0.0,0.0,91600.0,36640.0,2080.0,1320.0,2060.0,824.0,27000.0,16000.0
2021-11-01,email,0.0,0.0,0.0,0.0,5400.0,27000.0,1050.0,1550.0,1040.0,4160.0,27000.0,16000.0
2021-11-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,850.0,750.0,840.0,1260.0,27000.0,16000.0
2021-11-01,affiliates,0.0,0.0,0.0,0.0,13200.0,3300.0,325.0,235.0,327.0,109.0,27000.0,16000.0
2021-12-01,paid social,0.0,0.0,0.0,0.0,61000.0,34400.0,1110.0,660.0,1100.0,440.0,28000.0,16500.0
2021-12-01,organic social,0.0,0.0,0.0,0.0,2800.0,7000.0,440.0,760.0,440.0,1760.0,28000.0,16500.0
2021-12-01,paid search,0.0,0.0,0.0,0.0,95600.0,38240.0,2125.0,1415.0,2108.0,843.0,28000.0,16500.0
2021-12-01,email,0.0,0.0,0.0,0.0,5600.0,28000.0,1080.0,1620.0,1070.0,4280.0,28000.0,16500.0
2021-12-01,direct,0.0,0.0,0.0,0.0,0.0,0.0,865.0,785.0,855.0,1282.0,28000.0,16500.0
2021-12-01,affiliates,0.0,0.0,0.0,0.0,13600.0,3400.0,335.0,245.0,333.0,111.0,28000.0,16500.0
2022-01-01,paid social,0.0,0.0,22000.0,0.0,0.0,52000.0,29000.0,1000.0,500.0,989.0,396.0,23000.0,14000.0
2022-01-01,organic social,0.0,0.0,8500.0,0.0,0.0,2300.0,5750.0,375.0,575.0,370.0,1480.0,23000.0,14000.0
2022-01-01,paid search,0.0,0.0,28000.0,0.0,0.0,80000.0,32000.0,1820.0,1180.0,1800.0,720.0,23000.0,14000.0
2022-01-01,email,0.0,0.0,21000.0,0.0,0.0,4600.0,23000.0,930.0,1270.0,920.0,3680.0,23000.0,14000.0
2022-01-01,direct,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,730.0,620.0,720.0,1080.0,23000.0,14000.0
2022-01-01,affiliates,0.0,0.0,2200.0,0.0,0.0,1400.0,2900.0,285.0,205.0,282.0,94.0,23000.0,14000.0
2022-02-01,paid social,0.0,0.0,22500.0,0.0,0.0,53000.0,29600.0,1010.0,520.0,1000.0,400.0,23500.0,14250.0
2022-02-01,organic social,0.0,0.0,9000.0,0.0,0.0,2350.0,5850.0,385.0,585.0,379.0,1516.0,23500.0,14250.0
2022-02-01,paid search,0.0,0.0,28500.0,0.0,0.0,81000.0,32640.0,1850.0,1210.0,1830.0,732.0,23500.0,14250.0
2022-02-01,email,0.0,0.0,21500.0,0.0,0.0,4650.0,23500.0,945.0,1305.0,935.0,3740.0,23500.0,14250.0
2022-02-01,direct,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,745.0,635.0,735.0,1102.0,23500.0,14250.0
2022-02-01,affiliates,0.0,0.0,2250.0,0.0,0.0,1425.0,2950.0,290.0,210.0,288.0,96.0,23500.0,14250.0
2022-03-01,paid social,0.0,0.0,23000.0,0.0,0.0,54000.0,30200.0,1025.0,535.0,1014.0,406.0,24000.0,14500.0
2022-03-01,organic social,0.0,0.0,9500.0,0.0,0.0,2400.0,5950.0,395.0,595.0,388.0,1552.0,24000.0,14500.0
2022-03-01,paid search,0.0,0.0,29000.0,0.0,0.0,82000.0,33280.0,1880.0,1240.0,1860.0,744.0,24000.0,14500.0
2022-03-01,email,0.0,0.0,22000.0,0.0,0.0,4700.0,24000.0,960.0,1340.0,950.0,3800.0,24000.0,14500.0
2022-03-01,direct,0.0,0.0,13500.0,0.0,0.0,0.0,0.0,760.0,650.0,750.0,1125.0,24000.0,14500.0
2022-03-01,affiliates,0.0,0.0,2300.0,0.0,0.0,1450.0,3000.0,295.0,215.0,294.0,98.0,24000.0,14500.0
2022-04-01,paid social,0.0,0.0,23500.0,0.0,0.0,55000.0,30800.0,1040.0,550.0,1029.0,411.0,24500.0,14750.0
2022-04-01,organic social,0.0,0.0,10000.0,0.0,0.0,2450.0,6050.0,405.0,605.0,397.0,1588.0,24500.0,14750.0
2022-04-01,paid search,0.0,0.0,29500.0,0.0,0.0,83000.0,33920.0,1910.0,1270.0,1890.0,756.0,24500.0,14750.0
2022-04-01,email,0.0,0.0,22500.0,0.0,0.0,4750.0,24500.0,975.0,1375.0,965.0,3860.0,24500.0,14750.0
2022-04-01,direct,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,775.0,665.0,765.0,1147.0,24500.0,14750.0
2022-04-01,affiliates,0.0,0.0,2350.0,0.0,0.0,1475.0,3050.0,300.0,220.0,300.0,100.0,24500.0,14750.0
2022-05-01,paid social,0.0,0.0,24000.0,0.0,0.0,56000.0,31400.0,1055.0,565.0,1044.0,417.0,25000.0,15000.0
2022-05-01,organic social,0.0,0.0,10500.0,0.0,0.0,2500.0,6150.0,415.0,615.0,406.0,1624.0,25000.0,15000.0
2022-05-01,paid search,0.0,0.0,30000.0,0.0,0.0,84000.0,34560.0,1940.0,1300.0,1920.0,768.0,25000.0,15000.0
2022-05-01,email,0.0,0.0,23000.0,0.0,0.0,4800.0,25000.0,990.0,1410.0,980.0,3920.0,25000.0,15000.0
2022-05-01,direct,0.0,0.0,14500.0,0.0,0.0,0.0,0.0,790.0,680.0,780.0,1170.0,25000.0,15000.0
2022-05-01,affiliates,0.0,0.0,2400.0,0.0,0.0,1500.0,3100.0,305.0,225.0,306.0,102.0,25000.0,15000.0
2022-06-01,paid social,0.0,0.0,24500.0,0.0,0.0,57000.0,32000.0,1070.0,580.0,1059.0,423.0,25500.0,15250.0
2022-06-01,organic social,0.0,0.0,11000.0,0.0,0.0,2550.0,6250.0,425.0,625.0,415.0,1660.0,25500.0,15250.0
2022-06-01,paid search,0.0,0.0,30500.0,0.0,0.0,85000.0,35200.0,1970.0,1330.0,1950.0,780.0,25500.0,15250.0
2022-06-01,email,0.0,0.0,23500.0,0.0,0.0,4850.0,25500.0,1005.0,1445.0,995.0,3980.0,25500.0,15250.0
2022-06-01,direct,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,805.0,695.0,795.0,1192.0,25500.0,15250.0
2022-06-01,affiliates,0.0,0.0,2450.0,0.0,0.0,1525.0,3150.0,310.0,230.0,312.0,104.0,25500.0,15250.0
2022-07-01,paid social,0.0,0.0,25000.0,0.0,0.0,58000.0,32600.0,1085.0,595.0,1074.0,429.0,26000.0,15500.0
2022-07-01,organic social,0.0,0.0,11500.0,0.0,0.0,2600.0,6350.0,435.0,635.0,424.0,1696.0,26000.0,15500.0
2022-07-01,paid search,0.0,0.0,31000.0,0.0,0.0,86000.0,35840.0,2000.0,1360.0,1980.0,792.0,26000.0,15500.0
2022-07-01,email,0.0,0.0,24000.0,0.0,0.0,4900.0,26000.0,1020.0,1480.0,1010.0,4040.0,26000.0,15500.0
2022-07-01,direct,0.0,0.0,15500.0,0.0,0.0,0.0,0.0,820.0,710.0,810.0,1215.0,26000.0,15500.0
2022-07-01,affiliates,0.0,0.0,2500.0,0.0,0.0,1550.0,3200.0,315.0,235.0,318.0,106.0,26000.0,15500.0
2022-08-01,paid social,0.0,0.0,25500.0,0.0,0.0,59000.0,33200.0,1100.0,610.0,1089.0,435.0,26500.0,15750.0
2022-08-01,organic social,0.0,0.0,11500.0,0.0,0.0,2650.0,6450.0,445.0,645.0,432.0,1728.0,26500.0,15750.0
2022-08-01,paid search,0.0,0.0,31500.0,0.0,0.0,87000.0,36480.0,2030.0,1380.0,2010.0,804.0,26500.0,15750.0
2022-08-01,email,0.0,0.0,24500.0,0.0,0.0,4950.0,26500.0,1035.0,1515.0,1025.0,4100.0,26500.0,15750.0
2022-08-01,direct,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,835.0,725.0,825.0,1237.0,26500.0,15750.0
2022-08-01,affiliates,0.0,0.0,2550.0,0.0,0.0,1575.0,3250.0,320.0,240.0,324.0,108.0,26500.0,15750.0
2022-09-01,paid social,0.0,0.0,26000.0,0.0,0.0,60000.0,33800.0,1115.0,625.0,1104.0,441.0,27000.0,16000.0
2022-09-01,organic social,0.0,0.0,12000.0,0.0,0.0,2700.0,6550.0,455.0,655.0,441.0,1764.0,27000.0,16000.0
2022-09-01,paid search,0.0,0.0,32000.0,0.0,0.0,88000.0,37120.0,2060.0,1410.0,2040.0,816.0,27000.0,16000.0
2022-09-01,email,0.0,0.0,25000.0,0.0,0.0,5000.0,27000.0,1050.0,1550.0,1040.0,4160.0,27000.0,16000.0
2022-09-01,direct,0.0,0.0,16500.0,0.0,0.0,0.0,0.0,850.0,740.0,840.0,1260.0,27000.0,16000.0
2022-09-01,affiliates,0.0,0.0,2600.0,0.0,0.0,1600.0,3300.0,325.0,245.0,330.0,110.0,27000.0,16000.0
2022-10-01,paid social,0.0,0.0,26500.0,0.0,0.0,61000.0,34400.0,1130.0,640.0,1119.0,447.0,27500.0,16250.0
2022-10-01,organic social,0.0,0.0,12500.0,0.0,0.0,2750.0,6650.0,465.0,665.0,450.0,1800.0,27500.0,16250.0
2022-10-01,paid search,0.0,0.0,32500.0,0.0,0.0,89000.0,37760.0,2090.0,1440.0,2070.0,828.0,27500.0,16250.0
2022-10-01,email,0.0,0.0,25500.0,0.0,0.0,5050.0,27500.0,1065.0,1585.0,1055.0,4220.0,27500.0,16250.0
2022-10-01,direct,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,865.0,755.0,855.0,1282.0,27500.0,16250.0
2022-10-01,affiliates,0.0,0.0,2650.0,0.0,0.0,1625.0,3350.0,330.0,250.0,336.0,112.0,27500.0,16250.0
2022-11-01,paid social,0.0,0.0,27000.0,0.0,0.0,62000.0,35000.0,1145.0,655.0,1134.0,454.0,28000.0,16500.0
2022-11-01,organic social,0.0,0.0,13000.0,0.0,0.0,2800.0,6750.0,475.0,675.0,459.0,1836.0,28000.0,16500.0
2022-11-01,paid search,0.0,0.0,33000.0,0.0,0.0,90000.0,38400.0,2120.0,1470.0,2100.0,840.0,28000.0,16500.0
2022-11-01,email,0.0,0.0,26000.0,0.0,0.0,5100.0,28000.0,1080.0,1620.0,1070.0,4280.0,28000.0,16500.0
2022-11-01,direct,0.0,0.0,17500.0,0.0,0.0,0.0,0.0,880.0,770.0,870.0,1305.0,28000.0,16500.0
2022-11-01,affiliates,0.0,0.0,2700.0,0.0,0.0,1650.0,3400.0,335.0,255.0,342.0,114.0,28000.0,16500.0
2022-12-01,paid social,0.0,0.0,27500.0,0.0,0.0,64000.0,36000.0,1160.0,690.0,1149.0,459.0,29000.0,17000.0
