acquisition_month,channel,new_customers,orders_month_0,orders_month_1,orders_month_2,orders_month_3,orders_month_4,orders_month_5
2021-01-01,paid social,950.0,960.0,50.0,45.0,40.0,35.0,30.0
2021-01-01,organic social,360.0,365.0,20.0,18.0,15.0,12.0,10.0
2021-01-01,paid search,1700.0,1720.0,90.0,85.0,80.0,75.0,70.0
2021-01-01,email,890.0,900.0,120.0,110.0,100.0,90.0,80.0
2021-01-01,direct,690.0,700.0,60.0,55.0,50.0,45.0,40.0
2021-01-01,affiliates,267.0,270.0,15.0,14.0,12.0,10.0,8.0
2021-02-01,paid social,965.0,975.0,52.0,47.0,42.0,37.0,32.0
2021-02-01,organic social,369.0,375.0,21.0,19.0,16.0,13.0,11.0
2021-02-01,paid search,1736.0,1750.0,92.0,87.0,82.0,77.0,72.0
2021-02-01,email,905.0,915.0,123.0,113.0,103.0,93.0,83.0
2021-02-01,direct,705.0,715.0,62.0,57.0,52.0,47.0,42.0
2021-02-01,affiliates,273.0,280.0,16.0,15.0,13.0,11.0,9.0
2021-03-01,paid social,980.0,990.0,54.0,49.0,44.0,39.0,34.0
2021-03-01,organic social,378.0,385.0,22.0,20.0,17.0,14.0,12.0
2021-03-01,paid search,1772.0,1790.0,94.0,89.0,84.0,79.0,74.0
2021-03-01,email,920.0,930.0,127.0,117.0,107.0,97.0,87.0
2021-03-01,direct,720.0,730.0,63.0,58.0,53.0,48.0,43.0
2021-03-01,affiliates,279.0,285.0,17.0,16.0,14.0,12.0,10.0
2021-04-01,paid social,995.0,1005.0,56.0,51.0,46.0,41.0,36.0
2021-04-01,organic social,387.0,395.0,23.0,21.0,18.0,15.0,13.0
2021-04-01,paid search,1808.0,1825.0,96.0,91.0,86.0,81.0,76.0
2021-04-01,email,935.0,945.0,130.0,120.0,110.0,100.0,90.0
2021-04-01,direct,735.0,745.0,64.0,59.0,54.0,49.0,44.0
2021-04-01,affiliates,285.0,290.0,18.0,17.0,15.0,13.0,11.0
2021-05-01,paid social,1010.0,1020.0,58.0,53.0,48.0,43.0,38.0
2021-05-01,organic social,396.0,405.0,24.0,22.0,19.0,16.0,14.0
2021-05-01,paid search,1844.0,1860.0,98.0,93.0,88.0,83.0,78.0
2021-05-01,email,950.0,960.0,134.0,124.0,114.0,104.0,94.0
2021-05-01,direct,750.0,760.0,66.0,61.0,56.0,51.0,46.0
2021-05-01,affiliates,291.0,295.0,19.0,18.0,16.0,14.0,12.0
2021-06-01,paid social,1025.0,1035.0,60.0,55.0,50.0,45.0,40.0
2021-06-01,organic social,405.0,415.0,25.0,23.0,20.0,17.0,15.0
2021-06-01,paid search,1880.0,1900.0,100.0,95.0,90.0,85.0,80.0
2021-06-01,email,965.0,975.0,137.0,127.0,117.0,107.0,97.0
2021-06-01,direct,765.0,775.0,67.0,62.0,57.0,52.0,47.0
2021-06-01,affiliates,297.0,300.0,20.0,19.0,17.0,15.0,13.0
2021-07-01,paid social,1040.0,1050.0,62.0,57.0,52.0,47.0,42.0
2021-07-01,organic social,414.0,425.0,26.0,24.0,21.0,18.0,16.0
2021-07-01,paid search,1916.0,1935.0,102.0,97.0,92.0,87.0,82.0
2021-07-01,email,980.0,990.0,141.0,131.0,121.0,111.0,101.0
2021-07-01,direct,780.0,790.0,69.0,64.0,59.0,54.0,49.0
2021-07-01,affiliates,303.0,305.0,21.0,20.0,18.0,16.0,14.0
2021-08-01,paid social,1055.0,1065.0,64.0,59.0,54.0,49.0,44.0
2021-08-01,organic social,423.0,435.0,27.0,25.0,22.0,19.0,17.0
2021-08-01,paid search,1952.0,1970.0,104.0,99.0,94.0,89.0,84.0
2021-08-01,email,995.0,1005.0,144.0,134.0,124.0,114.0,104.0
2021-08-01,direct,795.0,805.0,70.0,65.0,60.0,55.0,50.0
2021-08-01,affiliates,309.0,310.0,22.0,21.0,19.0,17.0,15.0
2021-09-01,paid social,1070.0,1080.0,66.0,61.0,56.0,51.0,46.0
2021-09-01,organic social,432.0,445.0,28.0,26.0,23.0,20.0,18.0
2021-09-01,paid search,1988.0,2005.0,106.0,101.0,96.0,91.0,86.0
2021-09-01,email,1010.0,1020.0,148.0,138.0,128.0,118.0,108.0
2021-09-01,direct,810.0,820.0,72.0,67.0,62.0,57.0,52.0
2021-09-01,affiliates,315.0,315.0,23.0,22.0,20.0,18.0,16.0
2021-10-01,paid social,1085.0,1095.0,68.0,63.0,58.0,53.0,48.0
2021-10-01,organic social,441.0,455.0,29.0,27.0,24.0,21.0,19.0
2021-10-01,paid search,2024.0,2040.0,108.0,103.0,98.0,93.0,88.0
2021-10-01,email,1025.0,1035.0,151.0,141.0,131.0,121.0,111.0
2021-10-01,direct,825.0,835.0,73.0,68.0,63.0,58.0,53.0
2021-10-01,affiliates,321.0,320.0,24.0,23.0,21.0,19.0,17.0
2021-11-01,paid social,1086.0,1100.0,70.0,65.0,60.0,55.0,50.0
2021-11-01,organic social,450.0,465.0,30.0,28.0,25.0,22.0,20.0
2021-11-01,paid search,2060.0,2080.0,110.0,105.0,100.0,95.0,90.0
2021-11-01,email,1040.0,1050.0,155.0,145.0,135.0,125.0,115.0
2021-11-01,direct,840.0,850.0,75.0,70.0,65.0,60.0,55.0
2021-11-01,affiliates,327.0,325.0,25.0,24.0,22.0,20.0,18.0
2021-12-01,paid social,1100.0,1110.0,72.0,67.0,62.0,57.0,52.0
2021-12-01,organic social,440.0,440.0,31.0,29.0,26.0,23.0,21.0
2021-12-01,paid search,2108.0,2125.0,112.0,107.0,102.0,97.0,92.0
2021-12-01,email,1070.0,1080.0,158.0,148.0,138.0,128.0,118.0
2021-12-01,direct,855.0,865.0,76.0,71.0,66.0,61.0,56.0
2021-12-01,affiliates,333.0,335.0,26.0,25.0,23.0,21.0,19.0
2022-01-01,paid social,989.0,1000.0,64.0,59.0,54.0,49.0,44.0
2022-01-01,organic social,370.0,375.0,22.0,20.0,18.0,16.0,14.0
2022-01-01,paid search,1800.0,1820.0,92.0,87.0,82.0,77.0,72.0
2022-01-01,email,920.0,930.0,129.0,119.0,109.0,99.0,89.0
2022-01-01,direct,720.0,730.0,64.0,59.0,54.0,49.0,44.0
2022-01-01,affiliates,282.0,285.0,18.0,17.0,15.0,13.0,11.0
2022-02-01,paid social,1000.0,1010.0,66.0,61.0,56.0,51.0,46.0
2022-02-01,organic social,379.0,385.0,23.0,21.0,19.0,17.0,15.0
2022-02-01,paid search,1830.0,1850.0,94.0,89.0,84.0,79.0,74.0
2022-02-01,email,935.0,945.0,131.0,121.0,111.0,101.0,91.0
2022-02-01,direct,735.0,745.0,65.0,60.0,55.0,50.0,45.0
2022-02-01,affiliates,288.0,290.0,19.0,18.0,16.0,14.0,12.0
2022-03-01,paid social,1014.0,1025.0,68.0,63.0,58.0,53.0,48.0
2022-03-01,organic social,388.0,395.0,24.0,22.0,20.0,18.0,16.0
2022-03-01,paid search,1860.0,1880.0,96.0,91.0,86.0,81.0,76.0
2022-03-01,email,950.0,960.0,133.0,123.0,113.0,103.0,93.0
2022-03-01,direct,750.0,760.0,66.0,61.0,56.0,51.0,46.0
2022-03-01,affiliates,294.0,295.0,20.0,19.0,17.0,15.0,13.0
2022-04-01,paid social,1029.0,1040.0,70.0,65.0,60.0,55.0,50.0
2022-04-01,organic social,397.0,405.0,25.0,23.0,21.0,19.0,17.0
2022-04-01,paid search,1890.0,1910.0,98.0,93.0,88.0,83.0,78.0
2022-04-01,email,965.0,975.0,135.0,125.0,115.0,105.0,95.0
2022-04-01,direct,765.0,775.0,67.0,62.0,57.0,52.0,47.0
2022-04-01,affiliates,300.0,300.0,21.0,20.0,18.0,16.0,14.0
2022-05-01,paid social,1044.0,1055.0,72.0,67.0,62.0,57.0,52.0
2022-05-01,organic social,406.0,415.0,26.0,24.0,22.0,20.0,18.0
2022-05-01,paid search,1920.0,1940.0,100.0,95.0,90.0,85.0,80.0
2022-05-01,email,980.0,990.0,137.0,127.0,117.0,107.0,97.0
2022-05-01,direct,780.0,790.0,68.0,63.0,58.0,53.0,48.0
2022-05-01,affiliates,306.0,305.0,22.0,21.0,19.0,17.0,15.0
2022-06-01,paid social,1059.0,1070.0,74.0,69.0,64.0,59.0,54.0
2022-06-01,organic social,415.0,425.0,27.0,25.0,23.0,21.0,19.0
2022-06-01,paid search,1950.0,1970.0,102.0,97.0,92.0,87.0,82.0
2022-06-01,email,995.0,1005.0,139.0,129.0,119.0,109.0,99.0
2022-06-01,direct,795.0,805.0,69.0,64.0,59.0,54.0,49.0
2022-06-01,affiliates,312.0,310.0,23.0,22.0,20.0,18.0,16.0
2022-07-01,paid social,1074.0,1085.0,76.0,71.0,66.0,61.0,56.0
2022-07-01,organic social,424.0,435.0,28.0,26.0,24.0,22.0,20.0
2022-07-01,paid search,1980.0,2000.0,104.0,99.0,94.0,89.0,84.0
2022-07-01,email,1010.0,1020.0,141.0,131.0,121.0,111.0,101.0
2022-07-01,direct,810.0,820.0,71.0,66.0,61.0,56.0,51.0
2022-07-01,affiliates,318.0,315.0,23.0,22.0,20.0,18.0,16.0
2022-08-01,paid social,1089.0,1100.0,78.0,73.0,68.0,63.0,58.0
2022-08-01,organic social,432.0,445.0,29.0,27.0,25.0,23.0,21.0
2022-08-01,paid search,2010.0,2030.0,106.0,101.0,96.0,91.0,86.0
2022-08-01,email,1025.0,1035.0,146.0,136.0,126.0,116.0,106.0
2022-08-01,direct,825.0,835.0,73.0,68.0,63.0,58.0,53.0
2022-08-01,affiliates,324.0,320.0,24.0,23.0,21.0,19.0,17.0
2022-09-01,paid social,1104.0,1115.0,80.0,75.0,70.0,65.0,60.0
2022-09-01,organic social,441.0,455.0,30.0,28.0,26.0,24.0,22.0
2022-09-01,paid search,2040.0,2060.0,108.0,103.0,98.0,93.0,88.0
2022-09-01,email,1040.0,1050.0,149.0,139.0,129.0,119.0,109.0
2022-09-01,direct,840.0,850.0,75.0,70.0,65.0,60.0,55.0
2022-09-01,affiliates,330.0,325.0,25.0,24.0,22.0,20.0,18.0
