month,sessions,added_to_cart_rate,reached_checkout_rate,checkout_conversion_rate,overall_conversion_rate
2024-01-01,342385,0.03,0.03,0.56,0.02
2024-02-01,345773,0.05,0.04,0.62,0.02
2024-03-01,286656,0.06,0.05,0.65,0.03
2024-04-01,300478,0.07,0.05,0.59,0.03
2024-05-01,403487,0.08,0.06,0.65,0.04
2024-06-01,375783,0.05,0.04,0.62,0.02
2024-07-01,396521,0.05,0.03,0.60,0.02
2024-08-01,418982,0.05,0.04,0.61,0.02
2024-09-01,361476,0.05,0.04,0.63,0.02
2024-10-01,304644,0.09,0.05,0.54,0.03
2024-11-01,370064,0.13,0.08,0.51,0.04
2024-12-01,433467,0.13,0.08,0.56,0.05
2025-01-01,336672,0.09,0.06,0.49,0.03
2025-02-01,336318,0.08,0.05,0.43,0.02
2025-03-01,385347,0.08,0.05,0.45,0.02
2025-04-01,360774,0.11,0.07,0.37,0.03
2025-05-01,454573,0.12,0.07,0.46,0.03
