year_period,marketing_channel,ad_spend,gross_discount_(shopify),sessions,ctr,clicks,conversion_rate,orders,new_customers,year
2024,paid social,1708185.25,1354900.53,733202,0.0119,1039302,0.0199,14620,7907,2024
2024,organic social,0,44214.8,54800,,0,0.0075,411,243,2024
2024,paid search,516648.74,3249957.97,431940,0.0189,537206,0.0645,27861,14333,2024
2024,shopping,209844.84,610090.02,53278,0.0065,83658,0.1063,5666,3200,2024
2024,display,0,1705.41,1824,,0,0.0126,23,7,2024
2024,organic search,59978,1961859.25,627365,0.0213,740744,0.0263,16488,9623,2024
2024,affiliates,162595.38,424308.67,89432,,320864,0.0455,4069,1894,2024
2024,email,96624,2785148.54,460971,0.0461,2225234,0.0571,26329,5014,2024
2024,sms,25270,460352.79,102180,,76,0.045,4598,1218,2024
2024,direct,0,2373632.44,489056,,0,0.0442,21639,10032,2024
2024,Other,0,1383467.08,165797,,0,0.0607,10057,5016,2024
2024,Unattributed,0,19281.58,0,0,0,0,4969,1698,2024
2025 (Jan - May),paid social,747358.04,619948.03,331023,0.0134,455328,0.0203,6734,3210,2025
2025 (Jan - May),organic social,0,19076.81,27248,,,0.0063,173,99,2025
2025 (Jan - May),paid search,263921.49,1366537.94,194234,0.0266,182436,0.059,11453,5653,2025
2025 (Jan - May),display,0,29.98,6,,,0.1667,1,0,2025
2025 (Jan - May),shopping,79223.42,271974.94,21583,0.0057,30904,0.111,2396,1235,2025
2025 (Jan - May),organic search,0,832951.48,291420,0.0159,327493,0.0244,7117,3687,2025
2s025 (Jan - May),affiliates,81096.03,206467.38,40064,,173150,0.0484,1939,856,2025
2025 (Jan - May),email,0,958222.1,160363,0.0077,247837,0.0537,8605,1545,2025
2025 (Jan - May),sms,0,180884.06,40317,,24,0.0449,1812,530,2025
2025 (Jan - May),direct,0,890449.01,294192,,0,0.0273,8038,3401,2025
2025 (Jan - May),Other,0,591668.39,65576,,0,0.0654,4289,2084,2025
2025 (Jan - May),Unattributed,0,9789.48,0,,,,2218,695,2025
