"Datahub
(Shopify)"	"GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify"	2025	"$1,079,836 "	"$876,298 "	"$1,159,321 "	"$1,214,503 "	"$1,618,042 "								"$5,948,000 "
"Datahub
(Shopify)"	"GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify"	2024	"$957,701.42 "	"$954,880.12 "	"$975,024 "	"$1,090,896 "	"$1,516,158 "	"$1,011,702 "	"$948,312 "	"$1,128,110 "	"$958,711 "	"$985,807 "	"$1,764,492 "	"$2,345,488 "	"$14,637,281 "
"Datahub
(Shopify)"	"GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify"	2023	"$968,195 "	"$784,298 "	"$1,118,958 "	"$892,836 "	"$1,702,721 "	"$864,458 "	"$1,036,750 "	"$991,799 "	"$1,182,469 "	"$917,970 "	"$2,544,000 "	"$1,595,092 "	"$14,599,546 "
"Datahub
(Shopify)"	"GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify"	2022	"$996,896 "	"$833,715 "	"$1,065,743 "	"$946,846 "	"$1,603,958 "	"$812,572 "	"$792,936 "	"$1,040,540 "	"$1,504,647 "	"$878,486 "	"$2,814,993 "	"$1,577,359 "	"$14,868,691 "
"Datahub
(Shopify)"	"GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify"	2021	"$771,735 "	"$615,627 "	"$681,097 "	"$540,752 "	"$1,246,163 "	"$743,366 "	"$837,304 "	"$758,426 "	"$793,354 "	"$717,909 "	"$2,135,058 "	"$1,155,078 "	"$10,995,869 "
"Datahub
(GA4)"	"SESSIONS
Measurement changed after GA4 in June 23."	2025	"266,097"	"263,346"	"301,104"	"283,670"	"351,809"								"1,466,026"
"Datahub
(GA4)"	"SESSIONS
Measurement changed after GA4 in June 23."	2024	"270,766"	"270,374"	"225,549"	"228,567"	"320,523"	"226,315"	"264,337"	"270,805"	"251,658"	"230,419"	"318,091"	"359,183"	"3,236,587"
"Datahub
(GA4)"	"SESSIONS
Measurement changed after GA4 in June 23."	2023	"299,600"	"345,550"	"284,000"	"253,170"	"381,890"	"242,070"	"234,910"	"213,330"	"243,870"	"239,930"	"365,500"	"309,010"	"3,412,830"
"Datahub
(GA4)"	"SESSIONS
Measurement changed after GA4 in June 23."	2022	"259,650"	"272,620"	"228,310"	"245,730"	"379,550"	"244,580"	"215,670"	"215,430"	"315,570"	"314,170"	"400,590"	"357,270"	"3,449,140"
"Datahub
(GA4)"	"SESSIONS
Measurement changed after GA4 in June 23."	2021	"190,110"	"141,890"	"136,220"	"110,510"	"200,740"	"171,400"	"177,630"	"161,380"	"170,270"	"146,310"	"273,740"	"218,710"	"2,098,910"
