channel_name,value,date
Paid Search Media,52392,2025-01-01
Paid Search Media,33131,2024-01-01
Paid Search Media,46139,2023-01-01
Paid Search Media,51972,2022-01-01
Paid Social Media,110665,2025-01-01
Paid Social Media,55172,2024-01-01
Paid Social Media,61761,2023-01-01
Paid Social Media,17057,2022-01-01
Affiliate Media,25853,2025-01-01
Affiliate Media,18819,2024-01-01
Affiliate Media,15167,2023-01-01
Affiliate Media,68418,2022-01-01
Paid Search Agency,6063,2025-01-01
Paid Search Agency,5045,2024-01-01
Paid Search Agency,0,2023-01-01
Paid Search Agency,0,2022-01-01
Paid Social Agency,12807,2025-01-01
Paid Social Agency,8400,2024-01-01
Paid Social Agency,0,2023-01-01
Paid Social Agency,0,2022-01-01
Affiliate Agency,6458,2025-01-01
Affiliate Agency,5013,2024-01-01
Affiliate Agency,0,2023-01-01
Affiliate Agency,0,2022-01-01
Paid Search Media,53764,2025-02-01
Paid Search Media,31642,2024-02-01
Paid Search Media,37231,2023-02-01
Paid Search Media,35202,2022-02-01
Paid Social Media,93826,2025-02-01
Paid Social Media,99304,2024-02-01
Paid Social Media,77588,2023-02-01
Paid Social Media,6602,2022-02-01
Affiliate Media,10886,2025-02-01
Affiliate Media,4709,2024-02-01
Affiliate Media,7477,2023-02-01
Affiliate Media,99449,2022-02-01
Paid Search Agency,6874,2025-02-01
Paid Search Agency,4044,2024-02-01
Paid Search Agency,0,2023-02-01
Paid Search Agency,0,2022-02-01
Paid Social Agency,11996,2025-02-01
Paid Social Agency,12690,2024-02-01
Paid Social Agency,0,2023-02-01
Paid Social Agency,0,2022-02-01
Affiliate Agency,5597,2025-02-01
Affiliate Agency,5101,2024-02-01
Affiliate Agency,0,2023-02-01
Affiliate Agency,0,2022-02-01
Paid Search Media,76624,2025-03-01
Paid Search Media,31725,2024-03-01
Paid Search Media,40045,2023-03-01
Paid Search Media,37427,2022-03-01
Paid Social Media,153218,2025-03-01
Paid Social Media,79542,2024-03-01
Paid Social Media,85959,2023-03-01
Paid Social Media,7403,2022-03-01
Affiliate Media,12631,2025-03-01
Affiliate Media,10532,2024-03-01
Affiliate Media,11469,2023-03-01
Affiliate Media,65792,2022-03-01
Paid Search Agency,8192,2025-03-01
Paid Search Agency,4771,2024-03-01
Paid Search Agency,0,2023-03-01
Paid Search Agency,0,2022-03-01
Paid Social Agency,16380,2025-03-01
Paid Social Agency,11963,2024-03-01
Paid Social Agency,0,2023-03-01
Paid Social Agency,0,2022-03-01
Affiliate Agency,6222,2025-03-01
Affiliate Agency,5335,2024-03-01
Affiliate Agency,0,2023-03-01
Affiliate Agency,0,2022-03-01
Paid Search Media,80616,2025-04-01
Paid Search Media,32934,2024-04-01
Paid Search Media,42141,2023-04-01
Paid Search Media,34701,2022-04-01
Paid Social Media,151295,2025-04-01
Paid Social Media,95402,2024-04-01
Paid Social Media,94582,2023-04-01
Paid Social Media,7485,2022-04-01
Affiliate Media,13265,2025-04-01
Affiliate Media,10582,2024-04-01
Affiliate Media,7716,2023-04-01
Affiliate Media,85086,2022-04-01
Paid Search Agency,8339,2025-04-01
Paid Search Agency,4798,2024-04-01
Paid Search Agency,0,2023-04-01
Paid Search Agency,0,2022-04-01
Paid Social Agency,15651,2025-04-01
Paid Social Agency,13897,2024-04-01
Paid Social Agency,0,2023-04-01
Paid Social Agency,0,2022-04-01
Affiliate Agency,6460,2025-04-01
Affiliate Agency,5694,2024-04-01
Affiliate Agency,0,2023-04-01
Affiliate Agency,0,2022-04-01
Paid Search Media,79749,2025-05-01
Paid Search Media,48252,2024-05-01
Paid Search Media,54553,2023-05-01
Paid Search Media,53967,2022-05-01
Paid Social Media,238355,2025-05-01
Paid Social Media,203679,2024-05-01
Paid Social Media,194958,2023-05-01
Paid Social Media,14324,2022-05-01
Affiliate Media,18461,2025-05-01
Affiliate Media,14907,2024-05-01
