marketing_channel,total_ad_spend,total_revenue,mapping_key,agency_fees,true_total_ad_spend,corrected_roas
organic search,59978.0,2794810.73,,0.0,59978.0,46.59726449698223
email,96624.0,3743370.64,,0.0,96624.0,38.74162361318099
sms,25270.0,641236.85,,0.0,25270.0,25.37541946972695
paid search,780570.23,4616495.91,paid search,110400.0,890970.23,5.181425545497744
shopping,289068.26,882064.96,,0.0,289068.26,3.0514071659060735
affiliates,243691.41,630776.05,affiliates,110938.0,354629.41000000003,1.7786907464894126
paid social,2455543.29,1974848.56,paid social,257589.0,2713132.29,0.7278850969703361
Other,0.0,1975135.4700000002,,0.0,0.0,0.0
direct,0.0,3264081.45,,0.0,0.0,0.0
Unattributed,0.0,29071.06,,0.0,0.0,0.0
organic social,0.0,63291.61,,0.0,0.0,0.0
display,0.0,1735.39,,0.0,0.0,0.0
