channel_name,value,date
Paid Search Media,52392,1/1/2025
Paid Search Media,33131,1/1/2024
Paid Search Media,46139,1/1/2023
Paid Search Media,51972,1/1/2022
Paid Social Media,110665,1/1/2025
Paid Social Media,55172,1/1/2024
Paid Social Media,61761,1/1/2023
Paid Social Media,17057,1/1/2022
Affiliate Media,25853,1/1/2025
Affiliate Media,18819,1/1/2024
Affiliate Media,15167,1/1/2023
Affiliate Media,68418,1/1/2022
Paid Search Agency,6063,1/1/2025
Paid Search Agency,5045,1/1/2024
Paid Search Agency,0,1/1/2023
Paid Search Agency,0,1/1/2022
Paid Social Agency,12807,1/1/2025
Paid Social Agency,8400,1/1/2024
Paid Social Agency,0,1/1/2023
Paid Social Agency,0,1/1/2022
Affiliate Agency,6458,1/1/2025
Affiliate Agency,5013,1/1/2024
Affiliate Agency,0,1/1/2023
Affiliate Agency,0,1/1/2022
Paid Search Media,53764,2/1/2025
Paid Search Media,31642,2/1/2024
Paid Search Media,37231,2/1/2023
Paid Search Media,35202,2/1/2022
Paid Social Media,93826,2/1/2025
Paid Social Media,99304,2/1/2024
Paid Social Media,77588,2/1/2023
Paid Social Media,6602,2/1/2022
Affiliate Media,10886,2/1/2025
Affiliate Media,4709,2/1/2024
Affiliate Media,7477,2/1/2023
Affiliate Media,99449,2/1/2022
Paid Search Agency,6874,2/1/2025
Paid Search Agency,4044,2/1/2024
Paid Search Agency,0,2/1/2023
Paid Search Agency,0,2/1/2022
Paid Social Agency,11996,2/1/2025
Paid Social Agency,12690,2/1/2024
Paid Social Agency,0,2/1/2023
Paid Social Agency,0,2/1/2022
Affiliate Agency,5597,2/1/2025
Affiliate Agency,5101,2/1/2024
Affiliate Agency,0,2/1/2023
Affiliate Agency,0,2/1/2022
Paid Search Media,76624,3/1/2025
Paid Search Media,31725,3/1/2024
Paid Search Media,40045,3/1/2023
Paid Search Media,37427,3/1/2022
Paid Social Media,153218,3/1/2025
Paid Social Media,79542,3/1/2024
Paid Social Media,85959,3/1/2023
Paid Social Media,7403,3/1/2022
Affiliate Media,12631,3/1/2025
Affiliate Media,10532,3/1/2024
Affiliate Media,11469,3/1/2023
Affiliate Media,65792,3/1/2022
Paid Search Agency,8192,3/1/2025
Paid Search Agency,4771,3/1/2024
Paid Search Agency,0,3/1/2023
Paid Search Agency,0,3/1/2022
Paid Social Agency,16380,3/1/2025
Paid Social Agency,11963,3/1/2024
Paid Social Agency,0,3/1/2023
Paid Social Agency,0,3/1/2022
Affiliate Agency,6222,3/1/2025
Affiliate Agency,5335,3/1/2024
Affiliate Agency,0,3/1/2023
Affiliate Agency,0,3/1/2022
Paid Search Media,80616,4/1/2025
Paid Search Media,32934,4/1/2024
Paid Search Media,42141,4/1/2023
Paid Search Media,34701,4/1/2022
Paid Social Media,151295,4/1/2025
Paid Social Media,95402,4/1/2024
Paid Social Media,94582,4/1/2023
Paid Social Media,7485,4/1/2022
Affiliate Media,13265,4/1/2025
Affiliate Media,10582,4/1/2024
Affiliate Media,7716,4/1/2023
Affiliate Media,85086,4/1/2022
Paid Search Agency,8339,4/1/2025
Paid Search Agency,4798,4/1/2024
Paid Search Agency,0,4/1/2023
Paid Search Agency,0,4/1/2022
Paid Social Agency,15651,4/1/2025
Paid Social Agency,13897,4/1/2024
Paid Social Agency,0,4/1/2023
Paid Social Agency,0,4/1/2022
Affiliate Agency,6460,4/1/2025
Affiliate Agency,5694,4/1/2024
Affiliate Agency,0,4/1/2023
Affiliate Agency,0,4/1/2022
Paid Search Media,79749,5/1/2025
Paid Search Media,48252,5/1/2024
Paid Search Media,54553,5/1/2023
Paid Search Media,53967,5/1/2022
Paid Social Media,238355,5/1/2025
Paid Social Media,203679,5/1/2024
Paid Social Media,194958,5/1/2023
Paid Social Media,14324,5/1/2022
Affiliate Media,18461,5/1/2025
Affiliate Media,14907,5/1/2024
Affiliate Media,17053,5/1/2023
Affiliate Media,131971,5/1/2022
Paid Search Agency,7501,5/1/2025
Paid Search Agency,5400,5/1/2024
Paid Search Agency,0,5/1/2023
Paid Search Agency,0,5/1/2022
Paid Social Agency,22418,5/1/2025
Paid Social Agency,22795,5/1/2024
Paid Social Agency,0,5/1/2023
Paid Social Agency,0,5/1/2022
Affiliate Agency,8978,5/1/2025
Affiliate Agency,8877,5/1/2024
Affiliate Agency,0,5/1/2023
Affiliate Agency,0,5/1/2022
Paid Search Media,41935,6/1/2024
Paid Search Media,50097,6/1/2023
Paid Search Media,53238,6/1/2022
Paid Social Media,85372,6/1/2024
Paid Social Media,56649,6/1/2023
Paid Social Media,6956,6/1/2022
Affiliate Media,10084,6/1/2024
Affiliate Media,7937,6/1/2023
Affiliate Media,73522,6/1/2022
Paid Search Agency,6158,6/1/2024
Paid Search Agency,0,6/1/2023
Paid Search Agency,0,6/1/2022
Paid Social Agency,12537,6/1/2024
Paid Social Agency,0,6/1/2023
Paid Social Agency,0,6/1/2022
Affiliate Agency,5404,6/1/2024
Affiliate Agency,0,6/1/2023
Affiliate Agency,0,6/1/2022
Paid Search Media,56408,7/1/2024
Paid Search Media,45673,7/1/2023
Paid Search Media,37916,7/1/2022
Paid Social Media,97484,7/1/2024
Paid Social Media,59735,7/1/2023
Paid Social Media,6502,7/1/2022
Affiliate Media,7636,7/1/2024
Affiliate Media,10977,7/1/2023
Affiliate Media,56788,7/1/2022
Paid Search Agency,7051,7/1/2024
Paid Search Agency,0,7/1/2023
Paid Search Agency,0,7/1/2022
Paid Social Agency,12185,7/1/2024
Paid Social Agency,0,7/1/2023
Paid Social Agency,0,7/1/2022
Affiliate Agency,6840,7/1/2024
Affiliate Agency,0,7/1/2023
Affiliate Agency,0,7/1/2022
Paid Search Media,65506,8/1/2024
Paid Search Media,49727,8/1/2023
Paid Search Media,38685,8/1/2022
Paid Social Media,112965,8/1/2024
Paid Social Media,62623,8/1/2023
Paid Social Media,9156,8/1/2022
Affiliate Media,9567,8/1/2024
Affiliate Media,8953,8/1/2023
Affiliate Media,62939,8/1/2022
Paid Search Agency,6862,8/1/2024
Paid Search Agency,0,8/1/2023
Paid Search Agency,0,8/1/2022
Paid Social Agency,11833,8/1/2024
Paid Social Agency,0,8/1/2023
Paid Social Agency,0,8/1/2022
Affiliate Agency,5541,8/1/2024
Affiliate Agency,0,8/1/2023
Affiliate Agency,0,8/1/2022
Paid Search Media,51646,9/1/2024
Paid Search Media,56553,9/1/2023
Paid Search Media,48322,9/1/2022
Paid Social Media,134002,9/1/2024
Paid Social Media,95546,9/1/2023
Paid Social Media,14543,9/1/2022
Affiliate Media,8319,9/1/2024
Affiliate Media,13148,9/1/2023
Affiliate Media,88066,9/1/2022
Paid Search Agency,5384,9/1/2024
Paid Search Agency,0,9/1/2023
Paid Search Agency,0,9/1/2022
Paid Social Agency,13971,9/1/2024
Paid Social Agency,0,9/1/2023
Paid Social Agency,0,9/1/2022
Affiliate Agency,10060,9/1/2024
Affiliate Agency,0,9/1/2023
Affiliate Agency,0,9/1/2022
Paid Search Media,68150,10/1/2024
Paid Search Media,40265,10/1/2023
Paid Search Media,39373,10/1/2022
Paid Social Media,130267,10/1/2024
Paid Social Media,113415,10/1/2023
Paid Social Media,8295,10/1/2022
Affiliate Media,9534,10/1/2024
Affiliate Media,9912,10/1/2023
Affiliate Media,58283,10/1/2022
Paid Search Agency,6959,10/1/2024
Paid Search Agency,0,10/1/2023
Paid Search Agency,0,10/1/2022
Paid Social Agency,13303,10/1/2024
Paid Social Agency,0,10/1/2023
Paid Social Agency,0,10/1/2022
Affiliate Agency,5272,10/1/2024
Affiliate Agency,0,10/1/2023
Affiliate Agency,0,10/1/2022
Paid Search Media,88112,11/1/2024
Paid Search Media,96006,11/1/2023
Paid Search Media,75545,11/1/2022
Paid Social Media,209903,11/1/2024
Paid Social Media,215073,11/1/2023
Paid Social Media,26274,11/1/2022
Affiliate Media,21890,11/1/2024
Affiliate Media,28760,11/1/2023
Affiliate Media,154123,11/1/2022
Paid Search Agency,8336,11/1/2024
Paid Search Agency,0,11/1/2023
Paid Search Agency,0,11/1/2022
Paid Social Agency,19859,11/1/2024
Paid Social Agency,0,11/1/2023
Paid Social Agency,0,11/1/2022
Affiliate Agency,9578,11/1/2024
Affiliate Agency,0,11/1/2023
Affiliate Agency,0,11/1/2022
Paid Search Media,92682,12/1/2024
Paid Search Media,89836,12/1/2023
Paid Search Media,86958,12/1/2022
Paid Social Media,267692,12/1/2024
Paid Social Media,166116,12/1/2023
Paid Social Media,12292,12/1/2022
Affiliate Media,29879,12/1/2024
Affiliate Media,16372,12/1/2023
Affiliate Media,166031,12/1/2022
Paid Search Agency,8623,12/1/2024
Paid Search Agency,0,12/1/2023
Paid Search Agency,0,12/1/2022
Paid Social Agency,24904,12/1/2024
Paid Social Agency,0,12/1/2023
Paid Social Agency,0,12/1/2022
Affiliate Agency,4508,12/1/2024
Affiliate Agency,0,12/1/2023
Affiliate Agency,0,12/1/2022
