channel_name,value,date
Paid Search,1041,2024-01-01
Paid Search,765,2023-01-01
Paid Search,0,2022-01-01
Paid Search,0,2021-01-01
Paid Social,282,2024-01-01
Paid Social,125,2023-01-01
Paid Social,0,2022-01-01
Paid Social,0,2021-01-01
Affiliate,116,2024-01-01
Affiliate,127,2023-01-01
Affiliate,0,2022-01-01
Affiliate,0,2021-01-01
Display,0,2024-01-01
Display,0,2023-01-01
Display,0,2022-01-01
Display,0,2021-01-01
Email,1158,2024-01-01
Email,1763,2023-01-01
Email,0,2022-01-01
Email,0,2021-01-01
SMS,218,2024-01-01
SMS,198,2023-01-01
SMS,0,2022-01-01
SMS,0,2021-01-01
Organic Search,382,2024-01-01
Organic Search,408,2023-01-01
Organic Search,0,2022-01-01
Organic Search,0,2021-01-01
Direct,793,2024-01-01
Direct,703,2023-01-01
Direct,0,2022-01-01
Direct,0,2021-01-01
Unattributed,345,2024-01-01
Unattributed,698,2023-01-01
Unattributed,0,2022-01-01
Unattributed,0,2021-01-01
Other,769,2024-01-01
Other,33,2023-01-01
Other,0,2022-01-01
Other,0,2021-01-01
Organic Social,13,2024-01-01
Organic Social,23,2023-01-01
Organic Social,0,2022-01-01
Organic Social,0,2021-01-01
Paid Search,968,2024-02-01
Paid Search,550,2023-02-01
Paid Search,0,2022-02-01
Paid Search,0,2021-02-01
Paid Social,220,2024-02-01
Paid Social,76,2023-02-01
Paid Social,0,2022-02-01
Paid Social,0,2021-02-01
Affiliate,100,2024-02-01
Affiliate,71,2023-02-01
Affiliate,0,2022-02-01
Affiliate,0,2021-02-01
Display,0,2024-02-01
Display,0,2023-02-01
Display,0,2022-02-01
Display,0,2021-02-01
Email,1401,2024-02-01
Email,874,2023-02-01
Email,0,2022-02-01
Email,0,2021-02-01
SMS,136,2024-02-01
SMS,116,2023-02-01
SMS,0,2022-02-01
SMS,0,2021-02-01
Organic Search,343,2024-02-01
Organic Search,283,2023-02-01
Organic Search,0,2022-02-01
Organic Search,0,2021-02-01
Direct,708,2024-02-01
Direct,467,2023-02-01
Direct,0,2022-02-01
Direct,0,2021-02-01
Unattributed,255,2024-02-01
Unattributed,573,2023-02-01
Unattributed,0,2022-02-01
Unattributed,0,2021-02-01
Other,579,2024-02-01
Other,27,2023-02-01
Other,0,2022-02-01
Other,0,2021-02-01
Organic Social,12,2024-02-01
Organic Social,26,2023-02-01
Organic Social,0,2022-02-01
Organic Social,0,2021-02-01
Paid Search,978,2024-03-01
Paid Search,274,2023-03-01
Paid Search,0,2022-03-01
Paid Search,0,2021-03-01
Paid Social,233,2024-03-01
Paid Social,505,2023-03-01
Paid Social,0,2022-03-01
Paid Social,0,2021-03-01
