date,sessions,sessions_with_cart_additions,added_to_cart_rate,sessions_that_reached_checkout,reached_checkout_rate,sessions_that_completed_checkout,checkout_conversion_rate,conversion_rate,pageviews_per_session,pageviews
1/1/2024,342385,11370,0.03,10522,0.03,5897,0.56,0.02,2.47,844908
1/1/2025,336672,31047,0.09,18627,0.06,9058,0.49,0.03,3.46,1165178
2/1/2024,345773,16583,0.05,12264,0.04,7568,0.62,0.02,3.05,1054390
2/1/2025,336318,25825,0.08,16284,0.05,7053,0.43,0.02,3.07,1031543
3/1/2024,286656,18153,0.06,13083,0.05,8476,0.65,0.03,3.27,936210
3/1/2025,385347,31679,0.08,20111,0.05,9080,0.45,0.02,2.95,1137706
4/1/2024,300478,21545,0.07,15317,0.05,9018,0.59,0.03,3.48,1046813
4/1/2025,360774,40872,0.11,24574,0.07,9115,0.37,0.03,3.3,1188855
5/1/2024,403487,32837,0.08,22473,0.06,14535,0.65,0.04,3.61,1454783
5/1/2025,454573,55029,0.12,31619,0.07,14592,0.46,0.03,3.65,1659780
6/1/2024,375783,20096,0.05,14189,0.04,8790,0.62,0.02,2.84,1068859
7/1/2024,396521,19410,0.05,13620,0.03,8228,0.6,0.02,2.83,1120936
8/1/2024,418982,22379,0.05,16020,0.04,9813,0.61,0.02,2.82,1179673
9/1/2024,361476,19866,0.05,13276,0.04,8342,0.63,0.02,2.79,1008213
10/1/2024,304644,26404,0.09,14884,0.05,8104,0.54,0.03,3.21,977883
11/1/2024,370064,47234,0.13,28696,0.08,14760,0.51,0.04,3.75,1386201
12/1/2024,433467,54569,0.13,35931,0.08,20162,0.56,0.05,3.71,1607114
