Date,CHANNEL,Media_Spend,Media_Spend_by_Channel,Sessions,Clicks,Orders_Existing,Customers_Existing,Total_Revenue,Total_Returns,Technology_Spend
2023-01-01,Affiliates,0.0,0.0,0.0,0.0,120.0,114.0,968195.0,0.0,0.0
2023-01-01,Paid Search,0.0,0.0,0.0,0.0,765.0,734.0,968195.0,0.0,0.0
2023-01-01,Paid Social,0.0,0.0,0.0,0.0,124.0,118.0,968195.0,0.0,0.0
2023-02-01,Affiliates,0.0,0.0,0.0,0.0,128.0,122.0,784298.0,0.0,0.0
2023-02-01,Paid Search,0.0,0.0,0.0,0.0,550.0,524.0,784298.0,0.0,0.0
2023-02-01,Paid Social,0.0,0.0,0.0,0.0,106.0,101.0,784298.0,0.0,0.0
2023-03-01,Affiliates,0.0,0.0,0.0,0.0,138.0,132.0,1118958.0,0.0,0.0
2023-03-01,Paid Search,0.0,0.0,0.0,0.0,274.0,259.0,1118958.0,0.0,0.0
2023-03-01,Paid Social,0.0,0.0,0.0,0.0,104.0,99.0,1118958.0,0.0,0.0
2023-04-01,Affiliates,0.0,0.0,0.0,0.0,144.0,137.0,892836.0,0.0,0.0
2023-04-01,Paid Search,0.0,0.0,0.0,0.0,319.0,302.0,892836.0,0.0,0.0
2023-04-01,Paid Social,0.0,0.0,0.0,0.0,100.0,95.0,892836.0,0.0,0.0
2023-05-01,Affiliates,0.0,0.0,0.0,0.0,138.0,131.0,1702721.0,0.0,0.0
2023-05-01,Paid Search,0.0,0.0,0.0,0.0,1084.0,1036.0,1702721.0,0.0,0.0
2023-05-01,Paid Social,0.0,0.0,0.0,0.0,100.0,95.0,1702721.0,0.0,0.0
2023-06-01,Affiliates,0.0,0.0,0.0,0.0,138.0,131.0,864458.0,0.0,0.0
2023-06-01,Paid Search,0.0,0.0,0.0,0.0,774.0,735.0,864458.0,0.0,0.0
2023-06-01,Paid Social,0.0,0.0,0.0,0.0,100.0,95.0,864458.0,0.0,0.0
2023-07-01,Affiliates,0.0,0.0,0.0,0.0,138.0,131.0,1036750.0,0.0,0.0
2023-07-01,Paid Search,0.0,0.0,0.0,0.0,937.0,891.0,1036750.0,0.0,0.0
2023-07-01,Paid Social,0.0,0.0,0.0,0.0,100.0,95.0,1036750.0,0.0,0.0
2023-08-01,Affiliates,0.0,0.0,0.0,0.0,138.0,131.0,991799.0,0.0,0.0
2023-08-01,Paid Search,0.0,0.0,0.0,0.0,1079.0,1024.0,991799.0,0.0,0.0
2023-08-01,Paid Social,0.0,0.0,0.0,0.0,100.0,95.0,991799.0,0.0,0.0
2023-09-01,Affiliates,0.0,0.0,0.0,0.0,138.0,131.0,1182469.0,0.0,0.0
2023-09-01,Paid Search,0.0,0.0,0.0,0.0,1050.0,996.0,1182469.0,0.0,0.0
2023-09-01,Paid Social,0.0,0.0,0.0,0.0,100.0,95.0,1182469.0,0.0,0.0
2023-10-01,Affiliates,0.0,0.0,0.0,0.0,138.0,131.0,917970.0,0.0,0.0
2023-10-01,Paid Search,0.0,0.0,0.0,0.0,779.0,739.0,917970.0,0.0,0.0
2023-10-01,Paid Social,0.0,0.0,0.0,0.0,100.0,95.0,917970.0,0.0,0.0
2023-11-01,Affiliates,0.0,0.0,0.0,0.0,138.0,131.0,2544000.0,0.0,0.0
2023-11-01,Paid Search,0.0,0.0,0.0,0.0,2518.0,2393.0,2544000.0,0.0,0.0
2023-11-01,Paid Social,0.0,0.0,0.0,0.0,100.0,95.0,2544000.0,0.0,0.0
2023-12-01,Affiliates,0.0,0.0,0.0,0.0,138.0,131.0,1595092.0,0.0,0.0
2023-12-01,Paid Search,0.0,0.0,0.0,0.0,1734.0,1647.0,1595092.0,0.0,0.0
2023-12-01,Paid Social,0.0,0.0,0.0,0.0,100.0,95.0,1595092.0,0.0,0.0
2024-01-01,Affiliates,0.0,0.0,0.0,0.0,0.0,0.0,957701.42,0.0,0.0
2024-01-01,Paid Search,33131.2,0.0,0.0,0.0,1041.0,1010.0,957701.42,0.0,0.0
2024-01-01,Paid Social,0.0,0.0,0.0,0.0,0.0,0.0,957701.42,0.0,0.0
2024-02-01,Affiliates,0.0,0.0,0.0,0.0,0.0,0.0,954880.12,0.0,0.0
2024-02-01,Paid Search,31642.31,0.0,0.0,0.0,968.0,932.0,954880.12,0.0,0.0
2024-02-01,Paid Social,0.0,0.0,0.0,0.0,0.0,0.0,954880.12,0.0,0.0
2024-03-01,Affiliates,0.0,0.0,0.0,0.0,0.0,0.0,975023.84,0.0,0.0
2024-03-01,Paid Search,31725.23,0.0,0.0,0.0,978.0,935.0,975023.84,0.0,0.0
2024-03-01,Paid Social,0.0,0.0,0.0,0.0,0.0,0.0,975023.84,0.0,0.0
2024-04-01,Affiliates,0.0,0.0,0.0,0.0,0.0,0.0,1090895.52,0.0,0.0
2024-04-01,Paid Search,32933.83,0.0,0.0,0.0,1101.0,1060.0,1090895.52,0.0,0.0
2024-04-01,Paid Social,0.0,0.0,0.0,0.0,0.0,0.0,1090895.52,0.0,0.0
2024-05-01,Affiliates,0.0,0.0,0.0,0.0,0.0,0.0,1516157.7,0.0,0.0
2024-05-01,Paid Search,48251.61,0.0,0.0,0.0,1276.0,1232.0,1516157.7,0.0,0.0
