YEAR,MONTH,CHANNEL,Sessions,Clicks,Orders,Customers,Total_Returns,Spend,Technology_Spend,Total_Revenue
2023,JANUARY,Affiliates,15000.0,3000.0,120.0,114.0,25432.21,0.0,15000.0,968195.0
2023,JANUARY,Paid Search,95000.0,19000.0,765.0,734.0,25432.21,0.0,15000.0,968195.0
2023,JANUARY,Paid Social,18000.0,3600.0,124.0,118.0,25432.21,0.0,15000.0,968195.0
2023,FEBRUARY,Affiliates,16000.0,3200.0,128.0,122.0,21987.43,0.0,15000.0,784298.0
2023,FEBRUARY,Paid Search,70000.0,14000.0,550.0,524.0,21987.43,0.0,15000.0,784298.0
2023,FEBRUARY,Paid Social,15000.0,3000.0,106.0,101.0,21987.43,0.0,15000.0,784298.0
2023,MARCH,Affiliates,17000.0,3400.0,138.0,132.0,28711.23,0.0,15000.0,1118958.0
2023,MARCH,Paid Search,45000.0,9000.0,274.0,259.0,28711.23,0.0,15000.0,1118958.0
2023,MARCH,Paid Social,16000.0,3200.0,104.0,99.0,28711.23,0.0,15000.0,1118958.0
2023,APRIL,Affiliates,18000.0,3600.0,144.0,137.0,21874.92,0.0,15000.0,892836.0
2023,APRIL,Paid Search,50000.0,10000.0,319.0,302.0,21874.92,0.0,15000.0,892836.0
2023,APRIL,Paid Social,14000.0,2800.0,100.0,95.0,21874.92,0.0,15000.0,892836.0
2023,MAY,Affiliates,17500.0,3500.0,138.0,131.0,46321.87,0.0,15000.0,1702721.0
2023,MAY,Paid Search,120000.0,24000.0,1084.0,1036.0,46321.87,0.0,15000.0,1702721.0
2023,MAY,Paid Social,15500.0,3100.0,100.0,95.0,46321.87,0.0,15000.0,1702721.0
2023,JUNE,Affiliates,17000.0,3400.0,138.0,131.0,21234.54,0.0,15000.0,864458.0
2023,JUNE,Paid Search,90000.0,18000.0,774.0,735.0,21234.54,0.0,15000.0,864458.0
2023,JUNE,Paid Social,14500.0,2900.0,100.0,95.0,21234.54,0.0,15000.0,864458.0
2023,JULY,Affiliates,18000.0,3600.0,138.0,131.0,28765.98,0.0,15000.0,1036750.0
2023,JULY,Paid Search,110000.0,22000.0,937.0,891.0,28765.98,0.0,15000.0,1036750.0
2023,JULY,Paid Social,16000.0,3200.0,100.0,95.0,28765.98,0.0,15000.0,1036750.0
2023,AUGUST,Affiliates,18000.0,3600.0,138.0,131.0,24387.65,0.0,15000.0,991799.0
2023,AUGUST,Paid Search,125000.0,25000.0,1079.0,1024.0,24387.65,0.0,15000.0,991799.0
2023,AUGUST,Paid Social,16500.0,3300.0,100.0,95.0,24387.65,0.0,15000.0,991799.0
