CHANNEL,YEAR,MONTH,Customer_Type,Orders,Customers,Media_Spend
Affiliate Media,2023,APRIL,Existing,144.0,137.0,0.0
Affiliate Media,2023,AUGUST,Existing,138.0,131.0,0.0
Affiliate Media,2023,DECEMBER,Existing,138.0,131.0,0.0
Affiliate Media,2023,FEBRUARY,Existing,128.0,122.0,0.0
Affiliate Media,2023,JANUARY,Existing,120.0,114.0,0.0
Affiliate Media,2023,JULY,Existing,138.0,131.0,0.0
Affiliate Media,2023,JUNE,Existing,138.0,131.0,0.0
Affiliate Media,2023,MARCH,Existing,138.0,132.0,0.0
Affiliate Media,2023,MAY,Existing,138.0,131.0,0.0
Affiliate Media,2023,NOVEMBER,Existing,138.0,131.0,0.0
Affiliate Media,2023,OCTOBER,Existing,138.0,131.0,0.0
Affiliate Media,2023,SEPTEMBER,Existing,138.0,131.0,0.0
Affiliate Media,2024,APRIL,New,112.0,111.0,0.0
Affiliate Media,2024,AUGUST,New,112.0,110.0,0.0
Affiliate Media,2024,DECEMBER,New,112.0,110.0,0.0
Affiliate Media,2024,FEBRUARY,New,116.0,119.0,0.0
Affiliate Media,2024,JANUARY,New,130.0,129.0,0.0
Affiliate Media,2024,JULY,New,112.0,110.0,0.0
Affiliate Media,2024,JUNE,New,112.0,110.0,0.0
Affiliate Media,2024,MARCH,New,112.0,111.0,0.0
Affiliate Media,2024,MAY,New,112.0,110.0,0.0
Affiliate Media,2024,NOVEMBER,New,112.0,110.0,0.0
Affiliate Media,2024,OCTOBER,New,112.0,110.0,0.0
Affiliate Media,2024,SEPTEMBER,New,112.0,110.0,0.0
Paid Search Media,2023,APRIL,Existing,319.0,302.0,0.0
Paid Search Media,2023,AUGUST,Existing,1079.0,1024.0,0.0
Paid Search Media,2023,DECEMBER,Existing,1734.0,1647.0,0.0
Paid Search Media,2023,FEBRUARY,Existing,550.0,524.0,0.0
Paid Search Media,2023,JANUARY,Existing,765.0,734.0,0.0
Paid Search Media,2023,JULY,Existing,937.0,891.0,0.0
Paid Search Media,2023,JUNE,Existing,774.0,735.0,0.0
Paid Search Media,2023,MARCH,Existing,274.0,259.0,0.0
Paid Search Media,2023,MAY,Existing,1084.0,1036.0,0.0
Paid Search Media,2023,NOVEMBER,Existing,2518.0,2393.0,0.0
Paid Search Media,2023,OCTOBER,Existing,779.0,739.0,0.0
Paid Search Media,2023,SEPTEMBER,Existing,1050.0,996.0,0.0
Paid Search Media,2024,APRIL,Existing,1101.0,1060.0,32933.83
Paid Search Media,2024,APRIL,New,1168.0,1162.0,32933.83
Paid Search Media,2024,AUGUST,Existing,1215.0,1173.0,65506.0
Paid Search Media,2024,AUGUST,New,1315.0,1308.0,65506.0
