,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW CUSTOMERS,,,,,,,,,,,,,,,,,,,,,,,,,
DATA SOURCE,DATA SOURCE,CHANNEL,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,,TOTAL,,,YTD,,,,,
,Datahub,Paid Search,2025,"1,405","1,169","1,433","1,322",,,,,,,,,,,"5,329",,,,,,,,
SHOPIFY,,,2024,"1,380","1,085",955,"1,162","1,399",933,,"1,011","1,308","1,307","1,224","1,969","2,688",,"16,421",,56.6%,"9,233",,,,,
https://admin.shopify.com/store/hanky-panky-dtc/reports/2821259460?since=2024-01-14&until=2024-01-20,,,2023,"1,206",828,325,477,"1,393",950,,"1,261","1,174","1,494",908,"3,334","2,403",,"15,753",,,"7,614",,,,,
,,,2022,828,813,915,676,937,801,,827,845,"1,168",793,"2,686","1,881",,"13,170",,,21%,,,,,
,,,2021,686,600,540,454,"1,054",668,,739,693,657,593,"1,516","1,062",,"9,262",,,,,,,,
,,,25/24,1.81%,7.74%,50.05%,13.77%,,,,,,,,,,,16.30%,YTD,,,,,,,
,,,24/23,14.43%,31.04%,193.85%,143.61%,0.43%,-1.79%,,-19.83%,11.41%,-12.52%,34.80%,-40.94%,11.86%,,4.24%,,,,,,,,
,,,23/22,45.65%,1.85%,-64.48%,-29.44%,48.67%,18.60%,,52.48%,38.93%,27.91%,14.50%,24.13%,27.75%,,19.61%,,,,,,,,
,,,22/21,20.70%,35.50%,69.44%,48.90%,-11.10%,19.91%,,11.91%,21.93%,77.78%,33.73%,77.18%,77.12%,,42.19%,,,,,,,,
,Datahub,Paid Social,2025,534,380,836,634,,,,,,,,,,,"2,384",,,,,,,,
,,,2024,447,324,294,379,"1,141",523,,434,699,665,372,"1,081","1,457",,"7,816",,26.9%,"4,241",,,,,
,,,2023,414,204,"1,103",309,"1,404",458,,782,702,"1,122",378,"1,561","1,132",,"9,569",,,"5,376",,,,,
,,,2022,310,257,225,193,822,200,,291,124,176,103,"1,345","1,053",,"5,099",,,-21%,,,,,
,,,2021,192,81,100,96,899,494,,364,138,71,67,"1,175",264,,"3,941",,,,,,,,
,,,25/24,19.46%,17.28%,184.35%,67.28%,,,,,,,,,,,65.10%,YTD,,,,,,,
,,,24/23,7.97%,58.82%,-73.35%,22.65%,-18.73%,14.19%,,-44.50%,-0.43%,-40.73%,-1.59%,-30.75%,28.71%,,-18.32%,,,,,,,,
,,,23/22,33.55%,-20.62%,390.22%,60.10%,70.80%,129.00%,,168.73%,466.13%,537.50%,266.99%,16.06%,7.50%,,87.66%,,,,,,,,
,,,22/21,61.46%,217.28%,125.00%,101.04%,-8.57%,-59.51%,,-20.05%,-10.14%,147.89%,53.73%,14.47%,298.86%,,29.38%,,,,,,,,
,Datahub,Affiliate,2025,149,130,168,128,,,,,,,,,,,575,,,,,,,,
SHOPIFY,,,2024,131,130,108,123,259,124,,109,134,110,103,222,339,,"1,892",,6.5%,"1,118",,,,,
https://admin.shopify.com/store/hanky-panky-dtc/reports/2821259460?since=2024-01-14&until=2024-01-20,,,2023,149,99,239,105,425,147,185,185,130,206,91,355,255,,"2,386",,,"1,664",,,,,
,,,2022,510,476,476,404,687,304,,110,136,187,122,619,249,,"4,280",,,-33%,,,,,
,,,2021,234,176,171,161,663,349,,387,326,353,339,"1,321",581,,"5,061",,,,,,,,
,,,25/24,13.74%,0.00%,55.56%,4.07%,,,,,,,,,,,16.87%,YTD,,,,,,,
,,,24/23,-12.08%,31.31%,-54.81%,17.14%,-39.06%,-15.65%,,-41.08%,3.08%,-46.60%,13.19%,-37.46%,32.94%,,-20.70%,,,,,,,,
,,,23/22,-70.78%,-79.20%,-49.79%,-74.01%,-38.14%,-51.64%,,68.18%,-4.41%,10.16%,-25.41%,-42.65%,2.41%,,-44.25%,,,,,,,,
,,,22/21,117.95%,170.45%,178.36%,150.93%,3.62%,-12.89%,,-71.58%,-58.28%,-47.03%,-64.01%,-53.14%,-57.14%,,-15.43%,,,,,,,,
,Datahub,Display,2024,24,13,,,,,,,,,,,,,37,,,,,,,,
,,,2023,,,,,,,,,,,5,30,40,,75,,,,,,,,
,,,2022,,,,,,,,,,,,,,,0,,,,,,,,
,,,2021,,,,,,,,,,,,,,,0,,,,,,,,
,,,24/23,,,,,,,,,,,,,,,-50.67%,,,,,,,,
,,,23/22,,,,,,,,,,,,,,,0.00%,,,,,,,,
,,,22/21,,,,,,,,,,,,,,,0.00%,,,,,,,,
,Datahub,Email,2025,289,247,290,345,,,,,,,,,,,"1,171",,,,,,,,
,,,2024,266,238,417,384,520,216,,149,230,268,284,815,985,,"4,772",,16.4%,"2,420",,,,,
,,,2023,597,320,501,359,"1,272",408,,557,374,554,345,"1,407",635,,"7,329",,,"4,388",,,,,
,,,2022,659,486,862,549,"1,185",467,,402,682,"1,729",724,"3,126","1,091",,"11,962",,,-45%,,,,,
,,,2021,839,636,686,525,"1,058",462,,640,553,607,455,"1,852",818,,"9,131",,,,,,,,
,,,25/24,8.65%,3.78%,-30.46%,-10.16%,,,,,,,,,,,-10.27%,YTD,,,,,,,
,,,24/23,-55.44%,-25.63%,-16.77%,6.96%,-59.12%,-47.06%,,-73.25%,-38.50%,-51.62%,-17.68%,-42.08%,55.12%,,-34.89%,,,,,,,,
,,,23/22,-9.41%,-34.16%,-41.88%,-34.61%,7.34%,-12.63%,,38.56%,-45.16%,-67.96%,-52.35%,-54.99%,-41.80%,,-38.73%,,,,,,,,
,,,22/21,-21.45%,-23.58%,25.66%,4.57%,12.00%,1.08%,,-37.19%,23.33%,184.84%,59.12%,68.79%,33.37%,,31.00%,,,,,,,,
,Datahub,SMS,2025,89,83,85,66,,,,,,,,,,,323,,,,,,,,
,,,2024,68,30,66,42,161,125,,162,181,84,60,184,282,,"1,445",,5.0%,835,,,,,
,,,2023,172,117,220,159,550,175,,26,78,79,42,176,150,,"1,944",,,1497,,,,,
,,,2022,470,402,485,341,633,286,,179,201,324,72,795,373,,"4,561",,,-44%,,,,,
,,,2021,,,-99.61%,-99.89%,"1,091",482,,595,447,514,369,"1,820",677,,"5,993",,,,,,,,
,,,25/24,30.88%,176.67%,28.79%,57.14%,,,,,,,,,,,56.80%,YTD,,,,,,,
,,,24/23,-60.47%,-74.36%,-70.00%,-73.58%,-70.73%,-28.57%,,523.08%,132.05%,6.33%,42.86%,4.55%,88.00%,,-25.67%,,,,,,,,
,,,23/22,-63.40%,-70.90%,-54.64%,-53.37%,-13.11%,-38.81%,,-85.47%,-61.19%,-75.62%,-41.67%,-77.86%,-59.79%,,-57.38%,,,,,,,,
,,,22/21,,,,,-41.98%,-40.66%,,-69.92%,-55.03%,-36.96%,-80.49%,-56.32%,-44.90%,,-23.89%,,,,,,,,
,Datahub,Organic Search,2025,766,626,460,455,,,,,,,,,,,"2,307",,,,,,,,
,,,2024,677,575,528,592,760,522,,528,575,535,508,954,"1,338",,"8,092",,27.9%,"4,757",,,,,
,,,2023,727,567,"1,596","1,074",960,721,,889,810,720,505,"1,062",819,,"10,450",,,"7,344",,,,,
,,,2022,974,784,914,683,943,690,,635,681,813,632,"1,546","1,092",,"10,387",,,-35%,,,,,
,,,2021,750,590,590,507,828,469,,578,556,536,472,"1,433",826,,"8,135",,,,,,,,
,,,25/24,13.15%,8.87%,-12.88%,-23.14%,,,,,,,,,,,97.26%,YTD,,,,,,,
,,,24/23,-6.88%,1.41%,-66.92%,-44.88%,-20.83%,-27.60%,,-40.61%,-29.01%,-25.69%,0.59%,-10.17%,63.37%,,-22.56%,,,,,,,,
,,,23/22,-25.36%,-27.68%,74.62%,57.25%,1.80%,4.49%,,40.00%,18.94%,-11.44%,-20.09%,-31.31%,-25.00%,,0.61%,,,,,,,,
,,,22/21,29.87%,32.88%,54.92%,34.71%,13.89%,47.12%,,9.86%,22.48%,51.68%,33.90%,7.89%,32.20%,,27.68%,,,,,,,,
,Datahub,Direct,2025,742,558,639,538,,,,,,,,,,,"2,477",,,,,,,,
CALC,,,2024,782,545,587,599,"1,258",601,,680,668,664,523,"1,281","1,966",,"10,154",,35.0%,"5,720",,,,,
,,,2023,692,444,751,522,"1,065",546,,687,652,788,377,"1,822","1,349",,"9,695",,,"5,359",,,,,
,,,2022,503,411,392,406,552,345,,443,501,879,422,"2,160","1,301",,"8,315",,,7%,,,,,
,,,2021,897,621,552,442,544,271,,291,262,283,294,"1,170",617,,"6,244",,,,,,,,
,,,25/24,-5.12%,2.39%,8.86%,-10.18%,,,,,,,,,,,-1.43%,YTD,,,,,,,
,,,24/23,13.01%,22.75%,-21.84%,14.75%,18.12%,10.07%,,-1.02%,2.45%,-15.74%,38.73%,-29.69%,45.74%,,4.73%,,,,,,,,
,,,23/22,37.57%,8.03%,91.58%,28.57%,92.93%,58.26%,,55.08%,30.14%,-10.35%,-10.66%,-15.65%,3.69%,,16.60%,,,,,,,,
,,,22/21,-43.92%,-33.82%,-28.99%,-8.14%,1.47%,27.31%,,52.23%,91.22%,210.60%,43.54%,84.62%,110.86%,,33.17%,,,,,,,,
,Datahub,Unattributed,2025,240,202,148,104,,,,,,,,,,,694,,,,,,,,
CALC,,,2024,224,113,125,117,155,221,,192,118,118,108,106,92,,"1,689",,5.8%,"1,265",,,,,
,,,2023,410,289,339,273,509,292,,170,133,113,136,202,168,,"3,034",,,"2,415",,,,,
,,,2022,168,195,198,197,261,174,,269,278,314,225,652,534,,"3,465",,,-48%,,,,,
,,,2021,264,133,134,122,182,767,,145,111,138,117,357,300,,"2,770",,,,,,,,
,,,25/24,7.14%,78.76%,18.40%,-11.11%,,,,,,,,,,,19.86%,YTD,,,,,,,
,,,24/23,-45.37%,-60.90%,-63.13%,-57.14%,-69.55%,-24.32%,,12.94%,-11.28%,4.42%,-20.59%,-47.52%,-45.24%,,-44.33%,,,,,,,,
,,,23/22,144.05%,48.21%,71.21%,38.58%,95.02%,67.82%,,-36.80%,-52.16%,-64.01%,-39.56%,-69.02%,-68.54%,,-12.44%,,,,,,,,
,,,22/21,-36.36%,46.62%,47.76%,61.48%,43.41%,-77.31%,,85.52%,150.45%,127.54%,92.31%,82.63%,78.00%,,25.09%,,,,,,,,
