Year,Month,Channel,Partner,Media Spend,Agency Spend
2024,Jan,Paid search,Google/Bing,"$33,131 ","$5,045 "
2024,Feb,Paid search,Google/Bing,"$31,642 ","$4,044 "
2024,Mar,Paid search,Google/Bing,"$31,725 ","$4,771 "
2024,Apr,Paid search,Google/Bing,"$32,934 ","$4,798 "
2024,May,Paid search,Google/Bing,"$48,252 ","$5,400 "
2024,Jun,Paid search,Google/Bing,"$41,935 ","$6,158 "
2024,Jul,Paid search,Google/Bing,"$56,408 ","$7,051 "
2024,Aug,Paid search,Google/Bing,"$65,506 ","$6,862 "
2024,Sep,Paid search,Google/Bing,"$51,646 ","$5,384 "
2024,Oct,Paid search,Google/Bing,"$68,150 ","$6,959 "
2024,Nov,Paid search,Google/Bing,"$88,112 ","$8,336 "
2024,Dec,Paid search,Google/Bing,"$92,682 ","$8,623 "
2024,Jan,Paid Social,Meta/Pin,"$55,172 ","$8,400 "
2024,Feb,Paid Social,Meta/Pin,"$99,304 ","$12,690 "
2024,Mar,Paid Social,Meta/Pin,"$79,542 ","$11,963 "
2024,Apr,Paid Social,Meta/Pin,"$95,402 ","$13,897 "
2024,May,Paid Social,Meta/Pin,"$203,679 ","$22,795 "
2024,Jun,Paid Social,Meta/Pin,"$85,372 ","$12,537 "
2024,Jul,Paid Social,Meta/Pin,"$97,484 ","$12,185 "
2024,Aug,Paid Social,Meta/Pin,"$112,965 ","$11,833 "
2024,Sep,Paid Social,Meta/Pin,"$134,002 ","$13,971 "
2024,Oct,Paid Social,Meta/Pin,"$130,267 ","$13,303 "
2024,Nov,Paid Social,Meta/Pin,"$209,903 ","$19,859 "
2024,Dec,Paid Social,Meta/Pin,"$267,692 ","$24,904 "
2024,Jan,Affiliate,Pepperjam,"$18,819 ","$5,013 "
2024,Feb,Affiliate,Pepperjam,"$4,709 ","$5,101 "
2024,Mar,Affiliate,Pepperjam,"$10,532 ","$5,335 "
2024,Apr,Affiliate,Pepperjam,"$10,582 ","$5,694 "
2024,May,Affiliate,Pepperjam,"$14,907 ","$8,877 "
2024,Jun,Affiliate,Pepperjam,"$10,084 ","$5,404 "
2024,Jul,Affiliate,Pepperjam,"$7,636 ","$6,840 "
2024,Aug,Affiliate,Pepperjam,"$9,567 ","$5,541 "
2024,Sep,Affiliate,Pepperjam,"$8,319 ","$10,060 "
2024,Oct,Affiliate,Pepperjam,"$9,534 ","$5,272 "
2024,Nov,Affiliate,Pepperjam,"$21,890 ","$9,578 "
2024,Dec,Affiliate,Pepperjam,"$29,879 ","$4,508 "
2025,Jan,Paid search,Google/Bing,"$52,392 ","$6,063 "
2025,Feb,Paid search,Google/Bing,"$53,764 ","$6,874 "
2025,Mar,Paid search,Google/Bing,"$76,624 ","$8,192 "
2025,Apr,Paid search,Google/Bing,"$80,616 ","$8,339 "
2025,May,Paid search,Google/Bing,"$79,749 ","$7,501 "
2025,Jun,Paid search,Google/Bing,,
2025,Jul,Paid search,Google/Bing,,
2025,Aug,Paid search,Google/Bing,,
2025,Sep,Paid search,Google/Bing,,
2025,Oct,Paid search,Google/Bing,,
2025,Nov,Paid search,Google/Bing,,
2025,Dec,Paid search,Google/Bing,,
2025,Jan,Paid Social,Meta/Pin,"$110,665 ","$12,807 "
2025,Feb,Paid Social,Meta/Pin,"$93,826 ","$11,996 "
2025,Mar,Paid Social,Meta/Pin,"$153,218 ","$16,380 "
2025,Apr,Paid Social,Meta/Pin,"$151,295 ","$15,651 "
2025,May,Paid Social,Meta/Pin,"$238,355 ","$22,418 "
2025,Jun,Paid Social,Meta/Pin,,
2025,Jul,Paid Social,Meta/Pin,,
2025,Aug,Paid Social,Meta/Pin,,
2025,Sep,Paid Social,Meta/Pin,,
2025,Oct,Paid Social,Meta/Pin,,
2025,Nov,Paid Social,Meta/Pin,,
2025,Dec,Paid Social,Meta/Pin,,
2025,Jan,Affiliate,Pepperjam,"$25,853 ","$6,458 "
2025,Feb,Affiliate,Pepperjam,"$10,886 ","$5,597 "
2025,Mar,Affiliate,Pepperjam,"$12,631 ","$6,222 "
2025,Apr,Affiliate,Pepperjam,"$13,265 ","$6,460 "
2025,May,Affiliate,Pepperjam,"$18,461 ","$8,978 "
2025,Jun,Affiliate,Pepperjam,,
2025,Jul,Affiliate,Pepperjam,,
2025,Aug,Affiliate,Pepperjam,,
2025,Sep,Affiliate,Pepperjam,,
2025,Oct,Affiliate,Pepperjam,,
2025,Nov,Affiliate,Pepperjam,,
2025,Dec,Affiliate,Pepperjam,,
