month,channel,total_revenue,total_orders,aov,total_spend,new_customers,existing_customers,new_customer_orders,existing_customer_orders,sessions,users,spend,impressions,clicks,returned_value,technology_spend,revenue_share,returns_value_dist,technology_spend_dist,net_revenue
1/1/2024,Affiliate,64319,523,122.98,12864,306,102,310,213,2800,2500,12864,643200,3216,25000,15000,0.05,1250,750,63069
1/1/2024,Direct,195000,1500,130,0,800,1200,810,690,14000,12000,0,0,0,25000,15000,0.15,3750,2250,191250
1/1/2024,Email,280000,2500,112,5000,1000,4000,1010,1490,23000,18000,5000,250000,25000,25000,15000,0.21,5250,3150,274750
1/1/2024,Organic Social,120000,1100,109.09,2500,400,1600,405,695,10000,8000,2500,125000,6250,25000,15000,0.09,2250,1350,117750
1/1/2024,Paid Search,450000,3500,128.57,90000,2000,800,2020,1480,32000,28000,90000,1800000,36000,25000,15000,0.34,8500,5100,441500
1/1/2024,Paid Social,220000,1800,122.22,60000,1087,450,1100,700,25000,21000,60000,1700000,34000,25000,15000,0.17,4250,2550,215750
2/1/2024,Affiliate,66000,540,122.22,13200,315,105,320,220,2900,2600,13200,660000,3300,26000,15500,0.05,1300,775,64700
2/1/2024,Direct,200000,1550,129.03,0,820,1230,830,720,14500,12500,0,0,0,26000,15500,0.15,3900,2325,196100
2/1/2024,Email,290000,2580,112.4,5200,1020,4080,1030,1550,23500,18500,5200,260000,26000,26000,15500,0.22,5720,3410,284280
2/1/2024,Organic Social,125000,1150,108.7,2600,410,1640,415,735,10500,8500,2600,130000,6500,26000,15500,0.09,2340,1395,122660
2/1/2024,Paid Search,460000,3580,128.49,92000,2045,820,2060,1520,33000,29000,92000,1840000,36800,26000,15500,0.34,8840,5270,451160
2/1/2024,Paid Social,230000,1880,122.34,62000,1123,460,1140,740,26000,22000,62000,1750000,35000,26000,15500,0.17,4420,2635,225580
3/1/2024,Affiliate,68000,560,121.43,13600,324,110,330,230,3000,2700,13600,680000,3400,27000,16000,0.05,1350,800,66650
3/1/2024,Direct,205000,1600,128.13,0,840,1260,850,750,15000,13000,0,0,0,27000,16000,0.15,4050,2400,200950
3/1/2024,Email,300000,2660,112.78,5400,1040,4160,1050,1610,24000,19000,5400,270000,27000,27000,16000,0.21,5670,3360,294330
3/1/2024,Organic Social,130000,1200,108.33,2700,420,1680,425,775,11000,9000,2700,135000,6750,27000,16000,0.09,2430,1440,127570
3/1/2024,Paid Search,475000,3700,128.38,95000,2100,840,2120,1580,34000,30000,95000,1900000,38000,27000,16000,0.34,9180,5440,465820
3/1/2024,Paid Social,240000,1960,122.45,64000,1160,470,1180,780,27000,23000,64000,1800000,36000,27000,16000,0.17,4590,2720,235410
3/1/2024,TikTok,35000,250,140,30000,233,50,235,15,5000,4500,30000,750000,7500,5000,2000,0.02,100,40,34900
,,,,,,,,,,,,,,,,,,,,
1/1/2024,Affiliate,64319,523,122.98,12864,306,102,310,213,2800,2500,12864,643200,3216,25000,15000,0.048763,1219.08,731.45,63100
1/1/2024,Direct,195000,1500,130,0,800,1200,810,690,14000,12000,0,0,0,25000,15000,0.14782,3695.5,2217.3,191305
1/1/2024,Email,280000,2500,112,5000,1000,4000,1010,1490,23000,18000,5000,250000,25000,25000,15000,0.21226,5306.5,3183.9,274694
1/1/2024,Organic Social,120000,1100,109.09,2500,400,1600,405,695,10000,8000,2500,125000,6250,25000,15000,0.09097,2274.25,1364.55,117726
1/1/2024,Paid Search,450000,3500,128.57,90000,2000,800,2020,1480,32000,28000,90000,1800000,36000,25000,15000,0.34115,8528.75,5117.25,441471
1/1/2024,Paid Social,220000,1800,122.22,60000,1087,450,1100,700,25000,21000,60000,1700000,34000,25000,15000,0.16678,4169.5,2501.7,215831
2/1/2024,Affiliate,66000,540,122.22,13200,315,105,320,220,2900,2600,13200,660000,3300,26000,15500,0.04958,1289.08,768.49,64711
2/1/2024,Direct,200000,1550,129.03,0,820,1230,830,720,14500,12500,0,0,0,26000,15500,0.15026,3906.8,2329.03,196093
2/1/2024,Email,290000,2580,112.4,5200,1020,4080,1030,1550,23500,18500,5200,260000,26000,26000,15500,0.21788,5664.88,3377.14,284335
2/1/2024,Organic Social,125000,1150,108.7,2600,410,1640,415,735,10500,8500,2600,130000,6500,26000,15500,0.09392,2441.92,1455.76,122558
2/1/2024,Paid Search,460000,3580,128.49,92000,2045,820,2060,1520,33000,29000,92000,1840000,36800,26000,15500,0.34557,8984.82,5356.34,451015
2/1/2024,Paid Social,230000,1880,122.34,62000,1123,460,1140,740,26000,22000,62000,1750000,35000,26000,15500,0.1728,4492.8,2678.4,225507
3/1/2024,Affiliate,68000,560,121.43,13600,324,110,330,230,3000,2700,13600,680000,3400,27000,16000,0.04938,1333.26,790.06,66667
3/1/2024,Direct,205000,1600,128.13,0,840,1260,850,750,15000,13000,0,0,0,27000,16000,0.14884,4018.68,2371.4,200981
3/1/2024,Email,300000,2660,112.78,5400,1040,4160,1050,1610,24000,19000,5400,270000,27000,27000,16000,0.2178,5880.6,3470.4,294119
3/1/2024,Organic Social,130000,1200,108.33,2700,420,1680,425,775,11000,9000,2700,135000,6750,27000,16000,0.09439,2548.53,1503.78,127451
3/1/2024,Paid Search,475000,3700,128.38,95000,2100,840,2120,1580,34000,30000,95000,1900000,38000,27000,16000,0.34488,9311.76,5502.48,465688
3/1/2024,Paid Social,240000,1960,122.45,64000,1160,470,1180,780,27000,23000,64000,1800000,36000,27000,16000,0.17427,4705.29,2777.88,235295
3/1/2024,TikTok,35000,250,140,30000,233,50,235,15,5000,4500,30000,750000,7500,27000,16000,0.02542,686.34,404,34314
4/1/2024,Affiliate,70000,580,120.69,14000,333,112,340,240,3100,2800,14000,700000,3500,28000,16500,0.04943,1384.04,815.6,68616
4/1/2024,Direct,210000,1650,127.27,0,860,1290,870,780,15500,13500,0,0,0,28000,16500,0.14827,4151.56,2446.46,205848
4/1/2024,Email,310000,2740,113.14,5600,1060,4240,1070,1670,24500,19500,5600,280000,28000,28000,16500,0.21884,6127.52,3610.86,303872
4/1/2024,Organic Social,135000,1250,108,2800,430,1720,435,815,11500,9500,2800,140000,7000,28000,16500,0.09531,2668.68,1572.61,132331
4/1/2024,Paid Search,485000,3780,128.31,97000,2140,860,2160,1620,35000,31000,97000,1940000,38800,28000,16500,0.3424,9587.2,5649.6,475413
4/1/2024,Paid Social,250000,2050,121.95,66000,1200,480,1220,830,28000,24000,66000,1850000,37000,28000,16500,0.17649,4941.72,2912.09,245058
4/1/2024,TikTok,40000,280,142.86,32000,266,55,270,10,5500,5000,32000,800000,8000,28000,16500,0.02824,790.72,465.96,39209
5/1/2024,Affiliate,72000,600,120,14400,342,115,350,250,3200,2900,14400,720000,3600,29000,17000,0.04935,1431.15,838.95,70569
5/1/2024,Direct,215000,1700,126.47,0,880,1320,890,810,16000,14000,0,0,0,29000,17000,0.14736,4273.44,2505.12,210727
5/1/2024,Email,320000,2820,113.48,5800,1080,4320,1090,1730,25000,20000,5800,290000,29000,29000,17000,0.21933,6360.57,3728.61,313639
5/1/2024,Organic Social,140000,1300,107.69,2900,440,1760,445,855,12000,10000,2900,145000,7250,29000,17000,0.09596,2782.84,1631.32,137217
5/1/2024,Paid Search,500000,3900,128.21,100000,2200,880,2220,1680,36000,32000,100000,2000000,40000,29000,17000,0.34269,9938.01,5825.73,490062
5/1/2024,Paid Social,260000,2140,121.5,68000,1240,490,1260,880,29000,25000,68000,1900000,38000,29000,17000,0.1782,5167.8,3029.4,254832
5/1/2024,TikTok,42000,300,140,34000,280,60,285,15,6000,5500,34000,850000,8500,29000,17000,0.02879,834.91,489.43,41165
6/1/2024,Affiliate,74000,620,119.35,14800,351,118,360,260,3300,3000,14800,740000,3700,30000,17500,0.0494,1482,864.5,72518
6/1/2024,Direct,220000,1750,125.71,0,900,1350,910,840,16500,14500,0,0,0,30000,17500,0.14686,4405.8,2569.05,215594
6/1/2024,Email,330000,2900,113.79,6000,1100,4400,1110,1790,25500,20500,6000,300000,30000,30000,17500,0.22026,6607.8,3854.55,323392
6/1/2024,Organic Social,145000,1350,107.41,3000,450,1800,455,895,12500,10500,3000,150000,7500,30000,17500,0.09679,2903.7,1693.82,142096
6/1/2024,Paid Search,515000,4020,128.11,103000,2260,900,2280,1740,37000,33000,103000,2060000,41200,30000,17500,0.34376,10312.8,6015.8,504687
6/1/2024,Paid Social,270000,2230,121.08,70000,1280,500,1300,930,30000,26000,70000,1950000,39000,30000,17500,0.18024,5407.2,3154.2,264593
6/1/2024,TikTok,44000,320,137.5,36000,294,65,300,20,6500,6000,36000,900000,9000,30000,17500,0.02937,881.1,513.97,43119
7/1/2024,Affiliate,76000,640,118.75,15200,360,120,370,270,3400,3100,15200,760000,3800,31000,18000,0.04938,1530.78,888.84,74469
7/1/2024,Direct,225000,1800,125,0,920,1380,930,870,17000,15000,0,0,0,31000,18000,0.14619,4531.89,2631.42,220468
7/1/2024,Email,340000,3000,113.33,6200,1120,4480,1130,1870,26000,21000,6200,310000,31000,31000,18000,0.22092,6848.52,3976.56,333151
7/1/2024,Organic Social,150000,1400,107.14,3100,460,1840,465,935,13000,11000,3100,155000,7750,31000,18000,0.09746,3021.26,1754.28,146979
7/1/2024,Paid Search,530000,4140,128.02,106000,2320,920,2340,1800,38000,34000,106000,2120000,42400,31000,18000,0.34436,10675.16,6198.48,519325
7/1/2024,Paid Social,280000,2320,120.69,72000,1320,520,1340,980,31000,27000,72000,2000000,40000,31000,18000,0.18193,5639.83,3274.74,274360
7/1/2024,TikTok,46000,340,135.29,38000,308,70,315,25,7000,6500,38000,950000,9500,31000,18000,0.02989,926.59,538.02,45073
8/1/2024,Affiliate,78000,660,118.18,15600,369,123,380,280,3500,3200,15600,780000,3900,32000,18500,0.0494,1580.8,913.9,76419
8/1/2024,Direct,230000,1850,124.32,0,940,1410,950,900,17500,15500,0,0,0,32000,18500,0.14566,4661.12,2694.71,225339
8/1/2024,Email,350000,3100,112.9,6400,1140,4560,1150,1950,26500,21500,6400,320000,32000,32000,18500,0.22166,7093.12,4099.71,342907
8/1/2024,Organic Social,155000,1450,106.9,3200,470,1880,475,975,13500,11500,3200,160000,8000,32000,18500,0.09816,3141.12,1815.98,151859
8/1/2024,Paid Search,545000,4260,127.93,109000,2380,940,2400,1860,39000,35000,109000,2180000,43600,32000,18500,0.34516,11045.12,6385.47,533955
8/1/2024,Paid Social,290000,2410,120.33,74000,1360,530,1380,1030,32000,28000,74000,2050000,41000,32000,18500,0.18366,5877.12,3397.71,284123
8/1/2024,TikTok,48000,360,133.33,40000,323,75,330,30,7500,7000,40000,1000000,10000,32000,18500,0.0304,972.8,562.4,47027
9/1/2024,Affiliate,80000,680,117.65,16000,378,126,390,290,3600,3300,16000,800000,4000,33000,19000,0.04941,1630.53,938.79,78369
9/1/2024,Direct,235000,1900,123.68,0,960,1440,970,930,18000,16000,0,0,0,33000,19000,0.14515,4789.95,2757.85,230210
9/1/2024,Email,360000,3200,112.5,6600,1160,4640,1170,2030,27000,22000,6600,330000,33000,33000,19000,0.22236,7337.88,4224.84,352662
9/1/2024,Organic Social,160000,1500,106.67,3300,480,1920,485,1015,14000,12000,3300,165000,8250,33000,19000,0.09883,3261.39,1877.77,156739
9/1/2024,Paid Search,560000,4380,127.85,112000,2440,960,2460,1920,40000,36000,112000,2240000,44800,33000,19000,0.34589,11414.37,6571.91,548586
9/1/2024,Paid Social,300000,2500,120,76000,1400,540,1420,1080,33000,29000,76000,2100000,42000,33000,19000,0.18529,6114.57,3520.51,293885
9/1/2024,TikTok,50000,380,131.58,42000,336,80,340,40,8000,7500,42000,1050000,10500,33000,19000,0.03088,1019.04,586.72,48981
10/1/2024,Affiliate,82000,700,117.14,16400,387,130,400,300,3700,3400,16400,820000,4100,34000,19500,0.04943,1680.62,963.89,80319
10/1/2024,Direct,240000,1950,123.08,0,980,1470,990,960,18500,16500,0,0,0,34000,19500,0.14466,4918.44,2820.87,235082
10/1/2024,Email,370000,3300,112.12,6800,1180,4720,1190,2110,27500,22500,6800,340000,34000,34000,19500,0.22299,7581.66,4348.31,362418
10/1/2024,Organic Social,165000,1550,106.45,3400,490,1960,495,1055,14500,12500,3400,170000,8500,34000,19500,0.09946,3381.64,1939.47,161618
10/1/2024,Paid Search,575000,4500,127.78,115000,2500,980,2520,1980,41000,37000,115000,2300000,46000,34000,19500,0.34656,11783.04,6757.92,563217
10/1/2024,Paid Social,310000,2600,119.23,78000,1440,550,1460,1140,34000,30000,78000,2150000,43000,34000,19500,0.18684,6352.56,3643.38,303647
10/1/2024,TikTok,52000,400,130,44000,352,85,360,40,8500,8000,44000,1100000,11000,34000,19500,0.03134,1065.56,611.16,50934
11/1/2024,Affiliate,85000,720,118.06,17000,396,132,410,310,3800,3500,17000,850000,4250,35000,20000,0.04945,1730.75,989,83269
11/1/2024,Direct,245000,2000,122.5,0,1000,1500,1010,990,19000,17000,0,0,0,35000,20000,0.14252,4988.2,2850.4,240012
11/1/2024,Email,380000,3400,111.76,7000,1200,4800,1210,2190,28000,23000,7000,350000,35000,35000,20000,0.22106,7737.1,4421.2,372263
11/1/2024,Organic Social,170000,1600,106.25,3500,500,2000,505,1095,15000,13000,3500,175000,8750,35000,20000,0.0989,3461.5,1978,166539
11/1/2024,Paid Search,590000,4620,127.71,118000,2560,1000,2580,2040,42000,38000,118000,2360000,47200,35000,20000,0.34322,12012.7,6864.4,577987
11/1/2024,Paid Social,320000,2700,118.52,80000,1480,560,1500,1200,35000,31000,80000,2200000,44000,35000,20000,0.18616,6515.6,3723.2,313484
11/1/2024,TikTok,54000,420,128.57,46000,368,90,375,45,9000,8500,46000,1150000,11500,35000,20000,0.03141,1099.35,628.2,52901
12/1/2024,Affiliate,90000,750,120,18000,405,135,420,330,4000,3700,18000,900000,4500,38000,21000,0.04865,1848.7,1021.65,88151
12/1/2024,Direct,255000,2100,121.43,0,1020,1530,1030,1070,20000,18000,0,0,0,38000,21000,0.13765,5230.7,2890.65,249769
12/1/2024,Email,400000,3600,111.11,7200,1220,4880,1230,2370,29000,24000,7200,380000,38000,38000,21000,0.21622,8216.4,4540.62,391784
12/1/2024,Organic Social,180000,1700,105.88,3600,510,2040,515,1185,16000,14000,3600,180000,9000,38000,21000,0.0973,3697.4,2043.3,176303
