CHANNEL,CHANNEL_TYPE,YEAR,MONTH,Media Spend
Paid Social Media,Paid,2018,JANUARY,52392.0
Paid Social Agency,Paid,2018,JANUARY,4763.0
Paid Search Media,Paid,2018,JANUARY,159331.0
Paid Search Agency,Paid,2018,JANUARY,14485.0
Affiliate Media,Affiliate,2018,JANUARY,30000.0
Affiliate Agency,Affiliate,2018,JANUARY,3000.0
Paid Social Media,Paid,2018,FEBRUARY,46105.0
Paid Social Agency,Paid,2018,FEBRUARY,4191.0
Paid Search Media,Paid,2018,FEBRUARY,83091.0
Paid Search Agency,Paid,2018,FEBRUARY,7554.0
Affiliate Media,Affiliate,2018,FEBRUARY,30000.0
Affiliate Agency,Affiliate,2018,FEBRUARY,3000.0
Paid Social Media,Paid,2018,MARCH,52392.0
Paid Social Agency,Paid,2018,MARCH,4763.0
Paid Search Media,Paid,2018,MARCH,55394.0
Paid Search Agency,Paid,2018,MARCH,5036.0
Affiliate Media,Affiliate,2018,MARCH,30000.0
Affiliate Agency,Affiliate,2018,MARCH,3000.0
Paid Social Media,Paid,2018,APRIL,52392.0
Paid Social Agency,Paid,2018,APRIL,4763.0
Paid Search Media,Paid,2018,APRIL,44315.0
Paid Search Agency,Paid,2018,APRIL,4029.0
Affiliate Media,Affiliate,2018,APRIL,30000.0
Affiliate Agency,Affiliate,2018,APRIL,3000.0
Paid Social Media,Paid,2018,MAY,52392.0
Paid Social Agency,Paid,2018,MAY,4763.0
Paid Search Media,Paid,2018,MAY,49854.0
Paid Search Agency,Paid,2018,MAY,4532.0
Affiliate Media,Affiliate,2018,MAY,30000.0
Affiliate Agency,Affiliate,2018,MAY,3000.0
Paid Social Media,Paid,2018,JUNE,52392.0
Paid Social Agency,Paid,2018,JUNE,4763.0
Paid Search Media,Paid,2018,JUNE,44315.0
Paid Search Agency,Paid,2018,JUNE,4029.0
Affiliate Media,Affiliate,2018,JUNE,30000.0
Affiliate Agency,Affiliate,2018,JUNE,3000.0
Paid Social Media,Paid,2018,JULY,52392.0
Paid Social Agency,Paid,2018,JULY,4763.0
Paid Search Media,Paid,2018,JULY,44315.0
Paid Search Agency,Paid,2018,JULY,4029.0
Affiliate Media,Affiliate,2018,JULY,30000.0
Affiliate Agency,Affiliate,2018,JULY,3000.0
Paid Social Media,Paid,2018,AUGUST,52392.0
Paid Social Agency,Paid,2018,AUGUST,4763.0
Paid Search Media,Paid,2018,AUGUST,44315.0
Paid Search Agency,Paid,2018,AUGUST,4029.0
Affiliate Media,Affiliate,2018,AUGUST,30000.0
Affiliate Agency,Affiliate,2018,AUGUST,3000.0
Paid Social Media,Paid,2018,SEPTEMBER,52392.0
Paid Social Agency,Paid,2018,SEPTEMBER,4763.0
Paid Search Media,Paid,2018,SEPTEMBER,44315.0
Paid Search Agency,Paid,2018,SEPTEMBER,4029.0
Affiliate Media,Affiliate,2018,SEPTEMBER,30000.0
Affiliate Agency,Affiliate,2018,SEPTEMBER,3000.0
Paid Social Media,Paid,2018,OCTOBER,52392.0
Paid Social Agency,Paid,2018,OCTOBER,4763.0
Paid Search Media,Paid,2018,OCTOBER,44315.0
Paid Search Agency,Paid,2018,OCTOBER,4029.0
Affiliate Media,Affiliate,2018,OCTOBER,45000.0
Affiliate Agency,Affiliate,2018,OCTOBER,4500.0
Paid Social Media,Paid,2018,NOVEMBER,52392.0
Paid Social Agency,Paid,2018,NOVEMBER,4763.0
Paid Search Media,Paid,2018,NOVEMBER,44315.0
Paid Search Agency,Paid,2018,NOVEMBER,4029.0
Affiliate Media,Affiliate,2018,NOVEMBER,45000.0
Affiliate Agency,Affiliate,2018,NOVEMBER,4500.0
Paid Social Media,Paid,2018,DECEMBER,52392.0
Paid Social Agency,Paid,2018,DECEMBER,4763.0
Paid Search Media,Paid,2018,DECEMBER,44315.0
Paid Search Agency,Paid,2018,DECEMBER,4029.0
Affiliate Media,Affiliate,2018,DECEMBER,45000.0
Affiliate Agency,Affiliate,2018,DECEMBER,4500.0
Paid Social Media,Paid,2019,JANUARY,55012.0
Paid Social Agency,Paid,2019,JANUARY,5001.0
Paid Search Media,Paid,2019,JANUARY,46549.0
Paid Search Agency,Paid,2019,JANUARY,4232.0
Affiliate Media,Affiliate,2019,JANUARY,45000.0
Affiliate Agency,Affiliate,2019,JANUARY,4500.0
Paid Social Media,Paid,2019,FEBRUARY,48410.0
Paid Social Agency,Paid,2019,FEBRUARY,4401.0
Paid Search Media,Paid,2019,FEBRUARY,111894.0
Paid Search Agency,Paid,2019,FEBRUARY,10172.0
Affiliate Media,Affiliate,2019,FEBRUARY,45000.0
Affiliate Agency,Affiliate,2019,FEBRUARY,4500.0
Paid Social Media,Paid,2019,MARCH,55012.0
Paid Social Agency,Paid,2019,MARCH,5001.0
Paid Search Media,Paid,2019,MARCH,111894.0
Paid Search Agency,Paid,2019,MARCH,10172.0
Affiliate Media,Affiliate,2019,MARCH,45000.0
Affiliate Agency,Affiliate,2019,MARCH,4500.0
Paid Social Media,Paid,2019,APRIL,55012.0
Paid Social Agency,Paid,2019,APRIL,5001.0
Paid Search Media,Paid,2019,APRIL,74596.0
Paid Search Agency,Paid,2019,APRIL,6781.0
Affiliate Media,Affiliate,2019,APRIL,45000.0
Affiliate Agency,Affiliate,2019,APRIL,4500.0
Paid Social Media,Paid,2019,MAY,55012.0
Paid Social Agency,Paid,2019,MAY,5001.0
