channel_name,value,date
Paid Search,1252,2025-01-01
Paid Search,1010,2024-01-01
Paid Search,721,2023-01-01
Paid Search,626,2022-01-01
Paid Search,362,2021-01-01
Paid Social,410,2025-01-01
Paid Social,259,2024-01-01
Paid Social,117,2023-01-01
Paid Social,184,2022-01-01
Paid Social,70,2021-01-01
Affiliate,140,2025-01-01
Affiliate,111,2024-01-01
Affiliate,116,2023-01-01
Affiliate,365,2022-01-01
Affiliate,159,2021-01-01
Display,58,2024-01-01
Display,0,2023-01-01
Display,0,2022-01-01
Display,0,2021-01-01
Email,1159,2025-01-01
Email,1106,2024-01-01
Email,1604,2023-01-01
Email,1361,2022-01-01
Email,1113,2021-01-01
SMS,192,2025-01-01
SMS,210,2024-01-01
SMS,180,2023-01-01
SMS,309,2022-01-01
SMS,412,2021-01-01
Organic Search,513,2025-01-01
Organic Search,374,2024-01-01
Organic Search,381,2023-01-01
Organic Search,458,2022-01-01
Organic Search,346,2021-01-01
Direct,704,2025-01-01
Direct,759,2024-01-01
Direct,660,2023-01-01
Direct,459,2022-01-01
Direct,548,2021-01-01
Unattributed,332,2025-01-01
Unattributed,299,2024-01-01
Unattributed,610,2023-01-01
Unattributed,358,2022-01-01
Unattributed,275,2021-01-01
Other,508,2025-01-01
Other,431,2024-01-01
Other,108,2023-01-01
Other,27,2022-01-01
Other,17,2021-01-01
Organic Social,10,2025-01-01
Organic Social,12,2024-01-01
Organic Social,22,2023-01-01
Organic Social,23,2022-01-01
Organic Social,3,2021-01-01
Paid Search,980,2025-02-01
Paid Search,932,2024-02-01
Paid Search,511,2023-02-01
Paid Search,593,2022-02-01
Paid Search,402,2021-02-01
Paid Social,306,2025-02-01
Paid Social,212,2024-02-01
Paid Social,74,2023-02-01
Paid Social,159,2022-02-01
Paid Social,32,2021-02-01
Affiliate,112,2025-02-01
Affiliate,95,2024-02-01
Affiliate,61,2023-02-01
Affiliate,318,2022-02-01
Affiliate,120,2021-02-01
Display,18,2024-02-01
Display,0,2023-02-01
Display,0,2022-02-01
Display,0,2021-02-01
Email,813,2025-02-01
Email,1342,2024-02-01
Email,789,2023-02-01
Email,916,2022-02-01
Email,987,2021-02-01
SMS,156,2025-02-01
SMS,128,2024-02-01
SMS,111,2023-02-01
SMS,199,2022-02-01
SMS,185,2021-02-01
Organic Search,428,2025-02-01
Organic Search,339,2024-02-01
Organic Search,267,2023-02-01
Organic Search,397,2022-02-01
Organic Search,298,2021-02-01
Direct,492,2025-02-01
Direct,681,2024-02-01
Direct,436,2023-02-01
Direct,376,2022-02-01
Direct,430,2021-02-01
Unattributed,232,2025-02-01
Unattributed,221,2024-02-01
Unattributed,488,2023-02-01
Unattributed,330,2022-02-01
Unattributed,174,2021-02-01
Other,359,2025-02-01
Other,421,2024-02-01
Other,878,2023-02-01
Other,33,2022-02-01
Other,15,2021-02-01
Organic Social,10,2025-02-01
Organic Social,11,2024-02-01
Organic Social,25,2023-02-01
Organic Social,41,2022-02-01
Organic Social,6,2021-02-01
Paid Search,1264,2025-03-01
Paid Search,935,2024-03-01
Paid Search,253,2023-03-01
Paid Search,740,2022-03-01
Paid Search,341,2021-03-01
Paid Social,553,2025-03-01
Paid Social,221,2024-03-01
Paid Social,492,2023-03-01
Paid Social,123,2022-03-01
Paid Social,40,2021-03-01
Affiliate,166,2025-03-01
Affiliate,127,2024-03-01
Affiliate,133,2023-03-01
Affiliate,524,2022-03-01
Affiliate,156,2021-03-01
Display,0,2024-03-01
Display,0,2023-03-01
Display,0,2022-03-01
Display,0,2021-03-01
Email,1219,2025-03-01
Email,1818,2024-03-01
Email,1603,2023-03-01
Email,2057,2022-03-01
Email,1139,2021-03-01
SMS,195,2025-03-01
SMS,251,2024-03-01
SMS,213,2023-03-01
SMS,390,2022-03-01
SMS,353,2021-03-01
Organic Search,416,2025-03-01
Organic Search,300,2024-03-01
Organic Search,932,2023-03-01
Organic Search,536,2022-03-01
Organic Search,313,2021-03-01
Direct,692,2025-03-01
Direct,955,2024-03-01
Direct,731,2023-03-01
Direct,393,2022-03-01
Direct,428,2021-03-01
Unattributed,315,2025-03-01
Unattributed,200,2024-03-01
Unattributed,576,2023-03-01
Unattributed,470,2022-03-01
Unattributed,296,2021-03-01
Other,766,2025-03-01
Other,375,2024-03-01
Other,433,2023-03-01
Other,38,2022-03-01
Other,12,2021-03-01
Organic Social,13,2025-03-01
Organic Social,7,2024-03-01
Organic Social,21,2023-03-01
Organic Social,38,2022-03-01
Organic Social,3,2021-03-01
Paid Search,1364,2025-04-01
Paid Search,1060,2024-04-01
Paid Search,301,2023-04-01
Paid Search,545,2022-04-01
Paid Search,365,2021-04-01
Paid Social,550,2025-04-01
Paid Social,295,2024-04-01
Paid Social,206,2023-04-01
Paid Social,120,2022-04-01
Paid Social,52,2021-04-01
Affiliate,172,2025-04-01
Affiliate,130,2024-04-01
Affiliate,114,2023-04-01
Affiliate,371,2022-04-01
Affiliate,132,2021-04-01
Display,0,2024-04-01
Display,0,2023-04-01
Display,0,2022-04-01
Display,0,2021-04-01
Email,1637,2025-04-01
Email,1506,2024-04-01
Email,1336,2023-04-01
Email,1477,2022-04-01
Email,808,2021-04-01
SMS,214,2025-04-01
SMS,224,2024-04-01
SMS,176,2023-04-01
SMS,310,2022-04-01
SMS,288,2021-04-01
Organic Search,501,2025-04-01
Organic Search,349,2024-04-01
Organic Search,872,2023-04-01
Organic Search,401,2022-04-01
Organic Search,278,2021-04-01
Direct,684,2025-04-01
Direct,729,2024-04-01
Direct,612,2023-04-01
Direct,552,2022-04-01
Direct,376,2021-04-01
Unattributed,264,2025-04-01
Unattributed,200,2024-04-01
Unattributed,514,2023-04-01
Unattributed,488,2022-04-01
Unattributed,126,2021-04-01
Other,466,2025-04-01
Other,518,2024-04-01
Other,93,2023-04-01
Other,28,2022-04-01
Other,18,2021-04-01
Organic Social,16,2025-04-01
Organic Social,16,2024-04-01
Organic Social,38,2023-04-01
Organic Social,31,2022-04-01
Organic Social,3,2021-04-01
Paid Search,0,2025-05-01
Paid Search,1232,2024-05-01
Paid Search,1051,2023-05-01
Paid Search,811,2022-05-01
Paid Search,694,2021-05-01
Paid Social,0,2025-05-01
Paid Social,794,2024-05-01
Paid Social,635,2023-05-01
Paid Social,530,2022-05-01
Paid Social,301,2021-05-01
Affiliate,0,2025-05-01
Affiliate,220,2024-05-01
Affiliate,304,2023-05-01
Affiliate,749,2022-05-01
Affiliate,475,2021-05-01
Display,0,2024-05-01
Display,0,2023-05-01
Display,0,2022-05-01
Display,0,2021-05-01
Email,0,2025-05-01
Email,2324,2024-05-01
Email,3754,2023-05-01
Email,3453,2022-05-01
Email,2120,2021-05-01
SMS,0,2025-05-01
SMS,475,2024-05-01
SMS,594,2023-05-01
SMS,688,2022-05-01
SMS,314,2021-05-01
Organic Search,0,2025-05-01
Organic Search,400,2024-05-01
Organic Search,648,2023-05-01
Organic Search,557,2022-05-01
Organic Search,424,2021-05-01
Direct,0,2025-05-01
Direct,1223,2024-05-01
Direct,953,2023-05-01
Direct,599,2022-05-01
Direct,510,2021-05-01
Unattributed,0,2025-05-01
Unattributed,234,2024-05-01
Unattributed,749,2023-05-01
Unattributed,591,2022-05-01
Unattributed,213,2021-05-01
Other,0,2025-05-01
Other,702,2024-05-01
Other,196,2023-05-01
Other,38,2022-05-01
Other,30,2021-05-01
Organic Social,0,2025-05-01
Organic Social,27,2024-05-01
Organic Social,80,2023-05-01
Organic Social,24,2022-05-01
Organic Social,6,2021-05-01
Paid Search,0,2025-06-01
Paid Search,916,2024-06-01
Paid Search,721,2023-06-01
Paid Search,554,2022-06-01
