channel_name,value,date
Paid Search,1405.0,2025-01-01
Paid Search,1380.0,2024-01-01
Paid Search,1206.0,2023-01-01
Paid Search,828.0,2022-01-01
Paid Search,686.0,2021-01-01
Paid Social,534.0,2025-01-01
Paid Social,447.0,2024-01-01
Paid Social,414.0,2023-01-01
Paid Social,310.0,2022-01-01
Paid Social,192.0,2021-01-01
Affiliate,149.0,2025-01-01
Affiliate,131.0,2024-01-01
Affiliate,149.0,2023-01-01
Affiliate,510.0,2022-01-01
Affiliate,234.0,2021-01-01
Display,24.0,2024-01-01
Display,0.0,2023-01-01
Display,0.0,2022-01-01
Display,0.0,2021-01-01
Email,289.0,2025-01-01
Email,266.0,2024-01-01
Email,597.0,2023-01-01
Email,659.0,2022-01-01
Email,839.0,2021-01-01
SMS,89.0,2025-01-01
SMS,68.0,2024-01-01
SMS,172.0,2023-01-01
SMS,470.0,2022-01-01
SMS,0.0,2021-01-01
Organic Search,766.0,2025-01-01
Organic Search,677.0,2024-01-01
Organic Search,727.0,2023-01-01
Organic Search,974.0,2022-01-01
Organic Search,750.0,2021-01-01
Direct,742.0,2025-01-01
Direct,782.0,2024-01-01
Direct,692.0,2023-01-01
Direct,503.0,2022-01-01
Direct,897.0,2021-01-01
Unattributed,240.0,2025-01-01
Unattributed,224.0,2024-01-01
Unattributed,410.0,2023-01-01
Unattributed,168.0,2022-01-01
Unattributed,264.0,2021-01-01
Other,587.0,2025-01-01
Other,455.0,2024-01-01
Other,154.0,2023-01-01
Other,25.0,2022-01-01
Other,31.0,2021-01-01
Organic Social,18.0,2025-01-01
Organic Social,31.0,2024-01-01
Organic Social,66.0,2023-01-01
Organic Social,44.0,2022-01-01
Organic Social,5.0,2021-01-01
Paid Search,1169.0,2025-02-01
Paid Search,1085.0,2024-02-01
Paid Search,828.0,2023-02-01
Paid Search,813.0,2022-02-01
Paid Search,600.0,2021-02-01
Paid Social,380.0,2025-02-01
Paid Social,324.0,2024-02-01
Paid Social,204.0,2023-02-01
Paid Social,257.0,2022-02-01
Paid Social,81.0,2021-02-01
Affiliate,130.0,2025-02-01
Affiliate,130.0,2024-02-01
Affiliate,99.0,2023-02-01
Affiliate,476.0,2022-02-01
Affiliate,176.0,2021-02-01
Display,13.0,2024-02-01
Display,0.0,2023-02-01
Display,0.0,2022-02-01
Display,0.0,2021-02-01
Email,247.0,2025-02-01
Email,238.0,2024-02-01
Email,320.0,2023-02-01
Email,486.0,2022-02-01
Email,636.0,2021-02-01
SMS,83.0,2025-02-01
SMS,30.0,2024-02-01
SMS,117.0,2023-02-01
SMS,402.0,2022-02-01
SMS,0.0,2021-02-01
Organic Search,626.0,2025-02-01
Organic Search,575.0,2024-02-01
Organic Search,567.0,2023-02-01
Organic Search,784.0,2022-02-01
Organic Search,590.0,2021-02-01
Direct,558.0,2025-02-01
Direct,545.0,2024-02-01
Direct,444.0,2023-02-01
Direct,411.0,2022-02-01
Direct,621.0,2021-02-01
Unattributed,202.0,2025-02-01
Unattributed,113.0,2024-02-01
Unattributed,289.0,2023-02-01
Unattributed,195.0,2022-02-01
Unattributed,133.0,2021-02-01
Other,476.0,2025-02-01
Other,439.0,2024-02-01
Other,719.0,2023-02-01
Other,26.0,2022-02-01
Other,29.0,2021-02-01
Organic Social,22.0,2025-02-01
Organic Social,22.0,2024-02-01
Organic Social,63.0,2023-02-01
Organic Social,98.0,2022-02-01
Organic Social,4.0,2021-02-01
Paid Search,1433.0,2025-03-01
Paid Search,955.0,2024-03-01
Paid Search,325.0,2023-03-01
Paid Search,915.0,2022-03-01
Paid Search,540.0,2021-03-01
Paid Social,836.0,2025-03-01
Paid Social,294.0,2024-03-01
Paid Social,1103.0,2023-03-01
Paid Social,225.0,2022-03-01
Paid Social,100.0,2021-03-01
Affiliate,168.0,2025-03-01
Affiliate,108.0,2024-03-01
Affiliate,239.0,2023-03-01
Affiliate,476.0,2022-03-01
Affiliate,171.0,2021-03-01
Display,0.0,2024-03-01
Display,0.0,2023-03-01
Display,0.0,2022-03-01
Display,0.0,2021-03-01
Email,290.0,2025-03-01
Email,417.0,2024-03-01
Email,501.0,2023-03-01
Email,862.0,2022-03-01
Email,686.0,2021-03-01
SMS,85.0,2025-03-01
SMS,66.0,2024-03-01
SMS,220.0,2023-03-01
SMS,485.0,2022-03-01
SMS,-99.61,2021-03-01
Organic Search,460.0,2025-03-01
Organic Search,528.0,2024-03-01
Organic Search,1596.0,2023-03-01
Organic Search,914.0,2022-03-01
Organic Search,590.0,2021-03-01
Direct,639.0,2025-03-01
Direct,587.0,2024-03-01
Direct,751.0,2023-03-01
Direct,392.0,2022-03-01
Direct,552.0,2021-03-01
Unattributed,148.0,2025-03-01
Unattributed,125.0,2024-03-01
Unattributed,339.0,2023-03-01
Unattributed,198.0,2022-03-01
Unattributed,134.0,2021-03-01
Other,753.0,2025-03-01
Other,355.0,2024-03-01
Other,430.0,2023-03-01
Other,34.0,2022-03-01
Other,26.0,2021-03-01
Organic Social,20.0,2025-03-01
Organic Social,18.0,2024-03-01
Organic Social,65.0,2023-03-01
Organic Social,66.0,2022-03-01
Organic Social,12.0,2021-03-01
