month,gross_sales,discounts,returns,net_sales
2024-01-01,1047386.58,-107428.31,-61116.9,878841.37
2024-02-01,1050134.33,-103694.61,-46543.44,899896.28
2024-03-01,1042431.81,-87628.99,-50138.12,904664.7
2024-04-01,1254339.5,-182409.52,-42238.03,1029691.95
2024-05-01,1794135.77,-296241.55,-53802.15,1444092.07
2024-06-01,1102399.45,-109422.36,-51017.6,941959.49
2024-07-01,1017758.01,-88930.89,-46815.46,882011.66
2024-08-01,1203508.98,-94359.42,-35156.1,1073993.46
2024-09-01,1037038.97,-99623.56,-35440.03,901975.38
2024-10-01,1146811.38,-176537.57,-32516.32,937757.49
2024-11-01,1848182.14,-107769.19,-27320.44,1713092.51
2024-12-01,2441932.76,-127883.11,-59364.07,2254685.58
2025-01-01,1173370.87,-122244.02,-42002.41,1009124.44
2025-02-01,955761.18,-97362.32,-31037.05,827361.81
2025-03-01,1216270.17,-109247.97,-45448.41,1061573.79
2025-04-01,1414754.88,-204778.94,-65685.07,1144290.87
2025-05-01,1921886.83,-312697.71,-54428.32,1554760.8
2025-06-01,700929.36,-64692.24,-28439.6,607797.52
