source,metric,value,date
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1079836.0,2025-01-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",957701.42,2024-01-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",968195.0,2023-01-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",996896.0,2022-01-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",771735.0,2021-01-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",266097.0,2025-01-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",270766.0,2024-01-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",299600.0,2023-01-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",259650.0,2022-01-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",190110.0,2021-01-01
"Datahub
(Shopify)",ORDERS,10272.0,2025-01-01
"Datahub
(Shopify)",ORDERS,9489.0,2024-01-01
"Datahub
(Shopify)",ORDERS,9291.0,2023-01-01
"Datahub
(Shopify)",ORDERS,8954.0,2022-01-01
"Datahub
(Shopify)",ORDERS,7393.0,2021-01-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,9863.0,2025-01-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,9107.0,2024-01-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,8946.0,2023-01-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,8688.0,2022-01-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,7125.0,2021-01-01
"Datahub
(Shopify)",NEW CUSTOMERS,4819.0,2025-01-01
"Datahub
(Shopify)",NEW CUSTOMERS,4571.0,2024-01-01
"Datahub
(Shopify)",NEW CUSTOMERS,4587.0,2023-01-01
"Datahub
(Shopify)",NEW CUSTOMERS,4617.0,2022-01-01
"Datahub
(Shopify)",NEW CUSTOMERS,4224.0,2021-01-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,5044.0,2025-01-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4536.0,2024-01-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4359.0,2023-01-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4071.0,2022-01-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,2901.0,2021-01-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.86,2025-01-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.5,2024-01-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.1,2023-01-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.45,2022-01-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,,2021-01-01
"Datahub
(Shopify)",AUR,,2025-01-01
"Datahub
(Shopify)",AUR,30.77,2024-01-01
"Datahub
(Shopify)",AUR,28.9,2023-01-01
"Datahub
(Shopify)",AUR,31.63,2022-01-01
"Datahub
(Shopify)",AUR,28.96,2021-01-01
"Datahub
(Shopify)",AOV,105.12,2025-01-01
"Datahub
(Shopify)",AOV,100.93,2024-01-01
"Datahub
(Shopify)",AOV,107.35,2023-01-01
"Datahub
(Shopify)",AOV,115.27,2022-01-01
"Datahub
(Shopify)",AOV,104.0,2021-01-01
"Datahub
(Shopify)",UPT,,2025-01-01
"Datahub
(Shopify)",UPT,3.7,2024-01-01
"Datahub
(Shopify)",UPT,4.0,2023-01-01
"Datahub
(Shopify)",UPT,3.9,2022-01-01
"Datahub
(Shopify)",UPT,3.8,2021-01-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2025-01-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,49.81,2024-01-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,48.73,2023-01-01
