order_id,customer_id,datetime,sku,qty,unit_price,discount
ORD-1000,CUST-100,2024-06-01,SKU-10,3,30.52,1.33
ORD-1001,CUST-101,2024-06-02,SKU-11,3,72.58,3.83
ORD-1002,CUST-102,2024-06-03,SKU-14,2,71.97,4.78
ORD-1003,CUST-103,2024-06-04,SKU-12,3,59.7,2.9
ORD-1004,CUST-104,2024-06-05,SKU-14,2,24.0,4.99
ORD-1005,CUST-105,2024-06-06,SKU-12,3,20.74,0.13
ORD-1006,CUST-106,2024-06-07,SKU-11,2,76.51,9.67
ORD-1007,CUST-107,2024-06-08,SKU-14,2,26.06,4.45
ORD-1008,CUST-108,2024-06-09,SKU-12,2,73.04,2.0
ORD-1009,CUST-109,2024-06-10,SKU-10,2,45.14,8.39
ORD-1010,CUST-110,2024-06-11,SKU-13,3,56.34,4.04
ORD-1011,CUST-111,2024-06-12,SKU-11,1,30.81,4.56
ORD-1012,CUST-112,2024-06-13,SKU-12,2,50.68,3.68
ORD-1013,CUST-113,2024-06-14,SKU-11,2,75.29,2.95
ORD-1014,CUST-114,2024-06-15,SKU-13,1,69.19,3.0
ORD-1015,CUST-115,2024-06-16,SKU-11,2,61.1,0.89
ORD-1016,CUST-116,2024-06-17,SKU-12,1,57.76,9.65
ORD-1017,CUST-117,2024-06-18,SKU-14,2,52.23,4.75
ORD-1018,CUST-118,2024-06-19,SKU-10,1,55.25,0.55
ORD-1019,CUST-119,2024-06-20,SKU-10,3,42.55,7.82
ORD-1020,CUST-120,2024-06-21,SKU-14,2,21.03,2.52
ORD-1021,CUST-121,2024-06-22,SKU-14,2,74.73,0.09
ORD-1022,CUST-122,2024-06-23,SKU-11,3,71.83,3.78
ORD-1023,CUST-123,2024-06-24,SKU-11,2,54.5,3.46
ORD-1024,CUST-124,2024-06-25,SKU-10,1,22.36,2.66
ORD-1025,CUST-125,2024-06-26,SKU-13,3,23.21,6.54
ORD-1026,CUST-126,2024-06-27,SKU-14,3,36.22,3.34
ORD-1027,CUST-127,2024-06-28,SKU-12,3,78.44,6.84
ORD-1028,CUST-128,2024-06-29,SKU-13,2,67.22,3.56
ORD-1029,CUST-129,2024-06-30,SKU-14,2,78.69,1.44
ORD-1030,CUST-130,2024-07-01,SKU-10,1,20.34,0.33
ORD-1031,CUST-131,2024-07-02,SKU-11,1,27.98,7.43
ORD-1032,CUST-132,2024-07-03,SKU-10,2,67.05,2.94
ORD-1033,CUST-133,2024-07-04,SKU-11,1,46.29,2.64
ORD-1034,CUST-134,2024-07-05,SKU-13,3,25.3,1.26
ORD-1035,CUST-135,2024-07-06,SKU-14,2,73.12,4.61
ORD-1036,CUST-136,2024-07-07,SKU-10,1,42.58,3.56
ORD-1037,CUST-137,2024-07-08,SKU-11,2,60.79,0.06
ORD-1038,CUST-138,2024-07-09,SKU-10,3,68.86,7.41
ORD-1039,CUST-139,2024-07-10,SKU-11,1,54.25,0.6
ORD-1040,CUST-140,2024-07-11,SKU-12,2,59.52,1.31
ORD-1041,CUST-141,2024-07-12,SKU-11,1,77.88,0.52
ORD-1042,CUST-142,2024-07-13,SKU-10,1,43.5,1.22
ORD-1043,CUST-143,2024-07-14,SKU-13,2,32.95,8.49
ORD-1044,CUST-144,2024-07-15,SKU-10,1,35.82,1.7
ORD-1045,CUST-145,2024-07-16,SKU-13,1,66.39,2.29
ORD-1046,CUST-146,2024-07-17,SKU-13,2,53.75,5.84
ORD-1047,CUST-147,2024-07-18,SKU-12,3,45.41,4.53
ORD-1048,CUST-148,2024-07-19,SKU-14,3,49.24,7.24
ORD-1049,CUST-149,2024-07-20,SKU-11,3,72.15,6.25
