DATE,YEAR,MONTH,CHANNEL,Existing Customers,Existing Orders,Media Spend,New Customers,New Orders
2024-01-01,2024,JANUARY,Affiliate,,116.0,,,
2024-01-01,2024,JANUARY,Direct,,793.0,,,800.0
2024-01-01,2024,JANUARY,Display,58.0,,,24.0,
2024-01-01,2024,JANUARY,Email,,1158.0,,,271.0
2024-01-01,2024,JANUARY,Organic Search,,382.0,,,682.0
2024-01-01,2024,JANUARY,Organic Social,,13.0,,,31.0
2024-01-01,2024,JANUARY,Other,,769.0,,,801.0
2024-01-01,2024,JANUARY,Paid Social,,282.0,,,
2024-01-01,2024,JANUARY,SMS,,218.0,,,68.0
2024-01-01,2024,JANUARY,Unattributed,,345.0,,,224.0
2024-02-01,2024,FEBRUARY,Affiliate,,100.0,,,
2024-02-01,2024,FEBRUARY,Direct,,708.0,,,534.0
2024-02-01,2024,FEBRUARY,Display,18.0,,,13.0,
2024-02-01,2024,FEBRUARY,Email,,1401.0,,,236.0
2024-02-01,2024,FEBRUARY,Organic Search,,343.0,,,568.0
2024-02-01,2024,FEBRUARY,Organic Social,,12.0,,,21.0
2024-02-01,2024,FEBRUARY,Other,,579.0,,,573.0
2024-02-01,2024,FEBRUARY,Paid Social,,220.0,,,
2024-02-01,2024,FEBRUARY,SMS,,136.0,,,29.0
2024-02-01,2024,FEBRUARY,Unattributed,,255.0,,,113.0
2024-03-01,2024,MARCH,Affiliate,,132.0,,,
2024-03-01,2024,MARCH,Direct,,981.0,,,593.0
2024-03-01,2024,MARCH,Email,,1909.0,,,420.0
2024-03-01,2024,MARCH,Organic Search,,313.0,,,532.0
2024-03-01,2024,MARCH,Organic Social,,9.0,,,18.0
2024-03-01,2024,MARCH,Other,,589.0,,,528.0
2024-03-01,2024,MARCH,Paid Social,,233.0,,,
2024-03-01,2024,MARCH,SMS,,258.0,,,66.0
2024-03-01,2024,MARCH,Unattributed,,233.0,,,125.0
2024-04-01,2024,APRIL,Affiliate,,140.0,,,
2024-04-01,2024,APRIL,Direct,,757.0,,,603.0
2024-04-01,2024,APRIL,Email,,1603.0,,,388.0
2024-04-01,2024,APRIL,Organic Search,,368.0,,,595.0
2024-04-01,2024,APRIL,Organic Social,,18.0,,,18.0
2024-04-01,2024,APRIL,Other,,658.0,,,566.0
2024-04-01,2024,APRIL,Paid Social,,312.0,,,
2024-04-01,2024,APRIL,SMS,,231.0,,,42.0
2024-04-01,2024,APRIL,Unattributed,,226.0,,,117.0
2024-05-01,2024,MAY,Affiliate,,226.0,,,
2024-05-01,2024,MAY,Direct,,1261.0,,,1267.0
2024-05-01,2024,MAY,Email,,2456.0,,,523.0
2024-05-01,2024,MAY,Organic Search,,409.0,,,763.0
2024-05-01,2024,MAY,Organic Social,,28.0,,,27.0
2024-05-01,2024,MAY,Other,,924.0,,,831.0
2024-05-01,2024,MAY,Paid Social,,828.0,,,
2024-05-01,2024,MAY,SMS,,500.0,,,162.0
2024-05-01,2024,MAY,Unattributed,,261.0,,,155.0
2024-06-01,2024,JUNE,Affiliate,,123.0,,,
2024-06-01,2024,JUNE,Direct,,775.0,,,604.0
2024-06-01,2024,JUNE,Email,,1335.0,,,218.0
2024-06-01,2024,JUNE,Organic Search,,341.0,,,531.0
2024-06-01,2024,JUNE,Organic Social,,13.0,,,18.0
2024-06-01,2024,JUNE,Other,,607.0,,,587.0
2024-06-01,2024,JUNE,Paid Social,,443.0,,,
2024-06-01,2024,JUNE,SMS,,239.0,,,125.0
2024-06-01,2024,JUNE,Unattributed,,296.0,,,221.0
2024-07-01,2024,JULY,Affiliate,,120.0,,,
2024-07-01,2024,JULY,Direct,,787.0,,,690.0
2024-07-01,2024,JULY,Email,,1093.0,,,151.0
2024-07-01,2024,JULY,Organic Search,,338.0,,,533.0
2024-07-01,2024,JULY,Organic Social,,5.0,,,28.0
2024-07-01,2024,JULY,Other,,498.0,,,513.0
2024-07-01,2024,JULY,Paid Social,,406.0,,,
2024-07-01,2024,JULY,SMS,,181.0,,,167.0
2024-07-01,2024,JULY,Unattributed,,248.0,,,192.0
2024-08-01,2024,AUGUST,Affiliate,,155.0,,,
2024-08-01,2024,AUGUST,Direct,,928.0,,,672.0
2024-08-01,2024,AUGUST,Email,,1537.0,,,232.0
2024-08-01,2024,AUGUST,Organic Search,,393.0,,,579.0
2024-08-01,2024,AUGUST,Organic Social,,24.0,,,17.0
2024-08-01,2024,AUGUST,Other,,509.0,,,476.0
2024-08-01,2024,AUGUST,Paid Social,,708.0,,,
2024-08-01,2024,AUGUST,SMS,,269.0,,,181.0
2024-08-01,2024,AUGUST,Unattributed,,264.0,,,118.0
2025-01-01,2025,JANUARY,Affiliate,140.0,,,149.0,
2025-01-01,2025,JANUARY,Affiliate Agency,,,6458.0,,
2025-01-01,2025,JANUARY,Affiliate Media,,,25853.0,,
2025-01-01,2025,JANUARY,Direct,704.0,,,742.0,
2025-01-01,2025,JANUARY,Email,1159.0,,,289.0,
2025-01-01,2025,JANUARY,Organic Search,513.0,,,766.0,
2025-01-01,2025,JANUARY,Organic Social,10.0,,,18.0,
2025-01-01,2025,JANUARY,Other,508.0,,,587.0,
2025-01-01,2025,JANUARY,Paid Search Agency,,,6063.137675782089,,
2025-01-01,2025,JANUARY,Paid Social,410.0,,,534.0,
2025-01-01,2025,JANUARY,Paid Social Agency,,,12806.862324217913,,
2025-01-01,2025,JANUARY,Paid Social Media,,,110665.0,,
2025-01-01,2025,JANUARY,SMS,192.0,,,89.0,
2025-01-01,2025,JANUARY,TOTAL Agency,,,25328.0,,
2025-01-01,2025,JANUARY,TOTAL Media,,,188910.0,,
2025-01-01,2025,JANUARY,Unattributed,332.0,,,240.0,
2025-02-01,2025,FEBRUARY,Affiliate,112.0,,,130.0,
2025-02-01,2025,FEBRUARY,Affiliate Agency,,,5597.0,,
2025-02-01,2025,FEBRUARY,Affiliate Media,,,10886.0,,
2025-02-01,2025,FEBRUARY,Direct,492.0,,,558.0,
2025-02-01,2025,FEBRUARY,Email,813.0,,,247.0,
2025-02-01,2025,FEBRUARY,Organic Search,428.0,,,626.0,
2025-02-01,2025,FEBRUARY,Organic Social,10.0,,,22.0,
