Year,Month,Sessions,Sessions with cart additions,Added to cart rate,Sessions that reached checkout,Reached checkout rate,Sessions that completed checkout,Checkout conversion rate,Conversion rate,Pageviews per session,Pageviews
2024,January,342385,11370,3%,10522,3%,5897,56%,2%,2.47,844908
2025,January,336672,31047,9%,18627,6%,9058,49%,3%,3.46,1165178
2024,February,345773,16583,5%,12264,4%,7568,62%,2%,3.05,1054390
2025,February,336318,25825,8%,16284,5%,7053,43%,2%,3.07,1031543
2024,March,286656,18153,6%,13083,5%,8476,65%,3%,3.27,936210
2025,March,385347,31679,8%,20111,5%,9080,45%,2%,2.95,1137706
2024,April,300478,21545,7%,15317,5%,9018,59%,3%,3.48,1046813
2025,April,360774,40872,11%,24574,7%,9115,37%,3%,3.3,1188855
2024,May,403487,32837,8%,22473,6%,14535,65%,4%,3.61,1454783
2025,May,454573,55029,12%,31619,7%,14592,46%,3%,3.65,1659780
2024,June,375783,20096,5%,14189,4%,8790,62%,2%,2.84,1068859
2024,July,396521,19410,5%,13620,3%,8228,60%,2%,2.83,1120936
2024,August,418982,22379,5%,16020,4%,9813,61%,2%,2.82,1179673
2024,September,361476,19866,5%,13276,4%,8342,63%,2%,2.79,1008213
2024,October,304644,26404,9%,14884,5%,8104,54%,3%,3.21,977883
2024,November,370064,47234,13%,28696,8%,14760,51%,4%,3.75,1386201
2024,December,433467,54569,13%,35931,8%,20162,56%,5%,3.71,1607114
