month,channel,spend_override
2022-01-01,Paid Search Agency,10677
2022-01-01,Paid Social Agency,125607
2022-01-01,Affiliate Agency,74579
2022-02-01,Paid Search Agency,12700
2022-02-01,Paid Social Agency,168259
2022-02-01,Affiliate Agency,47382
2022-03-01,Paid Search Agency,18324
2022-03-01,Paid Social Agency,171369
2022-03-01,Affiliate Agency,74691
2022-04-01,Paid Search Agency,10155
2022-04-01,Paid Social Agency,153724
2022-04-01,Affiliate Agency,53524
2022-05-01,Paid Search Agency,15039
2022-05-01,Paid Social Agency,202902
2022-05-01,Affiliate Agency,63744
2022-06-01,Paid Search Agency,12278
2022-06-01,Paid Social Agency,156313
2022-06-01,Affiliate Agency,53295
2022-07-01,Paid Search Agency,13879
2022-07-01,Paid Social Agency,114603
2022-07-01,Affiliate Agency,73274
2022-08-01,Paid Search Agency,18208
2022-08-01,Paid Social Agency,114183
2022-08-01,Affiliate Agency,70632
2022-09-01,Paid Search Agency,9367
2022-09-01,Paid Social Agency,108286
2022-09-01,Affiliate Agency,69836
2022-10-01,Paid Search Agency,9779
2022-10-01,Paid Social Agency,156726
2022-10-01,Affiliate Agency,47276
2022-11-01,Paid Search Agency,19132
2022-11-01,Paid Social Agency,139850
2022-11-01,Affiliate Agency,42364
2022-12-01,Paid Search Agency,18977
2022-12-01,Paid Social Agency,246624
2022-12-01,Affiliate Agency,48483
2023-01-01,Paid Search Agency,11001
2023-01-01,Paid Social Agency,153951
2023-01-01,Affiliate Agency,58348
2023-02-01,Paid Search Agency,17810
2023-02-01,Paid Social Agency,105858
2023-02-01,Affiliate Agency,64048
2023-03-01,Paid Search Agency,8580
2023-03-01,Paid Social Agency,231776
2023-03-01,Affiliate Agency,66401
2023-04-01,Paid Search Agency,10418
2023-04-01,Paid Social Agency,141512
2023-04-01,Affiliate Agency,51904
2023-05-01,Paid Search Agency,13771
2023-05-01,Paid Social Agency,149509
2023-05-01,Affiliate Agency,64194
2023-06-01,Paid Search Agency,11005
2023-06-01,Paid Social Agency,200802
2023-06-01,Affiliate Agency,46699
2023-07-01,Paid Search Agency,13377
2023-07-01,Paid Social Agency,144884
2023-07-01,Affiliate Agency,60020
2023-08-01,Paid Search Agency,10987
2023-08-01,Paid Social Agency,221892
2023-08-01,Affiliate Agency,60610
2023-09-01,Paid Search Agency,14800
2023-09-01,Paid Social Agency,238410
2023-09-01,Affiliate Agency,44014
2023-10-01,Paid Search Agency,19199
2023-10-01,Paid Social Agency,130753
2023-10-01,Affiliate Agency,73354
2023-11-01,Paid Search Agency,12119
2023-11-01,Paid Social Agency,155464
2023-11-01,Affiliate Agency,64838
2023-12-01,Paid Search Agency,18254
2023-12-01,Paid Social Agency,183736
2023-12-01,Affiliate Agency,51068
