type,year,month,sends,clicks,revenue,conversions
Campaigns,2024,May,4835739.0,135388.0,0,0
Campaigns,2024,Jun,11028869.0,1351811.0,0,0
Campaigns,2024,Jul,11032549.0,234383.0,0,0
Campaigns,2024,Aug,10758631.0,207242.0,0,0
Campaigns,2024,Sep,10208373.0,53192.0,0,0
Campaigns,2024,Oct,10717718.0,50381.0,0,0
Campaigns,2024,Nov,12523190.0,70048.0,0,0
Campaigns,2024,Dec,13098584.0,62818.0,0,0
Campaigns,2025,Jan,11412797.0,42359.0,0,0
Campaigns,2025,Feb,7795053.0,33087.0,0,0
Campaigns,2025,Mar,8001507.0,54282.0,0,0
Campaigns,2025,Apr,9547179.0,53473.0,0,0
Campaigns,2025,May,11376277.0,62806.0,0,0
Flows,2024,May,10274.0,1006.0,0,0
Flows,2024,Jun,23431.0,10048.0,0,0
Flows,2024,Jul,23439.0,1742.0,0,0
Flows,2024,Aug,22857.0,1540.0,0,0
Flows,2024,Sep,21688.0,395.0,0,0
Flows,2024,Oct,22770.0,374.0,0,0
Flows,2024,Nov,26606.0,521.0,0,0
Flows,2024,Dec,27828.0,467.0,0,0
Flows,2025,Jan,24247.0,315.0,0,0
Flows,2025,Feb,16561.0,246.0,0,0
Flows,2025,Mar,16999.0,403.0,0,0
Flows,2025,Apr,20283.0,397.0,0,0
Flows,2025,May,24169.0,467.0,0,0
