month,channel,total_revenue,total_orders,aov,total_spend,new_customers,existing_customers,new_customer_orders,existing_customer_orders,sessions,users,spend,impressions,clicks,returned_value,technology_spend,revenue_share,returns_value_dist,technology_spend_dist,net_revenue,roas,cac,conversion_rate,existing_revenue,new_revenue,year_month,ltv,net_revenue_calc,return_rate
2024-01-01,Affiliate,64319.0,523.0,122.98,12864.0,306.0,102.0,310.0,213.0,2800.0,2500.0,12864.0,643200.0,3216.0,25000.0,15000.0,0.05,1250.0,750.0,63069.0,4.999922263681592,42.03921568627451,0.18678571428571428,26194.74,38123.8,2024-01,210.19281045751634,48069.0,0.01943438175344766
2024-01-01,Direct,195000.0,1500.0,130.0,0.0,800.0,1200.0,810.0,690.0,14000.0,12000.0,0.0,0.0,0.0,25000.0,15000.0,0.15,3750.0,2250.0,191250.0,,0.0,0.10714285714285714,89700.0,105300.0,2024-01,243.75,176250.0,0.019230769230769232
2024-01-01,Email,280000.0,2500.0,112.0,5000.0,1000.0,4000.0,1010.0,1490.0,23000.0,18000.0,5000.0,250000.0,25000.0,25000.0,15000.0,0.21,5250.0,3150.0,274750.0,56.0,5.0,0.10869565217391304,166880.0,113120.0,2024-01,280.0,259750.0,0.01875
2024-01-01,Organic Social,120000.0,1100.0,109.09,2500.0,400.0,1600.0,405.0,695.0,10000.0,8000.0,2500.0,125000.0,6250.0,25000.0,15000.0,0.09,2250.0,1350.0,117750.0,48.0,6.25,0.11,75817.55,44181.450000000004,2024-01,300.0,102750.0,0.01875
2024-01-01,Paid Search,450000.0,3500.0,128.57,90000.0,2000.0,800.0,2020.0,1480.0,32000.0,28000.0,90000.0,1800000.0,36000.0,25000.0,15000.0,0.34,8500.0,5100.0,441500.0,5.0,45.0,0.109375,190283.59999999998,259711.4,2024-01,225.0,426500.0,0.01888888888888889
2024-01-01,Paid Social,220000.0,1800.0,122.22,60000.0,1087.0,450.0,1100.0,700.0,25000.0,21000.0,60000.0,1700000.0,34000.0,25000.0,15000.0,0.17,4250.0,2550.0,215750.0,3.6666666666666665,55.19779208831647,0.072,85554.0,134442.0,2024-01,202.39190432382705,200750.0,0.019318181818181818
2024-02-01,Affiliate,66000.0,540.0,122.22,13200.0,315.0,105.0,320.0,220.0,2900.0,2600.0,13200.0,660000.0,3300.0,26000.0,15500.0,0.05,1300.0,775.0,64700.0,5.0,41.904761904761905,0.18620689655172415,26888.4,39110.4,2024-02,209.52380952380952,49200.0,0.019696969696969695
2024-02-01,Direct,200000.0,1550.0,129.03,0.0,820.0,1230.0,830.0,720.0,14500.0,12500.0,0.0,0.0,0.0,26000.0,15500.0,0.15,3900.0,2325.0,196100.0,,0.0,0.10689655172413794,92901.6,107094.9,2024-02,243.90243902439025,180600.0,0.0195
2024-02-01,Email,290000.0,2580.0,112.4,5200.0,1020.0,4080.0,1030.0,1550.0,23500.0,18500.0,5200.0,260000.0,26000.0,26000.0,15500.0,0.22,5720.0,3410.0,284280.0,55.76923076923077,5.098039215686274,0.1097872340425532,174220.0,115772.0,2024-02,284.3137254901961,268780.0,0.01972413793103448
2024-02-01,Organic Social,125000.0,1150.0,108.7,2600.0,410.0,1640.0,415.0,735.0,10500.0,8500.0,2600.0,130000.0,6500.0,26000.0,15500.0,0.09,2340.0,1395.0,122660.0,48.07692307692308,6.341463414634147,0.10952380952380952,79894.5,45110.5,2024-02,304.8780487804878,107160.0,0.01872
2024-02-01,Paid Search,460000.0,3580.0,128.49,92000.0,2045.0,820.0,2060.0,1520.0,33000.0,29000.0,92000.0,1840000.0,36800.0,26000.0,15500.0,0.34,8840.0,5270.0,451160.0,5.0,44.987775061124694,0.10848484848484849,195304.80000000002,264689.4,2024-02,224.93887530562347,435660.0,0.019217391304347825
2024-02-01,Paid Social,230000.0,1880.0,122.34,62000.0,1123.0,460.0,1140.0,740.0,26000.0,22000.0,62000.0,1750000.0,35000.0,26000.0,15500.0,0.17,4420.0,2635.0,225580.0,3.7096774193548385,55.20926090828139,0.07230769230769231,90531.6,139467.6,2024-02,204.80854853072128,210080.0,0.019217391304347825
2024-03-01,Affiliate,68000.0,560.0,121.43,13600.0,324.0,110.0,330.0,230.0,3000.0,2700.0,13600.0,680000.0,3400.0,27000.0,16000.0,0.05,1350.0,800.0,66650.0,5.0,41.97530864197531,0.18666666666666668,27928.9,40071.9,2024-03,209.87654320987653,50650.0,0.019852941176470587
2024-03-01,Direct,205000.0,1600.0,128.13,0.0,840.0,1260.0,850.0,750.0,15000.0,13000.0,0.0,0.0,0.0,27000.0,16000.0,0.15,4050.0,2400.0,200950.0,,0.0,0.10666666666666667,96097.5,108910.5,2024-03,244.04761904761904,184950.0,0.01975609756097561
2024-03-01,Email,300000.0,2660.0,112.78,5400.0,1040.0,4160.0,1050.0,1610.0,24000.0,19000.0,5400.0,270000.0,27000.0,27000.0,16000.0,0.21,5670.0,3360.0,294330.0,55.55555555555556,5.1923076923076925,0.11083333333333334,181575.8,118419.0,2024-03,288.46153846153845,278330.0,0.0189
2024-03-01,Organic Social,130000.0,1200.0,108.33,2700.0,420.0,1680.0,425.0,775.0,11000.0,9000.0,2700.0,135000.0,6750.0,27000.0,16000.0,0.09,2430.0,1440.0,127570.0,48.148148148148145,6.428571428571429,0.10909090909090909,83955.75,46040.25,2024-03,309.5238095238095,111570.0,0.018692307692307692
2024-03-01,Paid Search,475000.0,3700.0,128.38,95000.0,2100.0,840.0,2120.0,1580.0,34000.0,30000.0,95000.0,1900000.0,38000.0,27000.0,16000.0,0.34,9180.0,5440.0,465820.0,5.0,45.23809523809524,0.10882352941176471,202840.4,272165.6,2024-03,226.1904761904762,449820.0,0.019326315789473685
2024-03-01,Paid Social,240000.0,1960.0,122.45,64000.0,1160.0,470.0,1180.0,780.0,27000.0,23000.0,64000.0,1800000.0,36000.0,27000.0,16000.0,0.17,4590.0,2720.0,235410.0,3.75,55.172413793103445,0.0725925925925926,95511.0,144491.0,2024-03,206.89655172413794,219410.0,0.019125
2024-03-01,TikTok,35000.0,250.0,140.0,30000.0,233.0,50.0,235.0,15.0,5000.0,4500.0,30000.0,750000.0,7500.0,5000.0,2000.0,0.02,100.0,40.0,34900.0,1.1666666666666667,128.75536480686696,0.05,2100.0,32900.0,2024-03,150.21459227467813,32900.0,0.002857142857142857
2024-01-01,Affiliate,64319.0,523.0,122.98,12864.0,306.0,102.0,310.0,213.0,2800.0,2500.0,12864.0,643200.0,3216.0,25000.0,15000.0,0.048763,1219.08,731.45,63100.0,4.999922263681592,42.03921568627451,0.18678571428571428,26194.74,38123.8,2024-01,210.19281045751634,48099.92,0.018953652886394376
2024-01-01,Direct,195000.0,1500.0,130.0,0.0,800.0,1200.0,810.0,690.0,14000.0,12000.0,0.0,0.0,0.0,25000.0,15000.0,0.14782,3695.5,2217.3,191305.0,,0.0,0.10714285714285714,89700.0,105300.0,2024-01,243.75,176304.5,0.01895128205128205
2024-01-01,Email,280000.0,2500.0,112.0,5000.0,1000.0,4000.0,1010.0,1490.0,23000.0,18000.0,5000.0,250000.0,25000.0,25000.0,15000.0,0.21226,5306.5,3183.9,274694.0,56.0,5.0,0.10869565217391304,166880.0,113120.0,2024-01,280.0,259693.5,0.018951785714285713
2024-01-01,Organic Social,120000.0,1100.0,109.09,2500.0,400.0,1600.0,405.0,695.0,10000.0,8000.0,2500.0,125000.0,6250.0,25000.0,15000.0,0.09097,2274.25,1364.55,117726.0,48.0,6.25,0.11,75817.55,44181.450000000004,2024-01,300.0,102725.75,0.018952083333333335
2024-01-01,Paid Search,450000.0,3500.0,128.57,90000.0,2000.0,800.0,2020.0,1480.0,32000.0,28000.0,90000.0,1800000.0,36000.0,25000.0,15000.0,0.34115,8528.75,5117.25,441471.0,5.0,45.0,0.109375,190283.59999999998,259711.4,2024-01,225.0,426471.25,0.018952777777777777
2024-01-01,Paid Social,220000.0,1800.0,122.22,60000.0,1087.0,450.0,1100.0,700.0,25000.0,21000.0,60000.0,1700000.0,34000.0,25000.0,15000.0,0.16678,4169.5,2501.7,215831.0,3.6666666666666665,55.19779208831647,0.072,85554.0,134442.0,2024-01,202.39190432382705,200830.5,0.018952272727272727
