order_id,user_id,order_datetime,gross_revenue
order_1,user_48005,2023-04-02 06:43:24,198.5
order_2,user_26320,2023-03-15 01:54:40,213.26
order_3,user_36753,2023-09-07 18:51:50,241.46
order_4,user_25572,2023-01-13 08:57:31,222.9
order_5,user_26851,2023-10-18 20:51:43,127.12
order_6,user_19624,2023-01-15 20:24:27,178.21
order_7,user_45094,2023-08-18 10:33:37,85.44
order_8,user_29189,2023-02-17 03:14:58,215.8
order_9,user_18318,2023-04-19 00:19:13,234.33
order_10,user_17394,2023-04-02 21:58:24,141.64
order_11,user_31048,2023-10-22 01:07:35,202.85
order_12,user_37190,2023-02-17 19:00:30,259.26
order_13,user_34776,2023-06-17 00:03:42,266.08
order_14,user_424,2023-12-26 19:48:12,196.9
order_15,user_23300,2023-08-22 02:55:59,185.31
order_16,user_16535,2023-03-18 15:06:59,128.02
order_17,user_8691,2023-12-09 20:55:41,97.86
order_18,user_1286,2023-08-09 04:54:17,255.15
order_19,user_32172,2023-12-19 05:09:49,234.88
order_20,user_3907,2023-04-01 20:42:06,202.96
order_21,user_8162,2023-03-12 13:56:52,232.59
order_22,user_11432,2023-10-11 02:41:12,245.32
order_23,user_46256,2023-08-08 04:28:00,232.55
order_24,user_36860,2023-10-25 05:52:35,194.31
order_25,user_39749,2023-05-02 10:38:40,74.4
order_26,user_49565,2023-07-04 01:39:32,107.48
order_27,user_49376,2023-10-11 21:19:54,213.81
order_28,user_9515,2023-01-12 02:03:34,115.19
order_29,user_34591,2023-11-23 22:27:45,186.49
order_30,user_15859,2023-04-25 01:56:21,83.46
order_31,user_10296,2023-06-29 19:16:17,182.67
order_32,user_13947,2023-05-27 16:56:46,96.47
order_33,user_38807,2023-12-24 15:52:26,132.21
order_34,user_24298,2023-11-02 23:38:44,213.34
order_35,user_22405,2023-04-05 07:06:19,259.17
order_36,user_11227,2023-09-17 21:56:13,266.36
order_37,user_14997,2023-08-20 20:24:29,139.78
order_38,user_33794,2023-08-03 08:49:59,180.45
order_39,user_11846,2023-06-05 23:09:47,258.99
order_40,user_2863,2023-11-01 22:58:10,59.48
order_41,user_38291,2023-10-19 14:22:04,139.52
order_42,user_47804,2023-03-21 05:41:14,59.4
order_43,user_46877,2023-05-27 08:26:30,249.77
order_44,user_23527,2023-08-13 08:48:46,196.92
order_45,user_12501,2023-06-23 16:01:53,160.33
order_46,user_27380,2023-05-10 11:53:30,249.17
order_47,user_18603,2023-03-16 08:26:04,94.54
order_48,user_37787,2023-08-25 15:19:53,112.94
order_49,user_10661,2023-01-03 05:54:04,257.42
order_50,user_396,2023-11-22 19:30:14,274.78
order_51,user_22885,2023-02-14 12:34:10,231.55
order_52,user_20266,2023-03-03 04:11:34,144.29
order_53,user_37737,2023-11-09 01:55:57,123.54
order_54,user_37185,2023-12-17 03:27:43,262.47
order_55,user_31928,2023-11-25 21:20:28,98.59
order_56,user_18907,2023-03-15 04:17:25,253.0
order_57,user_9523,2023-08-21 03:01:05,251.24
order_58,user_22829,2023-04-18 07:58:22,161.44
order_59,user_24831,2023-07-14 13:50:13,95.65
order_60,user_35788,2023-06-11 10:12:08,137.51
order_61,user_9149,2023-12-02 10:56:44,199.0
order_62,user_12908,2023-11-09 00:16:30,188.57
order_63,user_12330,2023-10-02 15:37:38,91.58
order_64,user_43233,2023-08-25 06:55:37,132.28
order_65,user_33047,2023-07-23 06:36:27,56.8
order_66,user_11827,2023-05-08 10:46:34,110.32
order_67,user_48021,2023-04-02 00:14:57,261.16
order_68,user_25675,2023-01-11 02:09:30,172.27
order_69,user_44778,2023-06-24 03:31:51,177.62
order_70,user_44927,2023-10-04 06:28:45,237.57
order_71,user_15819,2023-06-29 17:52:09,51.98
order_72,user_29400,2023-02-13 14:41:34,108.47
order_73,user_42420,2023-10-03 19:53:59,153.27
order_74,user_37002,2023-06-16 22:46:37,246.86
order_75,user_22284,2023-06-03 00:00:34,101.63
order_76,user_39667,2023-07-09 12:39:08,284.51
order_77,user_2326,2023-03-09 09:37:44,115.81
order_78,user_19678,2023-11-20 21:27:00,182.06
order_79,user_17988,2023-03-01 09:31:01,174.94
order_80,user_48896,2023-11-08 00:08:16,138.49
order_81,user_6308,2023-10-19 09:06:49,156.55
order_82,user_2837,2023-10-22 08:28:05,174.86
order_83,user_2584,2023-09-08 11:30:56,61.99
order_84,user_22119,2023-03-22 20:39:34,161.28
order_85,user_43515,2023-11-15 18:29:57,91.65
order_86,user_28891,2023-04-18 13:40:33,202.5
order_87,user_27470,2023-01-12 20:40:27,263.86
order_88,user_11510,2023-04-23 21:28:50,127.45
order_89,user_40478,2023-04-12 11:50:37,128.28
