,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA SOURCE,DATA SOURCE,CHANNEL,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL,,,,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
SHOPIFY,Datahub,Paid Search Media,2025,"$52,392","$53,764","$76,624","$80,616","$79,749",,,,,,,,"$343,145",,,2025%,32.13%,36.43%,33.34%,34.76%,25.07%,,,,,,,,
SHOPIFY,,,2024,"$33,131","$31,642","$31,725","$32,934","$48,252","$41,935","$56,408","$65,506","$51,646","$68,150","$88,112","$92,682","$642,123",,,2024%,37.52%,24.16%,28.51%,25.66%,19.15%,32.94%,36.65%,36.70%,27.82%,34.35%,29.57%,25.72%,29.02%
https://admin.shopify.com/store/hanky-panky-dtc/reports/2821259460?since=2024-01-14&until=2024-01-20,,,2023,"$46,139","$37,231","$40,045","$42,141","$54,553","$50,097","$45,673","$49,727","$56,553","$40,265","$96,006","$89,836","$648,268",,,"2,024$","$5,045","$4,044","$4,771","$4,798","$5,400","$6,158","$7,051","$6,862","$5,384","$6,959","$8,336","$8,623",
,,,2022,"$51,972","$35,202","$37,427","$34,701","$53,967","$53,238","$37,916","$38,685","$48,322","$39,373","$75,545","$86,958","$593,306",,,"2,025$","$6,063","$6,874","$8,192","$8,339","$7,501",,,,,,,,
,,,25/24,58.13%,69.91%,141.52%,144.78%,65.28%,,,,,,,,93.1%,YTD,,,,,,,,,,,,,,,
,,,24/23,-28.19%,-15.01%,-20.78%,-21.85%,-11.55%,-16.29%,23.50%,31.73%,-8.68%,69.25%,-8.22%,3.17%,-0.9%,,,,,,,,,,,,,,,,
,,,23/22,-11.22%,5.76%,7.00%,21.44%,1.09%,-5.90%,20.46%,28.54%,17.03%,2.27%,27.08%,3.31%,9.3%,,,,,,,,,,,,,,,,
,Datahub,Paid Social Media,2025,"$110,665","$93,826","$153,218","$151,295","$238,355",,,,,,,,"$747,359",,,2025%,67.87%,63.57%,66.66%,65.24%,74.93%,,,,,,,,
,,,2024,"$55,172","$99,304","$79,542","$95,402","$203,679","$85,372","$97,484","$112,965","$134,002","$130,267","$209,903","$267,692","$1,570,784",,,2024%,62.48%,75.84%,71.49%,74.34%,80.85%,67.06%,63.35%,63.30%,72.18%,65.65%,70.43%,74.28%,70.98%
,,,2023,"$61,761","$77,588","$85,959","$94,582","$194,958","$56,649","$59,735","$62,623","$95,546","$113,415","$215,073","$166,116","$1,284,005",,,"2,024$","$8,400","$12,690","$11,963","$13,897","$22,795","$12,537","$12,185","$11,833","$13,971","$13,303","$19,859","$24,904",
