month,channel,total_revenue,total_orders,aov,total_spend,new_customers,existing_customers,new_customer_orders,existing_customer_orders,sessions,users,spend,impressions,clicks,returned_value,technology_spend,revenue_share,returns_value_dist,technology_spend_dist,net_revenue
2024-01-01,Affiliate,64319.0,523.0,122.98,12864.0,306,102,310,213,2800,2500,12864,643200,3216,25000.0,15000.0,0.05,1250.0,750.0,63069.0
2024-01-01,Direct,195000.0,1500.0,130.0,0.0,800,1200,810,690,14000,12000,0,0,0,25000.0,15000.0,0.15,3750.0,2250.0,191250.0
2024-01-01,Email,280000.0,2500.0,112.0,5000.0,1000,4000,1010,1490,23000,18000,5000,250000,25000,25000.0,15000.0,0.21,5250.0,3150.0,274750.0
2024-01-01,Organic Social,120000.0,1100.0,109.09,2500.0,400,1600,405,695,10000,8000,2500,125000,6250,25000.0,15000.0,0.09,2250.0,1350.0,117750.0
2024-01-01,Paid Search,450000.0,3500.0,128.57,90000.0,2000,800,2020,1480,32000,28000,90000,1800000,36000,25000.0,15000.0,0.34,8500.0,5100.0,441500.0
2024-01-01,Paid Social,220000.0,1800.0,122.22,60000.0,1087,450,1100,700,25000,21000,60000,1700000,34000,25000.0,15000.0,0.17,4250.0,2550.0,215750.0
2024-02-01,Affiliate,66000.0,540.0,122.22,13200.0,315,105,320,220,2900,2600,13200,660000,3300,26000.0,15500.0,0.05,1300.0,775.0,64700.0
2024-02-01,Direct,200000.0,1550.0,129.03,0.0,820,1230,830,720,14500,12500,0,0,0,26000.0,15500.0,0.15,3900.0,2325.0,196100.0
2024-02-01,Email,290000.0,2580.0,112.4,5200.0,1020,4080,1030,1550,23500,18500,5200,260000,26000,26000.0,15500.0,0.22,5720.0,3410.0,284280.0
2024-02-01,Organic Social,125000.0,1150.0,108.7,2600.0,410,1640,415,735,10500,8500,2600,130000,6500,26000.0,15500.0,0.09,2340.0,1395.0,122660.0
2024-02-01,Paid Search,460000.0,3580.0,128.49,92000.0,2045,820,2060,1520,33000,29000,92000,1840000,36800,26000.0,15500.0,0.34,8840.0,5270.0,451160.0
2024-02-01,Paid Social,230000.0,1880.0,122.34,62000.0,1123,460,1140,740,26000,22000,62000,1750000,35000,26000.0,15500.0,0.17,4420.0,2635.0,225580.0
2024-03-01,Affiliate,68000.0,560.0,121.43,13600.0,324,110,330,230,3000,2700,13600,680000,3400,27000.0,16000.0,0.05,1350.0,800.0,66650.0
2024-03-01,Direct,205000.0,1600.0,128.13,0.0,840,1260,850,750,15000,13000,0,0,0,27000.0,16000.0,0.15,4050.0,2400.0,200950.0
2024-03-01,Email,300000.0,2660.0,112.78,5400.0,1040,4160,1050,1610,24000,19000,5400,270000,27000,27000.0,16000.0,0.21,5670.0,3360.0,294330.0
2024-03-01,Organic Social,130000.0,1200.0,108.33,2700.0,420,1680,425,775,11000,9000,2700,135000,6750,27000.0,16000.0,0.09,2430.0,1440.0,127570.0
2024-03-01,Paid Search,475000.0,3700.0,128.38,95000.0,2100,840,2120,1580,34000,30000,95000,1900000,38000,27000.0,16000.0,0.34,9180.0,5440.0,465820.0
2024-03-01,Paid Social,240000.0,1960.0,122.45,64000.0,1160,470,1180,780,27000,23000,64000,1800000,36000,27000.0,16000.0,0.17,4590.0,2720.0,235410.0
2024-03-01,TikTok,35000.0,250.0,140.0,30000.0,233,50,235,15,5000,4500,30000,750000,7500,5000.0,2000.0,0.02,100.0,40.0,34900.0
