,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DATA SOURCE,DATA SOURCE,CHANNEL,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,,TOTAL,,June YTD,July YTD
SHOPIFY,Datahub,Paid Search,2024,"1,041",968,978,"1,101","1,276",942,,951,"1,215",,,,,,"8,472",,"6,306","7,257"
https://admin.shopify.com/store/hanky-panky-dtc/reports/2821259460?since=2024-01-14&until=2024-01-20,,,2023,765,550,274,319,"1,084",774,,937,"1,079","1,050",779,"2,518","1,734",,"11,863","1,315","3,766","4,703"
,,,2022,,,,,,,,,,,,,,,0,544.26%,,
,,,2021,,,,,,,,,,,,,,,0,,,
,,,24/23,36.08%,76.00%,256.93%,245.14%,17.71%,21.71%,,1.49%,12.60%,-100.00%,-100.00%,-100.00%,-100.00%,,-28.58%,,67.45%,54.31%
,,,23/22,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,,
,,,22/21,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,,
,Datahub,Paid Social,2024,282,220,233,312,828,443,,406,708,,,,,,"3,432",,"2,318","2,724"
,,,2023,125,76,505,210,656,269,,373,460,620,286,"1,036",807,,"5,423",201,"1,841","2,214"
,,,2022,,,,,,,,,,,,,,,0,1607.46%,,
,,,2021,,,,,,,,,,,,,,,0,,,
,,,24/23,125.60%,189.47%,-53.86%,48.57%,26.22%,64.68%,,8.85%,53.91%,-100.00%,-100.00%,-100.00%,-100.00%,,-36.71%,,25.91%,23.04%
,,,23/22,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,,
,,,22/21,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,,
SHOPIFY,Datahub,Affiliate,2024,116,100,132,140,226,123,,120,155,,,,,,"1,112",,837,957
https://admin.shopify.com/store/hanky-panky-dtc/reports/2821259460?since=2024-01-14&until=2024-01-20,,,2023,127,71,143,119,328,116,185,169,103,155,122,391,213,,"2,057",198,904,"1,073"
,,,2022,,,,,,,,,,,,,,,0,461.62%,,
,,,2021,,,,,,,,,,,,,,,0,,,
,,,24/23,-8.66%,40.85%,-7.69%,17.65%,-31.10%,6.03%,,-28.99%,50.49%,-100.00%,-100.00%,-100.00%,-100.00%,,-45.94%,,-7.41%,-10.81%
,,,23/22,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,,
,,,22/21,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,,
,Datahub,Display,2024,,,,,,,,,,,,,,,0,,,
,,,2023,,,,,,,,,,,,,,,0,,,
,,,2022,,,,,,,,,,,,,,,0,,,
,,,2021,,,,,,,,,,,,,,,0,,,
,,,24/23,,,,,,,,,,,,,,,0.00%,,,
,,,23/22,,,,,,,,,,,,,,,0.00%,,,
,,,22/21,,,,,,,,,,,,,,,0.00%,,,
,Datahub,Email,2024,"1,158","1,401","1,909","1,603","2,456","1,335",,"1,093","1,537",,,,,,"12,492",,"9,862","10,955"
,,,2023,"1,763",874,"1,705","1,422","4,043","1,627",,"1,720","1,549","2,178","1,752","5,635","2,544",,"26,812","2,637","11,434","13,154"
,,,2022,,,,,,,,,,,,,,,0,373.72%,,
,,,2021,,,,,,,,,,,,,,,0,,,
,,,24/23,-34.32%,60.30%,11.96%,12.73%,-39.25%,-17.95%,,-36.45%,-0.77%,-100.00%,-100.00%,-100.00%,-100.00%,,-53.41%,,-13.75%,-16.72%
,,,23/22,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,,
,,,22/21,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,,
,Datahub,SMS,2024,218,136,258,231,500,239,,181,269,,,,,,"2,032",,"1,582","1,763"
,,,2023,198,116,219,188,650,210,,83,329,273,189,599,411,,"3,465",314,1581,1664
